"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle"
105,669203,"Burnes, Corbin",2996,3.5,,,,,,,,,,,,2845,79.9,79.92,0,0,105,0,6.46,112,147,113,150,300,326,299,"-3.5","3.5",,,,,,,,,,,,,4.66619,-1.07219,-0.82343,0.244,,,,,,6.07,-0.81,-0.02,1.41,,0,"3.362857143",,,"-3.362857143",,,,,,"48.2"
101,663623,"Irvin, Jake",3046,3.3,,,,,,,,,,,,2508,80.4,81.47,0,0,101,1.0999999999999943,6.93,114,147,112,147,303,327,301,"-3.3","3.3",,,,,,,,,,,,,3.80851,-0.28822,-1.00297,0.18713,,,,,,5.73,-2.19,0.61,2.02,,0,"3.305940594",,,"-3.305940594",,,,,,"28.8"
88,680730,"Parker, Mitchell",2404,3.7,,,,,,,,,,,,2266,80.4,81.26,0,0,88,0.8999999999999915,6.7,107,150,118,145,304,326,296,"-3","3",,,,,,,,,,,,,4.16193,-0.65432,-0.20114,0.14477,,,,,,6.01,1.99,-0.13,2.04,,0,"3.4",,,"-3.4",,,,,,"51.7"
87,450203,"Morton, Charlie",2791,3.1,,,,,,,,,,,,3049,81.2,80.77,0,0,87,-0.4000000000000057,6.08,111,149,114,149,300,321,297,"-3.1","3.1",,,,,,,,,,,,,4.18195,-0.72279,-1.09126,0.18529,,,,,,5.44,-2.67,-0.03,1.77,,0,"3.606896552",,,"-3.606896552",,,,,,"20.8"
80,669022,"Gore, MacKenzie",2994,2.7,,,,,,,,,,,,2393,81.9,83.04,0,0,80,1.0999999999999943,7.02,107,150,116,146,302,324,295,"-2.7","2.7",,,,,,,,,,,,,4.32038,-0.92288,-0.07562,0.07237,,,,,,5.85,1.81,-0.26,1.5,,0,"3.37375",,,"-3.37375",,,,,,"52.2"
75,664285,"Valdez, Framber",2598,2.9,,,,,,,,,,,,2861,79.1,78.08,0,0,75,-1,5.81,105,151,115,148,294,323,294,"-2.7","2.7",,,,,,,,,,,,,4.83493,-1.15253,-0.88813,0.7708,,,,,,5.95,0.82,-0.51,1.18,,0,"3.557333333",,,"-3.557333333",,,,,,"42.9"
70,666142,"Ragans, Cole",3118,2.2,,,,,,,,,,,,2449,80.1,79.54,0,0,70,-0.5999999999999943,6.04,110,151,116,148,306,323,291,"-2.1","2.1",,,,,,,,,,,,,4.59129,-1.01786,-0.89143,0.81257,,,,,,6.37,1.22,-0.14,1.96,,0,"3.044285714",,,"-3.044285714",,,,,,"47.1"
69,607074,"Rodón, Carlos",3102,2.2,,,,,,,,0,0,,,2659,80.5,80.1,0,0,69,-0.4000000000000057,6.06,108,153,119,150,297,327,286,"-1.9","1.9",,,0,0,0,0,0,0,0,,0,,4.40304,-0.87406,-0.52217,0.45725,,,,,,6.45,1.95,-0.06,1.75,,0,"2.75942029",,,"-2.75942029",,,,,,"50.3"
67,608379,"Wacha, Michael",2602,2.6,,,,,,,,,,,,2253,75.1,75.38,0,0,67,0.30000000000001137,6.71,112,149,112,150,299,323,298,"-2.2","2.2",,,,,,,,,,,,,5.05761,-0.98239,-1.02388,0.07433,,,,,,6.51,-1.77,0.02,2.85,,0,"3.329850746",,,"-3.329850746",,,,,,"51.8"
67,681293,"Arrighetti, Spencer",2505,2.7,,,,,,,,,,,,2782,77.6,78.31,0,0,67,0.7000000000000028,7.01,114,149,103,151,293,321,297,"-2.1","2.1",,,,,,,,,,,,,4.53657,-0.71657,-1.23896,0.55209,,,,,,5.12,-1.83,0.05,1.92,,0,"3.155223881",,,"-3.155223881",,,,,,"26.8"
66,623167,"Flexen, Chris",2797,2.4,,,,,,,,,,,,2569,71.8,71.46,0,0,66,-0.29999999999999716,6.34,113,148,112,150,296,324,298,"-2.2","2.2",,,,,,,,,,,,,5.78682,-1.31061,-0.59773,0.19712,,,,,,6.85,-0.11,-0.11,2.13,,0,"3.337878788",,,"-3.337878788",,,,,,"72.6"
65,656288,"Canning, Griffin",2869,2.3,,,,,,,,,,,,2348,80.2,79.25,0,0,65,-0.9000000000000057,5.72,113,148,111,151,303,327,304,"-2","2",,,,,,,,,,,,,4.07385,-0.51523,-0.97831,0.34723,,,,,,5.97,-1.78,-0.45,2.94,,0,"3.150769231",,,"-3.150769231",,,,,,"47.3"
63,572955,"Johnson, Pierce",916,6.9,,,,,,,,,,,,2937,85.2,84.5,0,0,63,-0.7000000000000028,5.78,111,149,113,148,299,321,294,"-2.3","2.3",,,,,,,,,,,,,3.55127,-0.41603,-0.75365,-0.04825,,,,,,6.19,-2.15,0.41,1.74,,0,"3.657142857",,,"-3.657142857",,,,,,"40.2"
63,656427,"Flaherty, Jack",2646,2.4,,,,,,,,,,,,2418,76.3,76.46,0,0,63,0.20000000000000284,6.49,114,148,114,151,292,322,297,"-2.1","2.1",,,,,,,,,,,,,4.65873,-0.72524,-1.10587,0.47286,,,,,,5.3,-2.61,-0.39,1.53,,0,"3.320634921",,,"-3.320634921",,,,,,"25.9"
62,608331,"Fried, Max",2762,2.2,,,,,,,,,,,,2796,73.5,73.19,0,0,62,-0.29999999999999716,6.42,107,151,118,146,301,322,293,"-2.1","2.1",,,,,,,,,,,,,5.63145,-1.34597,-0.88823,0.65016,,,,,,6.09,1.33,0.29,2.32,,0,"3.40483871",,,"-3.40483871",,,,,,"51.4"
62,579328,"Kikuchi, Yusei",2923,2.1,,,,,,,,,,,,2440,81.8,82.74,0,0,62,0.9000000000000057,6.84,109,151,112,148,298,320,290,"-1.9","1.9",,,,,,,,,,,,,3.7879,-0.38355,-0.43226,0.29581,,,,,,5.63,2.16,0.4,2.25,,0,"3.014516129",,,"-3.014516129",,,,,,"51.0"
61,500779,"Quintana, Jose",2819,2.2,,,,,,,,,,,,2231,77.7,77.9,0,0,61,0.20000000000000284,6.4,110,151,114,149,301,325,295,"-1.9","1.9",,,,,,,,,,,,,4.42246,-0.64721,-0.53164,0.48574,,,,,,5.84,2.2,0.55,1.82,,0,"3.108196721",,,"-3.108196721",,,,,,"46.3"
