"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle"
35,543294,"Hendricks, Kyle",2135,1.6,0.242,0.061,0.229,0.303,0.223,0.246,0.235,8,33,84.2,19.3,2176,80.7,79.95,0,35,0,-0.7999999999999972,5.57,114,148,110,151,296,325,300,"2.3","-2.3","70.7","7.7",35,35,6,2,0,0,0,0,0,0,2.82229,0.65286,1.042,-0.81514,"91.4",153,20,5.714285714285714,5.714285714285714,6.02,-2.56,-0.36,2.12,0.229,2,"-6.485714286",0.233,0.322,"6.485714286",0.007,-0.0040000000000000036,-0.019,-0.023,0,"43.3"
34,650911,"Sánchez, Cristopher",2797,1.2,0.265,0.118,0.242,0.382,0.279,0.295,0.288,9,34,80.1,-6.1,2050,85,86.19,0,34,0,1.2000000000000028,7,106,150,118,148,303,327,289,"-0.1","0.1","71.5","7.8",34,34,7,1,0,1,0,0,0,0,3.07529,0.07471,1.44353,-1.34882,"91.3",86,20.588235294117645,2.941176470588235,2.941176470588235,6.08,1.97,0.47,1.98,0.265,1,"0.394117647",0.288,0.384,"-0.394117647",-0.023,-0.022999999999999965,-0.002,-0.016,0,"29.9"
33,657277,"Webb, Logan",3201,1,0.5,0.125,0.5,0.625,0.487,0.432,0.397,16,32,92.1,1.1,1478,87.2,88.7,0,33,0,1.5,7.05,109,148,111,150,293,316,296,"-5.5","5.5","73.0","7.2",33,33,12,4,0,0,0,0,0,0,3.31061,-0.32909,0.84394,0.07545,"96.6",147,54.54545454545454,9.090909090909092,9.090909090909092,4.92,-1.53,-0.13,1.86,0.5,3,"16.581818182",0.397,0.6,"-16.581818182",0.103,0.10299999999999998,0.025,0.055,0,"19.4"
33,669373,"Skubal, Tarik",2866,1.2,0.438,0.125,0.424,0.563,0.419,0.387,0.389,14,32,82.3,4.2,1683,86.9,86.92,0,33,0,0,6.23,110,152,115,145,302,331,290,"-4.5","4.5","69.2","7.3",33,33,10,4,0,0,0,0,0,0,2.55303,0.46394,1.18545,-1.03758,"92.2",136,30.303030303030305,3.0303030303030303,3.0303030303030303,6.12,1.77,0.44,2.15,0.424,1,"13.609090909",0.378,0.53,"-13.609090909",0.049,0.045999999999999985,0.033,0.032,0,"45.9"
26,678394,"Bello, Brayan",2710,1,0.308,0.231,0.25,0.538,0.361,0.46,0.374,8,26,86.7,17,1825,88.1,88.2,0,26,0,0.10000000000000853,6.4,114,148,108,149,282,319,303,"-5.8","5.8","73.5","7.7",26,26,6,0,0,2,0,0,0,0,2.66308,0.28115,1.34885,-1.24885,"93.5",198,34.61538461538461,15.384615384615385,15.384615384615385,5.14,-1.82,-0.45,1.96,0.308,4,"22.296153846",0.374,0.709,"-22.296153846",-0.066,-0.066,-0.171,-0.099,0,"27.8"
23,542881,"Anderson, Tyler",2914,0.8,0.318,0.182,0.273,0.5,0.335,0.382,0.355,7,22,85.9,21.1,1887,79.1,78.62,0,23,0,-0.5,6.07,104,151,115,147,310,326,300,"-1.5","1.5","69.5","7.3",23,23,5,1,0,1,0,0,0,0,2.58348,1.07174,1.04174,-1.04174,"93.3",201,34.78260869565217,4.3478260869565215,4.3478260869565215,6.51,1.37,0.55,2.25,0.304,1,"6.365217391",0.34,0.578,"-6.365217391",-0.037,-0.03600000000000003,-0.078,-0.047,0,"61.2"
23,608379,"Wacha, Michael",2602,0.9,0.304,0.217,0.273,0.522,0.352,0.349,0.321,7,23,85.3,9.8,1477,80.9,81.63,0,23,0,0.6999999999999886,6.77,111,144,116,148,293,322,297,"-2.4","2.4","69.4","7.6",23,23,4,2,0,1,0,0,0,0,2.91739,0.58818,1.00348,-0.47565,"91.7",175,26.08695652173913,8.695652173913043,8.695652173913043,6.64,-1.64,-0.38,2.24,0.304,2,"10.595652174",0.321,0.49,"-10.595652174",-0.017,-0.017000000000000015,0.032,0.003,0,"53.6"
22,656288,"Canning, Griffin",2869,0.8,0.238,0.286,0.158,0.524,0.321,0.345,0.292,5,21,85.7,7.8,1817,88.5,87.68,0,22,0,-0.7999999999999972,5.86,105,148,114,149,302,328,302,"-1.7","1.7","67.8","7.1",22,22,3,0,0,2,0,0,0,0,2.47591,0.44409,1.39182,-0.40545,"94.4",139,40.909090909090914,9.090909090909092,9.090909090909092,5.83,-1.63,-0.31,2.03,0.238,2,"7.831818182",0.292,0.508,"-7.831818182",-0.054,-0.05399999999999999,0.016,-0.024,0,"41.0"
20,686563,"Cannon, Jonathan",2028,1,0.35,0.15,0.35,0.5,0.365,0.301,0.306,7,20,88.3,6.8,1761,85.8,85.85,0,20,0,0,6.35,109,145,115,150,296,327,300,"-1.7","1.7","72.9","7.7",20,20,4,3,0,0,0,0,0,0,3.017,0.0825,1.124,-0.935,"92.3",123,20,0,0,5.7,-2.34,-0.43,1.87,0.35,0,"8.57",0.306,0.383,"-8.57",0.044,0.043999999999999984,0.117,0.064,0,"23.2"
20,669432,"Rogers, Trevor",2243,0.9,0.3,0.05,0.3,0.35,0.283,0.332,0.33,6,20,89.8,-1.9,1585,85.3,85.99,0,20,0,0.7000000000000028,6.77,105,149,114,146,301,319,290,"-2.2","2.2","74.7","7.5",20,20,5,1,0,0,0,0,0,0,3.1125,0.02526,1.141,-1.004,"95.1",110,45,5,5,5.65,2.52,0.37,1.86,0.3,1,"10.985",0.33,0.432,"-10.985",-0.03,-0.030000000000000027,-0.082,-0.049,0,"21.5"
19,527048,"Pérez, Martín",2204,0.9,0.222,0.167,0.176,0.389,0.261,0.389,0.333,4,18,72.3,-5.4,1664,83.2,82.87,0,19,0,-0.29999999999999716,5.95,104,148,108,144,304,322,290,"-0.2","0.2","69.2","7.6",19,19,3,0,0,1,0,0,0,0,2.60842,0.67053,1.13474,-0.88947,"92.0",113,21.052631578947366,10.526315789473683,10.526315789473683,5.75,1.13,0.27,1.99,0.222,2,"1.115789474",0.333,0.573,"-1.115789474",-0.111,-0.11100000000000002,-0.184,-0.128,0,"45.7"
