"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle"
97,650633,"King, Michael",2895,3.4,,,,,,,,0,0,,,2281,93.1,92.49,0,0,97,-0.5999999999999943,6.05,111,149,116,151,297,323,297,"-2.4","2.4",,,0,0,0,0,0,0,0,,0,,1.75866,0.88588,0.90072,0.10711,,,,,,5.62,-2.99,-0.16,3.16,,0,"2.442268041",,,"-2.442268041",,,,,,"32.7"
88,605400,"Nola, Aaron",3189,2.8,,,,,,,,,,,,2292,91.8,92.84,0,0,88,1,6.95,111,149,115,149,298,326,295,"-2.3","2.3",,,,,,,,,,,,,1.66682,1.0433,1.13693,0.15466,"88.0",,,,,5.03,-1.76,0.18,3.06,,0,"2.570454545",,,"-2.570454545",,,,,,"19.6"
83,663623,"Irvin, Jake",3046,2.7,,,,,,,,,,,,2370,93.9,95.28,0,0,83,1.3999999999999915,7.05,115,148,118,148,304,326,299,"-2.1","2.1",,,,,,,,,,,,,1.58771,0.99578,0.97108,0.18,"88.0",,,,,5.77,-2.19,0.18,2.97,,0,"2.492771084",,,"-2.492771084",,,,,,"29.6"
82,500779,"Quintana, Jose",2819,2.9,,,,,,,,,,,,2077,90.7,90.85,0,0,82,0.09999999999999432,6.52,109,150,119,149,298,326,295,"-2.4","2.4",,,,,,,,,,,,,1.54098,1.24402,0.58634,-0.10049,,,,,,5.79,2.23,-0.19,3.31,,0,"2.926829268",,,"-2.926829268",,,,,,"44.4"
82,519242,"Sale, Chris",2815,2.9,,,,,,,,,,,,2205,94.4,94.63,0,0,82,0.19999999999998863,6.57,109,152,120,147,303,322,293,"-2","2",,,,,,,,,,,,,1.81451,0.75951,1.27793,-0.73256,,,,,,5.22,3.05,0.14,2.95,,0,"2.395121951",,,"-2.395121951",,,,,,"12.5"
81,594902,"Lively, Ben",2406,3.4,,,,,,,,,,,,1981,89.8,90.96,0,0,81,1.2000000000000028,6.91,113,150,118,151,299,320,303,"-2","2",,,,,,,,,,,,,1.6442,1.17481,0.83136,-0.08346,,,,,,5.28,-1.35,-0.11,3.14,,0,"2.420987654",,,"-2.420987654",,,,,,"38.8"
80,642547,"Peralta, Freddy",3066,2.6,,,,,,,,,,,,2422,93.8,94.29,0,0,80,0.5,6.66,111,149,118,148,304,322,298,"-1.9","1.9",,,,,,,,,,,,,1.21962,1.38088,0.53487,0.00813,,,,,,5.43,-2.67,-0.18,3.36,,0,"2.34625",,,"-2.34625",,,,,,"40.1"
79,676664,"Sears, JP",2857,2.8,,,,,,,,,,,,2072,91.6,91.61,0,0,79,0,6.41,108,150,118,147,300,324,294,"-2.2","2.2",,,,,,,,,,,,,1.55658,1.17152,0.99392,-0.7962,,,,,,4.93,1.14,-0.27,3.01,,0,"2.82278481",,,"-2.82278481",,,,,,"28.7"
78,676440,"Bibee, Tanner",2851,2.7,,,,,,,,,,,,2344,94.5,95.07,0,0,78,0.5999999999999943,6.58,115,149,117,150,297,321,298,"-1.9","1.9",,,,,,,,,,,,,1.23705,1.31244,0.35038,-0.12577,,,,,,6.24,-2.25,-0.12,3.36,,0,"2.487179487",,,"-2.487179487",,,,,,"52.6"
76,694297,"Pfaadt, Brandon",2793,2.7,,,,,,,,,,,,2494,93.7,94.64,0,0,76,0.8999999999999915,6.73,115,150,116,149,302,318,294,"-1.9","1.9",,,,,,,,,,,,,1.61961,0.96803,0.75803,0.16855,,,,,,5.57,-1.85,0.2,2.59,,0,"2.482894737",,,"-2.482894737",,,,,,"28.9"
