"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle"
54,663623,"Irvin, Jake",3046,1.8,0.296,0.185,0.269,0.481,0.332,0.364,0.348,16,54,88.4,9.6,2342,93.5,95.08,0,54,0,1.5999999999999943,7.08,106,148,116,147,303,325,297,"-2.3","2.3","71.7","7.0",54,54,10,4,0,2,0,0,0,0,1.73741,0.86185,1.0887,0.3113,"94.4",154,40.74074074074074,3.7037037037037033,3.7037037037037033,5.69,-2.21,-0.17,2.64,0.296,2,"4.268518519",0.348,0.495,"-4.268518519",-0.052,-0.05199999999999999,-0.014,-0.032,0,"27.7"
49,694297,"Pfaadt, Brandon",2793,1.8,0.408,0.122,0.396,0.531,0.406,0.39,0.361,20,49,86.7,6.6,2450,93.7,94.6,0,49,0,0.8999999999999915,6.75,107,150,116,149,301,316,294,"-5.1","5.1","68.6","6.7",49,49,17,1,1,1,0,0,0,0,1.75286,0.83776,0.92143,0.40102,"93.3",133,36.734693877551024,6.122448979591836,6.122448979591836,5.57,-1.92,-0.19,2.4,0.408,3,"10.4",0.361,0.536,"-10.4",0.047,0.046999999999999986,-0.005,0.016,0,"28.9"
47,622663,"Severino, Luis",2890,1.6,0.277,0.064,0.261,0.34,0.269,0.309,0.298,13,47,84.7,12.5,2130,95.7,95.68,0,47,0,0,6.3,115,148,115,149,297,325,299,"-0.5","0.5","71.0","6.8",47,47,12,0,0,1,0,0,0,0,1.40553,1.08702,0.86468,0.04468,"92.6",144,27.659574468085108,2.127659574468085,2.127659574468085,6.01,-1.91,-0.09,2.66,0.277,1,"1.044680851",0.298,0.419,"-1.044680851",-0.021,-0.020999999999999963,-0.079,-0.04,0,"42.3"
42,622491,"Castillo, Luis",2859,1.5,0.381,0.31,0.333,0.69,0.455,0.466,0.366,16,42,90.9,18.2,2090,95.2,93.54,0,42,0,-1.7000000000000028,5.33,111,147,112,146,291,320,290,"-6.8","6.8","71.0","6.8",42,42,9,4,0,3,0,0,0,0,1.8019,0.71476,1.25833,0.07643,"95.5",200,50,19.047619047619047,19.047619047619047,5.07,-2.22,-0.1,2.63,0.381,8,"16.121428571",0.366,0.737,"-16.121428571",0.015,0.015000000000000013,-0.047,-0.011,0,"15.8"
40,657006,"Steele, Justin",2046,2,0.375,0.3,0.324,0.675,0.446,0.414,0.385,15,40,82.1,15.3,2418,91.8,92.1,0,40,0,0.29999999999999716,6.37,110,152,115,150,303,325,293,"-6.2","6.2","69.6","6.6",40,40,9,3,0,3,0,0,0,0,1.64025,1.055,0.19692,0.11641,"92.1",181,27.500000000000004,7.5,7.5,6.13,2.11,-0.25,2.6,0.375,3,"15.6175",0.385,0.569,"-15.6175",-0.01,-0.010000000000000009,0.106,0.032,0,"45.9"
39,663559,"Falter, Bailey",2138,1.8,0.231,0.128,0.211,0.359,0.253,0.344,0.323,9,39,86.5,21.8,2029,92.3,94.15,0,39,0,1.9000000000000057,7.36,107,148,111,146,308,325,287,"0.9","-0.9","70.0","6.8",39,39,6,2,0,1,0,0,0,0,1.21231,1.46231,0.3241,-0.15077,"93.0",186,30.76923076923077,5.128205128205128,5.128205128205128,5.78,1.16,-0.14,2.71,0.231,2,"-2.430769231",0.323,0.479,"2.430769231",-0.092,-0.092,-0.12,-0.091,0,"55.4"
39,664285,"Valdez, Framber",2598,1.5,0.237,0.105,0.211,0.342,0.243,0.317,0.292,9,38,87,3.7,2178,94.7,93.69,0,39,0,-1,5.84,103,151,111,147,296,323,293,"0.9","-0.9","71.2","6.8",39,39,7,1,0,1,0,0,0,0,1.99949,0.55744,1.38231,-0.89462,"94.2",125,41.02564102564102,7.6923076923076925,7.6923076923076925,6.09,0.58,0.13,2.2,0.231,3,"-2.307692308",0.285,0.457,"2.307692308",-0.055,-0.053999999999999965,-0.115,-0.074,0,"43.2"
38,594902,"Lively, Ben",2406,1.6,0.237,0.184,0.194,0.421,0.28,0.311,0.27,9,38,87.3,11.4,1979,90,91.14,0,38,0,1.0999999999999943,6.9,104,148,120,148,300,321,302,"1.1","-1.1","72.1","7.1",38,38,6,1,0,2,0,0,0,0,1.76211,1.04553,1.00053,0.42421,"93.0",131,34.21052631578947,5.263157894736842,5.263157894736842,5.2,-1.38,-0.14,2.61,0.237,2,"-2.989473684",0.27,0.459,"2.989473684",-0.033,-0.03300000000000003,-0.038,-0.031,0,"37.8"
38,657612,"Hill, Tim",982,3.9,0.289,0.026,0.289,0.316,0.265,0.286,0.289,11,38,87.8,-10.7,2087,89.3,89.76,0,38,0,0.5,6.83,111,150,116,151,292,323,291,"-1","1","68.4","6.6",38,38,10,1,0,0,0,0,0,0,3.23184,-0.34447,1.35342,0.03816,"94.3",97,42.10526315789473,2.631578947368421,2.631578947368421,3.1,3.89,0.4,2.27,0.289,1,"2.555263158",0.289,0.367,"-2.555263158",0,0,-0.051,-0.021,0,"-21.1"
38,607625,"Lugo, Seth",3112,1.2,0.316,0.184,0.278,0.5,0.35,0.367,0.323,12,38,89.4,5.4,2386,91.8,91.74,0,38,0,-0.09999999999999432,6.16,112,150,115,149,302,322,296,"-2.2","2.2","70.7","6.9",38,38,9,1,0,2,0,0,0,0,1.84342,0.85289,1.03658,0.38184,"94.2",138,42.10526315789473,5.263157894736842,5.263157894736842,5.42,-1.25,-0.15,2.58,0.316,2,"5.85",0.323,0.537,"-5.85",-0.007,-0.007000000000000006,-0.037,-0.017,0,"31.2"
