"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle"
32,641793,"Littell, Zack",2486,1.3,,,,,,,,,,,,2279,86,85.93,0,32,0,-0.09999999999999432,6.16,106,148,111,149,298,330,298,"2.1","-2.1","70.8","7.2",,,,,,,,,,,2.56594,0.51188,-0.27813,-0.09688,"89.7",135,,,,6.19,-0.69,0.37,2.44,,0,"-6.66875",,,"6.66875",,,,,0,"41.7"
29,571578,"Corbin, Patrick",2888,1,,,,,,,,,,,,2200,79.6,80.17,0,29,0,0.6000000000000085,6.59,109,151,121,146,304,326,297,"1.8","-1.8","71.6","7.9",,,,,,,,,,,3.60034,-0.0069,-0.21964,0.18464,"88.8",77,,,,6.26,2.6,0.1,1.88,,0,"-6.255172414",,,"6.255172414",,,,,0,"38.8"
25,601713,"Pivetta, Nick",2387,1,,,,,,,,,,,,2423,82.3,83.01,0,25,0,0.7000000000000028,6.74,107,151,120,148,288,323,296,"1.4","-1.4","72.3","7.8",,,,,,,,,,,3.1088,0.2596,-1.0312,-0.5928,"90.1",124,,,,6.75,-1.75,0.35,2.4,,0,"-5.644",,,"5.644",,,,,0,"54.3"
25,656302,"Cease, Dylan",3188,0.8,,,,,,,,,,,,2783,86.4,86.52,0,25,0,0.09999999999999432,6.21,112,149,114,151,299,328,300,"1.3","-1.3","70.2","7.7",,,,,,,,,,,3.09,-0.05,-0.3268,-0.194,"88.3",109,,,,6.03,-1.26,0.21,2.09,,0,"-5.056",,,"5.056",,,,,0,"51.2"
24,543859,"Tonkin, Michael",1419,1.7,,,,,,,,,,,,2335,81.9,81.44,0,24,0,-0.5,6.14,111,151,117,149,291,321,288,"1.4","-1.4","65.0","7.4",,,,,,,,,,,3.48542,-0.0675,-0.68333,-0.51583,"89.0",82,,,,5.14,-3.85,0.13,2.09,,0,"-6.033333333",,,"6.033333333",,,,,0,"11.9"
22,687765,"Spence, Mitch",2481,0.9,,,,,,,,,,,,2771,84.8,84.37,0,22,0,-0.3999999999999915,6.23,111,149,117,150,300,322,298,"1","-1","64.4","7.0",,,,,,,,,,,3.275,-0.08286,-1.22364,-0.27091,"88.7",83,,,,6.07,-2.91,0.55,2.2,,0,"-4.704545455",,,"4.704545455",,,,,0,"42.4"
22,663423,"Thornton, Trent",1139,1.9,,,,,,,,,,,,2903,85.7,85.51,0,22,0,-0.20000000000000284,6.18,108,149,115,147,291,320,289,"1.3","-1.3","66.3","7.0",,,,,,,,,,,2.79273,0.34227,-0.85636,-0.36818,"88.8",144,,,,5.01,-2.53,0.27,2.41,,0,"-5.854545455",,,"5.854545455",,,,,0,"28.4"
22,641154,"López, Pablo",2986,0.7,,,,,,,,,,,,2454,84.5,85.77,0,22,0,1.2999999999999972,7.12,109,146,112,150,294,323,296,"1.3","-1.3","69.1","7.2",,,,,,,,,,,3.19682,-0.00364,-1.05773,0.44045,"89.4",96,,,,5.52,-1.81,0.42,2.35,,0,"-5.686363636",,,"5.686363636",,,,,0,"35.9"
22,519242,"Sale, Chris",2815,0.8,,,,,,,,,,,,2350,78.9,78.65,0,22,0,-0.30000000000001137,6.17,108,152,116,147,304,322,291,"1.3","-1.3","69.0","7.9",,,,,,,,,,,4.05909,-0.38182,-0.91318,0.75773,"89.9",106,,,,5.11,3.14,-0.04,1.89,,0,"-6.059090909",,,"6.059090909",,,,,0,"11.2"
22,680573,"Woods Richardson, Simeon",2295,1,,,,,,,,,,,,2284,86,86.88,0,22,0,0.9000000000000057,6.6,107,147,112,149,298,323,293,"1.6","-1.6","69.5","7.5",,,,,,,,,,,2.39318,0.66091,-0.42409,-0.04136,"88.3",139,,,,6.46,-1,0.51,2.11,,0,"-7.309090909",,,"7.309090909",,,,,0,"46.7"
21,676664,"Sears, JP",2857,0.7,,,,,,,,,,,,2468,78.8,78.94,0,21,0,0.10000000000000853,6.37,105,149,117,146,304,325,296,"1.2","-1.2","67.1","7.7",,,,,,,,,,,3.28095,0.41,-1.06667,0.96857,"91.0",133,,,,4.39,1.54,-0.54,2.16,,0,"-5.857142857",,,"5.857142857",,,,,0,"15.9"
21,571760,"Heaney, Andrew",2731,0.8,,,,,,,,,,,,2499,83,83.09,0,21,0,0.09999999999999432,6.3,110,151,115,148,303,324,296,"1.1","-1.1","72.3","8.1",,,,,,,,,,,3.15524,0.15048,-0.1445,0.1065,"90.9",51,,,,5.05,3.02,-0.33,1.75,,0,"-5.023809524",,,"5.023809524",,,,,0,"29.6"
21,656557,"Houck, Tanner",2735,0.8,,,,,,,,,,,,2541,83,82.14,0,21,0,-0.9000000000000057,5.86,112,149,118,147,284,319,299,"1.1","-1.1","69.9","7.7",,,,,,,,,,,3.45,-0.12238,-1.40524,-0.20524,"89.6",125,,,,5.56,-2.35,0.48,2.05,,0,"-5.395238095",,,"5.395238095",,,,,0,"20.5"
20,571945,"Mikolas, Miles",2705,0.7,,,,,,,,,,,,2313,86.6,86.81,0,20,0,0.20000000000000284,6.3,114,147,105,149,301,322,304,"1","-1","70.2","7.3",,,,,,,,,,,2.744,0.286,-0.3445,0.0455,"88.7",90,,,,6.55,-2.63,0.49,2.43,,0,"-4.89",,,"4.89",,,,,0,"46.3"
20,607536,"Freeland, Kyle",1769,1.1,,,,,,,,,,,,2305,86.7,87.5,0,20,0,0.7999999999999972,6.65,107,148,121,143,302,329,297,"1.1","-1.1","68.7","7.3",,,,,,,,,,,2.5425,0.477,0.042,-0.05,"90.0",152,,,,5.69,2.66,-0.13,2.31,,0,"-5.715",,,"5.715",,,,,0,"25.0"
20,694297,"Pfaadt, Brandon",2793,0.7,,,,,,,,,,,,2823,84.4,85.07,0,20,0,0.6999999999999886,6.63,114,152,119,148,303,318,294,"1","-1","66.3","7.7",,,,,,,,,,,2.6065,0.5835,-0.994,-0.577,"88.1",119,,,,5.36,-2.28,0.36,2.11,,0,"-4.96",,,"4.96",,,,,0,"24.7"
19,592351,"Gray, Jon",1620,1.2,,,,,,,,,,,,2330,88.3,88.76,0,19,0,0.5,6.47,115,152,115,150,302,326,299,"0.8","-0.8","69.3","7.3",,,,,,,,,,,2.50632,0.40632,-0.21526,-0.13947,"88.4",128,,,,5.68,-1.69,0.52,2.16,,,"-4.415789474",,,"4.415789474",,,,,0,"32.6"
19,669276,"Lee, Dylan",859,2.2,,,,,,,,,,,,2067,83.7,83.97,0,19,0,0.29999999999999716,6.28,106,152,117,148,299,322,292,"1.1","-1.1","63.6","7.4",,,,,,,,,,,2.75421,0.47684,-0.21056,0.08167,"89.1",87,,,,6.49,1.9,-0.23,2.12,,0,"-5.768421053",,,"5.768421053",,,,,0,"44.4"
18,641755,"Kinley, Tyler",1185,1.5,,,,,,,,,,,,2580,89,88.39,0,18,0,-0.5999999999999943,5.57,105,141,116,142,303,330,300,"1.5","-1.5","62.8","7.5",,,,,,,,,,,2.41722,0.42833,-0.09667,-0.01778,"89.4",122,,,,6.46,-1,0.26,2.19,,0,"-8.105555556",,,"8.105555556",,,,,0,"45.2"
17,592791,"Taillon, Jameson",2483,0.7,,,,,,,,,,,,2706,79.8,80.47,0,17,0,0.7000000000000028,6.69,108,153,120,151,305,327,293,"1","-1","68.7","7.5",,,,,,,,,,,3.50588,0.06706,-1.36235,-1.23529,"89.8",135,,,,6.16,-1.45,0.17,2.55,,,"-6.088235294",,,"6.088235294",,,,,0,"45.3"
17,683155,"Estes, Joey",2027,0.8,,,,,,,,,,,,2581,78.8,77.89,0,17,0,-0.8999999999999915,5.81,109,148,120,147,299,327,298,"1","-1","71.5","7.9",,,,,,,,,,,3.26471,0.43647,-1.08412,-0.73471,"88.0",75,,,,5.75,-2.16,0.31,2.44,,0,"-5.635294118",,,"5.635294118",,,,,0,"36.2"
17,641729,"Jiménez, Joe",1089,1.6,,,,,,,,,,,,2189,85.4,86.91,0,17,0,1.5,7.18,114,151,118,149,299,320,294,"0.8","-0.8","71.4","7.6",,,,,,,,,,,2.83294,0.28706,-0.46118,-0.13882,"88.7",104,,,,5.58,-2.6,0.38,2.13,,0,"-4.641176471",,,"4.641176471",,,,,0,"29.2"
17,656605,"Keller, Mitch",2851,0.6,,,,,,,,,,,,2621,84.8,85.38,0,17,0,0.6000000000000085,6.54,109,149,107,149,305,326,296,"1","-1","70.8","7.8",,,,,,,,,,,3.09765,0.06824,-1.00235,-0.26235,"91.3",99,,,,5.8,-1.94,0.43,2.16,,0,"-5.588235294",,,"5.588235294",,,,,0,"36.1"
17,607200,"Fedde, Erick",2891,0.6,,,,,,,,,,,,2374,83.3,84.05,0,17,0,0.7999999999999972,6.69,106,151,110,148,302,322,296,"0.9","-0.9","67.5","7.4",,,,,,,,,,,2.87941,0.39647,-0.92353,-0.64941,"89.5",138,,,,5.68,-1.58,0.42,2.18,,0,"-5.517647059",,,"5.517647059",,,,,0,"33.4"
17,668964,"Myers, Tobias",2152,0.8,,,,,,,,,,,,2141,85.8,86.52,0,17,0,0.7000000000000028,6.57,103,151,122,147,308,323,300,"0.8","-0.8","72.3","7.3",,,,,,,,,,,2.83353,0.24353,-0.41647,-0.29059,"88.1",106,,,,5.93,-0.97,0.11,2.18,,0,"-4.7",,,"4.7",,,,,0,"61.7"
16,676254,"Walker, Ryan",1221,1.3,,,,,,,,,,,,2612,84.3,83.99,0,16,0,-0.29999999999999716,6.09,101,150,116,150,292,318,297,"1.1","-1.1","67.7","7.6",,,,,,,,,,,2.9825,0.22875,-1.29875,-0.04375,"91.0",99,,,,5.23,-3.41,0.05,2.14,,0,"-6.9375",,,"6.9375",,,,,0,"20.1"
16,682847,"Ortiz, Luis L.",2143,0.7,,,,,,,,,,,,2438,85.6,86.71,0,16,0,1.1000000000000085,6.78,122,149,110,150,306,328,301,"0.7","-0.7","73.6","7.8",,,,,,,,,,,2.9725,0.11625,-0.63687,0.15687,"89.2",119,,,,5.04,-1.76,0.2,1.98,,0,"-4.575",,,"4.575",,,,,0,"25.9"
16,678394,"Bello, Brayan",2710,0.6,,,,,,,,,,,,2391,86.5,86.69,0,16,0,0.20000000000000284,6.22,113,150,109,149,282,322,303,"0.9","-0.9","67.7","7.1",,,,,,,,,,,3.17563,-0.14813,-0.67937,0.08188,"93.7",138,,,,5.2,-1.82,0.46,2.18,,0,"-5.69375",,,"5.69375",,,,,0,"29.3"
16,607625,"Lugo, Seth",3112,0.5,,,,,,,,,,,,2851,82.9,82.46,0,16,0,-0.4000000000000057,5.91,106,150,116,149,309,323,295,"0.9","-0.9","70.7","7.7",,,,,,,,,,,3.335,-0.002,-0.975,-0.3975,"90.0",119,,,,5.52,-1.42,0.35,2.25,,,"-5.5625",,,"5.5625",,,,,0,"31.2"
16,605154,"Brebbia, John",994,1.6,,,,,,,,,,,,2669,83.6,84.39,0,16,0,0.8000000000000114,6.59,107,148,120,147,300,322,296,"0.8","-0.8","70.6","7.5",,,,,,,,,,,3.12875,0.12643,-0.67438,-0.29938,"88.0",130,,,,5.91,-1.89,0.38,2.22,,0,"-4.89375",,,"4.89375",,,,,0,"42.0"
