"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle"
62,650911,"Sánchez, Cristopher",2797,2.2,,,,,,,,,,,,2026,85.7,86.72,0,0,62,1,7.01,105,150,120,147,302,326,288,"-1.4","1.4",,,,,,,,,,,,,3.03532,0.0805,1.53726,-1.19661,,,,,,6.12,1.97,0.57,1.22,,0,"2.227419355",,,"-2.227419355",,,,,,"30.0"
39,608379,"Wacha, Michael",2602,1.5,,,,,,,,,,,,1540,81.5,81.99,0,0,39,0.5,6.7,111,148,123,151,297,322,297,"-0.9","0.9",,,,,,,,,,,,,2.90026,0.54333,1.07974,-0.52487,,,,,,6.64,-1.65,-0.68,1.13,,0,"2.343589744",,,"-2.343589744",,,,,,"53.1"
39,657277,"Webb, Logan",3201,1.2,,,,,,,,,,,,1507,87.9,89.23,0,0,39,1.2999999999999972,7.03,113,147,125,150,294,322,296,"-0.8","0.8",,,,,,,,,,,,,3.35718,-0.425,0.87205,-0.09051,,,,,,4.86,-1.49,0.31,0.89,,0,"2.146153846",,,"-2.146153846",,,,,,"18.9"
34,543294,"Hendricks, Kyle",2135,1.6,,,,,,,,,,,,2169,80.9,80.04,0,0,34,-0.9000000000000057,5.61,112,150,122,152,301,326,297,"-0.8","0.8",,,,,,,,,,,,,2.76647,0.70618,0.80294,-0.33706,,,,,,6.06,-2.6,0.33,0.93,,0,"2.229411765",,,"-2.229411765",,,,,,"44.0"
34,500779,"Quintana, Jose",2819,1.2,,,,,,,,,,,,1333,85.6,85.57,0,0,34,0,6.46,107,150,122,147,299,325,292,"-0.5","0.5",,,,,,,,,,,,,2.84176,0.29206,1.15941,-1.15941,,,,,,5.68,2.33,1.2,1.18,,0,"1.588235294",,,"-1.588235294",,,,,,"42.3"
31,641927,"Ober, Bailey",2696,1.1,,,,,,,,,,,,2022,83.6,84.77,0,0,31,1.2000000000000028,7.14,114,149,125,151,294,322,293,"-0.5","0.5",,,,,,,,,,,,,2.74774,0.52419,1.36774,-0.29742,,,,,,6.02,-1.5,-0.34,1.21,,0,"1.477419355",,,"-1.477419355",,,,,,"34.6"
29,542881,"Anderson, Tyler",2914,1,,,,,,,,,,,,1898,79.3,78.76,0,0,29,-0.5,6.06,104,150,119,147,309,324,294,"-0.6","0.6",,,,,,,,,,,,,2.62655,1.02172,1.10931,-1.0369,,,,,,6.47,1.45,0.82,0.93,,0,"2.04137931",,,"-2.04137931",,,,,,"60.6"
28,579328,"Kikuchi, Yusei",2923,1,,,,,,,,,,,,1683,88.1,89.16,0,0,28,1.1000000000000085,6.96,107,150,117,144,296,320,290,"-0.5","0.5",,,,,,,,,,,,,2.29429,0.64714,1.13357,-1.13357,,,,,,5.46,2.37,1.27,1.14,,0,"1.675",,,"-1.675",,,,,,"42.1"
28,670950,"Richards, Trevor",1182,2.4,,,,,,,,,,,,2591,79.3,79.39,0,0,28,0.10000000000000853,6.29,108,150,124,147,288,319,295,"-0.6","0.6",,,,,,,,,,,,,3.79679,-0.17786,1.01679,0.2875,,,,,,6.28,-2.25,-0.07,0.69,,0,"2.264285714",,,"-2.264285714",,,,,,"51.3"
28,669432,"Rogers, Trevor",2243,1.2,,,,,,,,,,,,1661,85.4,86.15,0,0,28,0.6999999999999886,6.85,110,149,120,146,299,318,290,"-0.7","0.7",,,,,,,,,,,,,3.12357,0.0128,1.23357,-0.85071,,,,,,5.56,2.54,0.37,1.08,,0,"2.664285714",,,"-2.664285714",,,,,,"21.6"
28,694813,"Stone, Gavin",2152,1.3,,,,,,,,,,,,1684,87.6,88.23,0,0,28,0.6000000000000085,6.62,115,150,134,152,292,314,296,"-0.6","0.6",,,,,,,,,,,,,2.49536,0.46964,1.17107,-0.33107,,,,,,5.57,-1.95,-0.35,0.67,,0,"2.282142857",,,"-2.282142857",,,,,,"45.9"
26,681857,"Olson, Reese",1853,1.4,,,,,,,,,,,,2003,86.2,85.4,0,0,26,-0.7999999999999972,5.88,110,148,131,148,292,327,299,"-0.5","0.5",,,,,,,,,,,,,3.09231,-0.01346,1.15385,-0.19385,,,,,,5.88,-2.79,-0.09,0.69,,0,"2.042307692",,,"-2.042307692",,,,,,"34.2"
26,686752,"Pepiot, Ryan",2149,1.2,,,,,,,,,,,,2496,85.6,85.95,0,0,26,0.30000000000001137,6.62,110,148,127,150,293,331,303,"-0.5","0.5",,,,,,,,,,,,,2.96962,0.15385,1.23923,-0.39154,,,,,,6.05,-1.04,-0.45,0.85,,0,"2.069230769",,,"-2.069230769",,,,,,"40.3"
26,666142,"Ragans, Cole",3118,0.8,,,,,,,,,,,,2185,84.7,84.58,0,0,26,-0.10000000000000853,6.26,111,150,121,148,306,323,290,"-0.5","0.5",,,,,,,,,,,,,2.16769,1.01808,1.30577,-1.08577,,,,,,6.24,1.21,0.89,1.39,,0,"2.103846154",,,"-2.103846154",,,,,,"43.7"
25,669373,"Skubal, Tarik",2866,0.9,,,,,,,,,,,,1775,88.3,88.4,0,0,25,0.10000000000000853,6.28,114,152,121,147,300,330,292,"-0.4","0.4",,,,,,,,,,,,,2.4832,0.4336,1.2476,-0.9364,,,,,,6.07,1.81,0.93,1.3,,0,"1.712",,,"-1.712",,,,,,"43.9"
23,678394,"Bello, Brayan",2710,0.8,,,,,,,,,,,,1811,88.2,88.53,0,0,23,0.29999999999999716,6.53,106,149,126,147,289,317,297,"-0.5","0.5",,,,,,,,,,,,,2.65,0.29727,1.29826,0.01478,,,,,,5.12,-1.8,0.08,0.66,,0,"2.386956522",,,"-2.386956522",,,,,,"27.0"
22,519242,"Sale, Chris",2815,0.8,,,,,,,,,,,,1900,87.1,87.21,0,0,22,0.10000000000000853,6.45,112,153,124,147,299,322,291,"-0.4","0.4",,,,,,,,,,,,,3.05,-0.03364,1.32455,-1.1,,,,,,4.81,3.22,1.1,0.9,,0,"1.636363636",,,"-1.636363636",,,,,,"6.9"
22,641482,"Cortes, Nestor",2849,0.8,,,,,,,,,,,,1483,83.4,82.72,0,0,22,-0.7000000000000028,5.8,109,153,121,150,295,326,283,"-0.5","0.5",,,,,,,,,,,,,2.98818,0.28545,1.16136,-1.16136,,,,,,5.61,1.39,1.36,1.22,,0,"2.086363636",,,"-2.086363636",,,,,,"43.2"
