"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle"
15,605135,"Bassitt, Chris",2959,0.5,,,,,,,,,,,,2251,90,90.41,0,15,0,0.4000000000000057,6.37,110,146,120,146,291,317,290,"0","0","65.6","6.2",,,,,,,,,,,1.96933,0.82733,-0.01214,-0.04214,"89.9",196,,,,5.58,-1.51,0.13,3.16,,0,"0",,,"0",,,,,0,"37.0"
14,445276,"Jansen, Kenley",801,1.7,,,,,,,,,,,,2708,93.7,94.46,0,14,0,0.7999999999999972,6.72,118,151,128,149,283,318,293,"0","0","69.5","7.1",,,,,,,,,,,1.06429,1.53214,-0.40571,-0.17286,"88.7",198,,,,6.52,-1.84,0.22,2.58,,,"0",,,"0",,,,,0,"63.3"
13,661403,"Clase, Emmanuel",983,1.3,,,,,,,,,,,,2577,99.5,100.38,0,13,0,0.9000000000000057,6.58,121,149,133,152,287,314,300,"0","0","63.6","6.2",,,,,,,,,,,1.31,0.97846,-0.17615,0.07769,"88.9",182,,,,6.04,-0.82,-0.01,2.79,,0,"0",,,"0",,,,,0,"49.5"
13,687765,"Spence, Mitch",2481,0.5,,,,,,,,,,,,2620,92.5,92.71,0,13,0,0.20000000000000284,6.28,115,149,130,150,299,321,297,"0","0","63.3","6.3",,,,,,,,,,,2.13923,0.51462,-0.30154,-0.06154,"88.0",128,,,,6.29,-2.54,0.28,2.7,,0,"0",,,"0",,,,,0,"49.9"
10,573186,"Stroman, Marcus",2667,0.4,,,,,,,,,,,,2505,88,87.14,0,10,0,-0.9000000000000057,5.65,113,147,126,153,289,324,286,"0","0","65.3","6.3",,,,,,,,,,,2.536,0.398,-0.159,0.031,"89.0",154,,,,5.22,-1.04,0.35,2.75,,0,"0",,,"0",,,,,0,"33.0"
10,445926,"Chavez, Jesse",1044,1,,,,,,,,,,,,2189,89,89.18,0,10,0,0.20000000000000284,6.2,111,151,120,147,303,325,289,"0","0","72.3","7.0",,,,,,,,,,,1.85,1.007,0.158,0.034,"88.0",176,,,,5.11,-1.64,0.28,2.65,,0,"0",,,"0",,,,,0,"20.5"
9,669203,"Burnes, Corbin",2996,0.3,,,,,,,,,,,,2792,95,95.71,0,9,0,0.7000000000000028,6.53,101,137,118,141,292,314,291,"0","0","65.0","6.3",,,,,,,,,,,1.67333,0.83778,-0.30222,0.08444,"89.2",88,,,,5.99,-1,0.26,2.61,,0,"0",,,"0",,,,,0,"42.5"
9,668933,"Ashcraft, Graham",1342,0.7,,,,,,,,,,,,2456,96.9,95.87,0,9,0,-1,5.51,107,147,127,147,302,330,301,"0","0","69.1","6.7",,,,,,,,,,,1.55333,0.85667,-0.12889,0.01333,"89.0",83,,,,6.43,-0.31,0.6,2.71,,0,"0",,,"0",,,,,0,"51.7"
9,676440,"Bibee, Tanner",2851,0.3,,,,,,,,,,,,2745,86.5,86.88,0,9,0,0.4000000000000057,6.44,108,151,129,152,302,319,301,"0","0","68.3","7.6",,,,,,,,,,,2.79778,0.24222,-0.75111,-0.33333,"90.3",191,,,,6.18,-2.33,0.58,2.23,,,"0",,,"0",,,,,0,"48.8"
9,621237,"Alvarado, José",1052,0.9,,,,,,,,,,,,2108,92.5,93.72,0,9,0,1.2000000000000028,6.79,106,150,121,148,298,323,290,"0","0","64.9","6.9",,,,,,,,,,,2.09,0.55333,0.06625,-0.03375,"89.1",78,,,,6.65,0.95,-0.76,2.09,,0,"0",,,"0",,,,,0,"66.7"
