"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle"
1,669923,"Kirby, George",2967,0,,,,,0.72,0.72,,0,0,,,1027,84.3,85.3,0,0,1,1,7,88,139,119,142,282,319,293,"-0.7","0.7",,,1,0,0,0,0,0,0,0,0,0,3.14,0.08,0.6,-0.6,,,,,0,5.65,-1.56,1.73,0.62,1,0,"73.5",1,,"-73.5",,0,,0,,"34.6"
1,518585,"Cruz, Fernando",1138,0.1,,,,,0.72,0.72,,0,0,,,893,81.5,82.7,0,0,1,1.2000000000000028,6.9,110,151,120,148,302,315,285,"-0.3","0.3",,,1,0,0,0,0,0,0,0,0,0,3.72,-0.32,0.81,0.81,,,,,0,5.99,-1.12,-1.74,4.07,1,0,"28.8",1,,"-28.8",,0,,0,,"42.4"
1,682243,"Miller, Bryce",2749,0,,,,,0.72,0.72,,0,0,,,856,84.4,84.7,0,0,1,0.29999999999999716,6.6,115,153,118,148,290,300,280,"-0.2","0.2",,,1,0,0,0,0,0,0,0,0,0,3.29,-0.08,1.05,1.05,,,,,0,5.56,-1.55,-1.53,3.26,1,0,"16.8",1,,"-16.8",,0,,0,,"40.7"
1,668881,"Greene, Hunter",2563,0,,,,,0.72,0.72,,0,0,,,1036,85.9,85.7,0,0,1,-0.20000000000000284,6.4,117,152,124,150,312,322,284,"-0.5","0.5",,,1,0,0,0,0,0,0,0,0,0,2.58,0.54,0.59,0.59,,,,,0,5.8,-2.4,-2.04,3.58,1,0,"48.6",1,,"-48.6",,0,,0,,"32.1"
1,667755,"Soriano, José",1737,0.1,,,,,0.72,0.72,,0,0,,,1588,91.7,92.5,0,0,1,0.7999999999999972,7,123,149,133,154,308,336,314,"-0.5","0.5",,,1,0,0,0,0,0,0,0,0,0,2.29,0.44,0.95,-0.95,,,,,0,5.82,-1.22,2.26,-0.02,1,0,"48.6",1,,"-48.6",,0,,0,,"33.0"
1,680885,"Schwellenbach, Spencer",1887,0.1,,,,,0.72,0.72,,0,0,,,1426,82.4,83.8,0,0,1,1.3999999999999915,7.1,113,154,127,148,299,324,300,"-0.2","0.2",,,1,0,0,0,0,0,0,0,0,0,3.3,0.04,1.01,1.01,,,,,0,5.36,-2.41,-2.91,3.98,1,0,"16.8",1,,"-16.8",,0,,0,,"33.5"
1,684320,"Rodríguez, Yariel",1502,0.1,,,,,0.72,0.72,,0,0,,,1085,89.5,90.1,0,0,1,0.5999999999999943,6.6,113,155,117,150,305,316,278,"-0.3","0.3",,,1,0,0,0,0,0,0,0,0,0,2.34,0.51,0.79,0.79,,,,,0,6.06,-1.5,-1.84,4.11,1,0,"32.8",1,,"-32.8",,0,,0,,"48.7"
1,642629,"Ramirez, Emmanuel",371,0.3,,,,,0.72,0.72,,0,0,,,577,83.7,83.6,0,0,1,-0.10000000000000853,6.5,108,152,124,146,297,310,293,"-0.5","0.5",,,1,0,0,0,0,0,0,0,0,0,2.98,0.3,0.66,0.66,,,,,0,5.78,0.12,-2.22,2.03,1,0,"45.1",1,,"-45.1",,0,,0,,"62.9"
1,669302,"Gilbert, Logan",3042,0,,,,,0.72,0.72,,0,0,,,699,84.8,86.9,0,0,1,2.1000000000000085,7.8,128,148,130,151,286,313,300,"-0.5","0.5",,,1,0,0,0,0,0,0,0,0,0,3.77,-0.57,-0.18,0.18,,,,,0,5.44,-1.26,2.19,-0.39,1,0,"48.6",1,,"-48.6",,0,,0,,"33.4"
1,657585,"Garrett, Reed",980,0.1,,,,,0.72,0.72,,0,0,,,,88.2,,0,0,1,,,,,,,,,,"-0.5","0.5",,,1,0,0,0,0,0,0,0,0,0,2.64,0.29,1.14,1.14,,,,,0,5.68,-2.08,-2.47,2.51,1,0,"48.5",1,,"-48.5",,0,,0,,
1,615698,"Quantrill, Cal",2643,0,,,,,0.72,0.72,,0,0,,,903,83.1,83.5,0,0,1,0.4000000000000057,6.5,119,148,127,146,310,333,297,"-0.2","0.2",,,1,0,0,0,0,0,0,0,0,0,3.12,0.17,0.73,0.73,,,,,0,6.4,-1.47,-0.87,4.04,1,0,"24.3",1,,"-24.3",,0,,0,,"46.2"
