"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle"
18,592332,"Gausman, Kevin",2958,0.6,0.444,0.389,0.375,0.833,0.542,0.435,0.364,8,18,90.3,0,1723,86.5,87.11,0,18,0,0.5999999999999943,6.68,113,148,123,149,293,321,298,"-4.5","4.5","69.0","7.6",18,18,5,1,0,2,0,0,0,0,2.54222,0.51056,1.38667,-0.42667,"94.1",120,38.88888888888889,11.11111111111111,11.11111111111111,5.61,-2.62,-0.6,1.68,0.444,2,"24.772222222",0.364,0.648,"-24.772222222",0.08,0.08000000000000002,0.185,0.107,0,"33.1"
16,684007,"Imanaga, Shota",2590,0.6,0.313,0.063,0.313,0.375,0.299,0.306,0.303,5,16,85.4,0.5,1179,83.2,83.51,0,16,0,0.29999999999999716,6.36,107,152,121,150,300,322,291,"-1.5","1.5","70.5","7.8",16,16,4,1,0,0,0,0,0,0,2.69812,0.57813,0.84562,-0.68313,"92.9",117,37.5,0,0,5.43,2.68,0.54,1.88,0.313,0,"9.15",0.303,0.387,"-9.15",0.01,0.010000000000000009,-0.012,-0.007,0,"38.0"
14,615698,"Quantrill, Cal",2643,0.5,0.143,0,0.143,0.143,0.126,0.247,0.227,2,14,76.6,-5.5,1002,86.6,87.37,0,14,0,0.8000000000000114,6.5,112,150,128,148,302,327,299,"1","-1","67.4","7.0",14,14,2,0,0,0,0,0,0,0,2.63571,0.37714,0.85786,0.25214,"90.6",139,21.428571428571427,7.142857142857142,7.142857142857142,6.32,-1.45,-0.6,2.31,0.143,1,"-7.292857143",0.227,0.347,"7.292857143",-0.084,-0.08400000000000002,-0.204,-0.121,0,"45.2"
12,808967,"Yamamoto, Yoshinobu",1469,0.8,0.091,0,0.083,0.091,0.073,0.257,0.213,1,11,84,1.6,1229,89.9,90.57,0,12,0,0.6999999999999886,6.58,117,146,128,148,292,314,292,"1.6","-1.6","68.9","7.4",12,12,1,0,0,0,0,0,0,0,2.605,0.2025,0.55667,-0.36167,"92.5",108,25,16.666666666666664,16.666666666666664,5.51,-1.19,-0.41,1.84,0.083,2,"-13.533333333",0.224,0.303,"13.533333333",-0.122,-0.14100000000000001,-0.212,-0.184,0,"46.3"
11,641793,"Littell, Zack",2486,0.4,0.364,0.182,0.364,0.545,0.388,0.278,0.284,4,11,86.2,9.2,752,82.8,82.25,0,11,0,-0.5,6.05,106,148,126,150,296,327,302,"0","0","64.4","7.8",11,11,2,2,0,0,0,0,0,0,3.26545,0.07818,0.54273,-0.24455,"92.3",157,36.36363636363637,0,0,6.22,-0.52,-0.19,1.69,0.364,0,"0.172727273",0.284,0.345,"-0.172727273",0.08,0.08000000000000002,0.2,0.11,0,"42.4"
10,656557,"Houck, Tanner",2735,0.4,0.1,0,0.1,0.1,0.088,0.365,0.319,1,10,88.3,10.7,1895,88.6,88.49,0,10,0,-0.09999999999999432,6.18,117,150,129,152,281,319,298,"0.6","-0.6","69.5","7.5",10,10,1,0,0,0,0,0,0,0,3.045,-0.147,1.168,-0.688,"93.7",190,40,10,10,5.6,-2.24,-0.39,1.79,0.1,1,"-6.43",0.319,0.533,"6.43",-0.219,-0.219,-0.433,-0.277,0,"22.6"
9,628317,"Maeda, Kenta",1958,0.5,0.333,0.556,0.25,0.889,0.507,0.382,0.322,3,9,88.6,22.1,1349,83.8,83.74,0,9,0,-0.09999999999999432,6.11,107,151,123,147,298,323,293,"-2.7","2.7","69.2","7.6",9,9,0,2,0,1,0,0,0,0,3.31,-0.08222,0.77889,0.61,"92.7",220,33.33333333333333,22.22222222222222,22.22222222222222,5.83,-2.17,-0.08,1.44,0.333,2,"30.344444444",0.322,0.584,"-30.344444444",0.011,0.01100000000000001,0.305,0.125,0,"38.8"
9,682243,"Miller, Bryce",2749,0.3,0.222,0,0.222,0.222,0.196,0.2,0.191,2,9,85.9,16.1,870,84.6,84.82,0,9,0,0.20000000000000284,6.41,119,147,128,148,290,321,300,"-0.2","0.2","70.9","7.3",9,9,2,0,0,0,0,0,0,0,3.11111,0.07444,0.68444,-0.54667,"90.8",164,22.22222222222222,0,0,5.38,-1.48,-0.2,2.5,0.222,0,"2.4",0.191,0.267,"-2.4",0.031,0.031,-0.045,-0.004,0,"39.4"
9,543135,"Eovaldi, Nathan",2622,0.3,0.444,0,0.444,0.444,0.392,0.399,0.408,4,9,80.6,-20.7,1552,88.5,88.87,0,9,0,0.4000000000000057,6.54,101,147,127,150,297,319,299,"-2.3","2.3","69.3","7.5",9,9,4,0,0,0,0,0,0,0,2.96,-0.04556,1.11444,0.08556,"92.3",89,22.22222222222222,0,0,5.5,-2.32,0.19,1.57,0.444,0,"25.466666667",0.408,0.491,"-25.466666667",0.036,0.03600000000000003,-0.047,-0.007,0,"33.4"
8,673513,"Matsui, Yuki",1049,0.8,0.25,0,0.25,0.25,0.22,0.258,0.269,2,8,81.3,13.8,1494,86.9,86.61,0,8,0,-0.30000000000001137,6.01,104,152,124,149,303,327,293,"0","0","69.7","7.4",8,8,2,0,0,0,0,0,0,0,2.54625,0.4625,0.48125,-0.46875,"90.9",140,25,0,0,5.95,2.26,0.61,2.24,0.25,0,"-0.0625",0.269,0.315,"0.0625",-0.019,-0.019000000000000017,-0.065,-0.038,0,"54.5"
