"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle"
16,605400,"Nola, Aaron",3189,0.5,,,,,,,,,,,,2650,79.1,79.54,16,16,0,0.4000000000000057,6.81,114,148,106,151,295,324,292,"0.7","-0.7","70.4","8.0",,,,,,,,,,,4.54187,-0.86875,-1.20062,0.32562,,,,,,5.07,-1.78,0.42,1.59,,0,"-4.33125",,,"4.33125",,,,,100,"20.5"
14,663623,"Irvin, Jake",3046,0.5,,,,,,,,,,,,2516,80.7,82,14,14,0,1.2999999999999972,6.91,114,149,115,148,302,326,299,"0.7","-0.7","70.5","8.5",,,,,,,,,,,3.75929,-0.28786,-0.95929,-0.07071,,,,,,5.69,-2.24,0.54,1.75,,0,"-4.714285714",,,"4.714285714",,,,,100,"28.3"
13,450203,"Morton, Charlie",2791,0.5,,,,,,,,,,,,3085,81.6,81.32,13,13,0,-0.29999999999999716,6.15,116,150,124,151,300,320,297,"0.5","-0.5","65.6","8.2",,,,,,,,,,,4.10692,-0.67846,-1.09077,0.28923,,,,,,5.38,-2.64,0.75,1.42,,0,"-4.146153846",,,"4.146153846",,,,,100,"20.1"
10,572955,"Johnson, Pierce",916,1.1,,,,,,,,,,,,3015,85.7,85.37,10,10,0,-0.29999999999999716,5.81,107,150,116,147,298,323,293,"0.6","-0.6","71.6","8.0",,,,,,,,,,,3.412,-0.337,-0.716,-0.394,,,,,,6.17,-2.17,0.33,2,,0,"-5.55",,,"5.55",,,,,100,"40.2"
9,656756,"Montgomery, Jordan",1929,0.5,,,,,,,,,,,,2352,78.6,79.29,9,9,0,0.7000000000000028,6.68,113,151,120,146,308,321,296,"0.3","-0.3","64.3","8.6",,,,,,,,,,,4.25889,-0.58222,-0.41111,0.34667,,,,,,6.6,1.52,0.02,1.4,,0,"-3.688888889",,,"3.688888889",,,,,100,"47.3"
8,669022,"Gore, MacKenzie",2994,0.3,,,,,,,,,,,,2411,82.5,83.71,8,8,0,1.2000000000000028,7.11,107,145,110,142,294,322,294,"0.5","-0.5","53.7","7.5",,,,,,,,,,,4.26625,-0.91125,-0.055,0.2525,,,,,,5.87,1.74,-0.36,0.89,,0,"-5.8375",,,"5.8375",,,,,100,"51.8"
7,625643,"López, Reynaldo",2110,0.3,,,,,,,,,,,,2483,77.6,77.84,7,7,0,0.20000000000000284,6.33,115,148,125,152,297,323,302,"0.3","-0.3","63.8","8.3",,,,,,,,,,,4.4,-0.63,-0.67714,0.67714,,,,,,6.03,-1.76,-0.4,1.63,,0,"-4.742857143",,,"4.742857143",,,,,100,"49.5"
7,579328,"Kikuchi, Yusei",2923,0.2,,,,,,,,,,,,2483,83.1,84.17,7,7,0,1.1000000000000085,6.97,106,148,110,146,297,318,288,"0.4","-0.4","68.3","7.9",,,,,,,,,,,3.64,-0.34143,-0.37143,0.3,,,,,,5.59,2.15,0.11,2.19,,0,"-5.314285714",,,"5.314285714",,,,,100,"52.3"
7,668678,"Gallen, Zac",2506,0.3,,,,,,,,,,,,2398,81.2,81.77,7,7,0,0.5999999999999943,6.63,118,150,120,148,300,319,296,"0.3","-0.3","70.7","8.4",,,,,,,,,,,4.36714,-0.91714,-0.28286,-0.11143,,,,,,5.78,-2.95,0.07,1.4,,0,"-4.957142857",,,"4.957142857",,,,,100,"41.6"
7,605135,"Bassitt, Chris",2959,0.2,,,,,,,,,,,,2277,70,69.41,7,7,0,-0.5999999999999943,6.33,115,148,116,151,283,322,296,"0.2","-0.2","71.3","8.4",,,,,,,,,,,5.86143,-1.12571,-1.29571,0.66714,,,,,,5.84,-1.26,0.38,1.59,,0,"-2.8",,,"2.8",,,,,100,"44.4"
