"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle"
55,605135,"Bassitt, Chris",2959,1.9,,,,,,,,,,,,2098,92.2,92.33,0,0,55,0.09999999999999432,6.43,110,148,111,148,289,318,291,"2.8","-2.8",,,,,,,,,,,,,2.05164,0.63745,1.41055,0.1,,,,,,5.45,-1.72,-0.01,2.54,,0,"-5.032727273",,,"5.032727273",,,,,,"32.2"
48,640455,"Manaea, Sean",2996,1.6,,,,,,,,,,,,2048,91.2,92.21,0,0,48,1,7.07,112,150,118,150,299,325,294,"2.1","-2.1",,,,,,,,,,,,,1.90312,0.85771,1.31354,-0.77854,,,,,,5.37,3.18,-0.04,2.77,,0,"-4.375",,,"4.375",,,,,,"20.0"
48,657277,"Webb, Logan",3201,1.5,,,,,,,,,,,,1932,92.5,93.57,0,0,48,1.0999999999999943,7.04,109,149,119,149,298,321,295,"2.1","-2.1",,,,,,,,,,,,,2.55979,0.11708,1.27229,0.38271,,,,,,5.06,-1.38,0.34,2.44,,0,"-4.46875",,,"4.46875",,,,,,"24.5"
44,694297,"Pfaadt, Brandon",2793,1.6,,,,,,,,,,,,2503,93.4,94.31,0,0,44,0.8999999999999915,6.76,107,149,108,147,301,319,294,"2.5","-2.5",,,,,,,,,,,,,1.53682,1.07045,0.72432,0.24341,,,,,,5.57,-1.83,0.26,2.3,,0,"-5.704545455",,,"5.704545455",,,,,,"28.6"
43,663903,"Singer, Brady",2967,1.4,,,,,,,,,,,,2288,92.3,93.73,0,0,43,1.4000000000000057,7.1,112,147,116,148,298,325,297,"2","-2",,,,,,,,,,,,,1.78721,0.88558,1.13977,-0.18488,,,,,,5.21,-1.34,-0.05,2.19,,0,"-4.751162791",,,"4.751162791",,,,,,"27.0"
43,607074,"Rodón, Carlos",3102,1.4,,,,,,,,0,0,,,2373,94.9,94.27,0,0,43,-0.6000000000000085,6.12,108,152,118,151,293,324,284,"2","-2",,,0,0,0,0,0,0,0,,0,,1.04326,1.50651,0.75767,-0.4614,,,,,,6.4,1.93,0.18,2.48,,0,"-4.681395349",,,"4.681395349",,,,,,"47.8"
43,592332,"Gausman, Kevin",2958,1.5,,,,,,,,,,,,2283,93,93.3,0,0,43,0.29999999999999716,6.61,110,146,106,148,288,321,297,"2","-2",,,,,,,,,,,,,1.26907,1.3807,0.92302,-0.24907,,,,,,5.7,-2.51,-0.21,2.15,,0,"-4.574418605",,,"4.574418605",,,,,,"36.8"
43,573186,"Stroman, Marcus",2667,1.6,,,,,,,,,,,,2239,89.9,89.36,0,0,43,-0.5,5.82,110,150,116,152,291,323,288,"2.1","-2.1",,,,,,,,,,,,,2.58791,0.23095,0.87465,0.06535,,,,,,5.25,-0.97,0.19,2.24,,0,"-4.946511628",,,"4.946511628",,,,,,"32.3"
42,686613,"Brown, Hunter",2889,1.5,,,,,,,,,,,,2235,95.2,95.57,0,0,42,0.3999999999999915,6.62,109,149,109,148,293,320,294,"2.1","-2.1",,,,,,,,,,,,,1.19619,1.32881,0.67214,0.30976,,,,,,6.24,-1.54,-0.07,2.44,,0,"-4.930952381",,,"4.930952381",,,,,,"58.0"
42,607625,"Lugo, Seth",3112,1.3,,,,,,,,,,,,2374,92,91.93,0,0,42,-0.09999999999999432,6.18,115,148,114,149,299,324,295,"2.2","-2.2",,,,,,,,,,,,,1.67619,1.01167,0.89476,0.07524,,,,,,5.43,-1.23,-0.1,2.27,,0,"-5.230952381",,,"5.230952381",,,,,,"31.6"
41,594902,"Lively, Ben",2406,1.7,,,,,,,,,,,,2006,90,91.2,0,0,41,1.2000000000000028,6.89,114,150,121,150,299,319,300,"2","-2",,,,,,,,,,,,,1.6661,1.13683,0.8761,0.12634,,,,,,5.26,-1.35,0.12,2.34,,0,"-4.995121951",,,"4.995121951",,,,,,"37.9"
40,571945,"Mikolas, Miles",2705,1.5,,,,,,,,,,,,2210,92.3,92.35,0,0,40,0,6.39,114,150,112,148,306,323,301,"1.7","-1.7",,,,,,,,,,,,,1.66925,1.01525,0.80075,0.30625,,,,,,6.34,-2.74,0.14,2.32,,0,"-4.2075",,,"4.2075",,,,,,"41.1"
