"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle"
1,641927,"Ober, Bailey",2696,0,,,,,0.72,0.72,,0,0,,,2165,87.7,90.1,0,0,1,2.3999999999999915,7.3,122,145,127,152,286,325,300,"-0.4","0.4",,,1,0,0,0,0,0,0,0,0,0,2.12,0.79,-0.23,0.23,,,,,0,6,-1.54,1.85,0.59,1,0,"41.5",1,,"-41.5",,0,,0,,"38.1"
1,682610,"Muñoz, Roddery",1485,0.1,,,,,0.72,0.72,,0,0,,,2454,90.4,90,0,0,1,-0.4000000000000057,6.3,127,148,112,144,275,329,284,"-0.3","0.3",,,1,0,0,0,0,0,0,0,0,0,2.24,0.57,-0.09,0.09,,,,,0,5.77,-1.67,1.87,0.32,1,0,"25.5",1,,"-25.5",,0,,0,,"39.8"
1,663531,"Allen, Logan",470,0.2,,,,,0.72,0.72,,0,0,,,2179,85.3,85,0,0,1,-0.29999999999999716,6.1,116,153,123,150,315,325,296,"-0.3","0.3",,,1,0,0,0,0,0,0,0,0,0,2.78,0.35,-0.53,0.53,,,,,0,6.18,1.37,-1.7,4.09,1,0,"25.5",1,,"-25.5",,0,,0,,"46.4"
1,547179,"Lorenzen, Michael",2092,0,,,,,0.72,0.72,,0,0,,,2526,92.8,92.5,0,0,1,-0.29999999999999716,5.8,127,147,135,153,299,331,294,"-0.4","0.4",,,1,0,0,0,0,0,0,0,0,0,1.67,0.95,-0.05,0.05,,,,,0,5.75,-1.54,1.76,3.31,1,0,"41.5",1,,"-41.5",,0,,0,,"40.0"
1,663623,"Irvin, Jake",3046,0,,,,,0.72,0.72,,0,0,,,2597,92.6,93.2,0,0,1,0.6000000000000085,6.9,117,145,122,152,280,316,296,"-0.2","0.2",,,1,0,0,0,0,0,0,0,0,0,2.07,0.6,0.12,-0.12,,,,,0,5.86,-2.06,3.46,0.18,1,0,"15.6",1,,"-15.6",,0,,0,,"27.7"
1,675627,"Grove, Michael",827,0.1,,,,,0.72,0.72,,0,0,,,2419,91.6,93.2,0,0,1,1.6000000000000085,7,84,143,108,154,285,322,300,"-0.6","0.6",,,1,0,0,0,0,0,0,0,0,0,1.53,1.16,-0.53,0.53,,,,,0,5.92,-0.98,1.06,2.91,1,0,"61",1,,"-61",,0,,0,,"54.3"
1,670174,"Winckowski, Josh",1240,0.1,,,,,0.72,0.72,,0,0,,,2182,91,91.9,0,0,1,0.9000000000000057,6.9,121,151,92,152,276,312,306,"-0.4","0.4",,,1,0,0,0,0,0,0,0,0,0,2.39,0.37,-0.56,0.56,,,,,0,6.03,-1.2,2.01,0.58,1,0,"41.5",1,,"-41.5",,0,,0,,"59.7"
1,664208,"Maton, Phil",1078,0.1,,,,,0.72,0.72,,0,0,,,2569,89.3,90.1,0,0,1,0.7999999999999972,6.9,104,144,119,143,302,336,298,"-1.1","1.1",,,1,0,0,0,0,0,0,0,0,0,1.7,1.17,-0.37,-0.37,,,,,0,5.45,-1.16,-1.42,3.78,1,0,"106.1",1,,"-106.1",,0,,0,,"37.2"
1,674370,"Bido, Osvaldo",1056,0.1,,,,,0.72,0.72,,0,0,,,2128,88.2,87,0,0,1,-1.2000000000000028,6.2,123,149,117,152,288,320,311,"-0.4","0.4",,,1,0,0,0,0,0,0,0,0,0,2.76,0.25,0.19,-0.19,,,,,0,5.88,-2.37,2.13,0.82,1,0,"39.7",1,,"-39.7",,0,,0,,"38.2"
1,670059,"Holderman, Colin",869,0.1,,,,,0.72,0.72,,0,0,,,2486,91.4,92.2,0,0,1,0.7999999999999972,6.8,130,146,117,150,298,325,300,"-0.2","0.2",,,1,0,0,0,0,0,0,0,0,0,1.98,0.75,-0.02,0.02,,,,,0,5.61,-1.82,2.39,0.86,1,0,"15.6",1,,"-15.6",,0,,0,,"29.4"
1,502085,"Robertson, David",1211,0.1,,,,,0.72,0.72,,0,0,,,2503,92,92,0,0,1,0,6.4,84,143,94,141,299,328,297,"-0.6","0.6",,,1,0,0,0,0,0,0,0,0,0,1.32,1.38,-0.11,-0.11,,,,,0,5.88,-2.67,-1.46,3.39,1,0,"61",1,,"-61",,0,,0,,"44.7"
