"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle"
30,650644,"Civale, Aaron",2699,1.1,0.3,0.167,0.276,0.467,0.328,0.303,0.28,9,30,87.7,24.4,2594,87.6,86.83,0,30,0,-0.7999999999999972,5.65,109,146,120,148,298,324,295,"-0.3","0.3","70.8","7.1",30,30,6,2,0,1,0,0,0,0,2.32167,0.63233,-0.35103,0.15379,"94.2",167,43.333333333333336,3.3333333333333335,3.3333333333333335,6.42,-0.85,0.4,2.62,0.3,1,"1.043333333",0.28,0.421,"-1.043333333",0.02,0.019999999999999962,0.046,0.025,0,"47.4"
27,669203,"Burnes, Corbin",2996,0.9,0.111,0,0.111,0.111,0.098,0.262,0.277,3,27,88.6,4,2746,95.3,96.04,0,27,0,0.7000000000000028,6.51,115,149,121,150,301,326,301,"2.4","-2.4","69.5","6.9",27,27,3,0,0,0,0,0,0,0,1.49593,0.99704,-0.20296,0.08,"93.5",122,33.33333333333333,0,0,6.01,-0.91,0.19,2.33,0.111,0,"-8.9",0.277,0.329,"8.9",-0.166,-0.16600000000000004,-0.218,-0.164,0,"42.9"
24,676710,"Crawford, Kutter",2823,0.9,0.417,0.042,0.417,0.458,0.383,0.352,0.361,10,24,81.6,0.8,2479,87.7,87.78,0,24,0,0.09999999999999432,6.09,109,148,117,146,281,322,301,"-1.4","1.4","72.7","7.2",24,24,9,1,0,0,0,0,0,0,2.1575,0.78,-0.4075,0.00083,"91.6",122,20.833333333333336,4.166666666666666,4.166666666666666,6.04,-1.18,0.36,2.44,0.417,1,"5.779166667",0.361,0.441,"-5.779166667",0.056,0.055999999999999994,0.017,0.031,0,"48.0"
20,641482,"Cortes, Nestor",2849,0.7,0.35,0.15,0.35,0.5,0.365,0.363,0.361,7,20,89.4,18.1,2433,88,87.64,0,20,0,-0.4000000000000057,5.81,106,151,117,151,295,328,286,"0.5","-0.5","71.6","7.1",20,20,4,3,0,0,0,0,0,0,2.1255,0.793,-0.351,0.26,"95.3",181,45,5,5,5.64,1.35,-0.38,2.62,0.35,1,"-2.64",0.361,0.465,"2.64",-0.011,-0.01100000000000001,0.035,0.002,0,"44.2"
18,502043,"Gibson, Kyle",2764,0.7,0.333,0.222,0.294,0.556,0.379,0.34,0.301,6,18,84.3,2.4,2320,88.4,89.58,0,18,0,1.1999999999999886,6.83,109,149,111,147,303,321,298,"0.3","-0.3","72.0","7.1",18,18,4,1,0,1,0,0,0,0,2.24333,0.65667,-0.26889,-0.04222,"93.1",136,38.88888888888889,5.555555555555555,5.555555555555555,6.23,-2.2,0.51,2.43,0.333,1,"-1.916666667",0.301,0.483,"1.916666667",0.032,0.03200000000000003,0.073,0.039,0,"45.1"
18,687765,"Spence, Mitch",2481,0.7,0.389,0.556,0.313,0.944,0.553,0.402,0.332,7,18,96,17.9,2584,90.3,90.55,0,18,0,0.20000000000000284,6.28,115,146,122,152,299,321,300,"-3.5","3.5","72.8","6.8",18,18,2,2,1,2,0,0,0,0,2.42167,0.36167,-0.265,0.17611,"97.3",206,50,16.666666666666664,16.666666666666664,6.23,-2.62,0.05,2.65,0.389,3,"19.233333333",0.332,0.616,"-19.233333333",0.057,0.056999999999999995,0.328,0.151,0,"47.6"
18,661403,"Clase, Emmanuel",983,1.8,0.222,0.111,0.222,0.333,0.237,0.38,0.373,4,18,93.6,8.9,2616,99,99.75,0,18,0,0.8999999999999915,6.55,121,150,119,152,288,313,299,"0.8","-0.8","69.7","6.8",18,18,2,2,0,0,0,0,0,0,1.415,0.89833,-0.3,0.05556,"96.5",157,55.55555555555556,0,0,6.08,-0.65,0,2.37,0.222,0,"-4.6",0.373,0.502,"4.6",-0.151,-0.151,-0.169,-0.143,0,"53.3"
17,592791,"Taillon, Jameson",2483,0.7,0.235,0.059,0.235,0.294,0.229,0.322,0.317,4,17,84.3,13.9,2519,86.3,87.25,0,17,0,0.9000000000000057,6.52,118,151,116,153,301,324,295,"1.4","-1.4","72.5","7.4",17,17,3,1,0,0,0,0,0,0,2.32235,0.7,-0.44471,-0.10941,"92.4",159,29.411764705882355,0,0,6.16,-1.36,0.2,2.45,0.235,0,"-8.335294118",0.317,0.429,"8.335294118",-0.082,-0.08200000000000002,-0.135,-0.093,0,"45.0"
17,665152,"Kremer, Dean",2171,0.8,0.375,0.063,0.353,0.438,0.333,0.386,0.367,6,16,90.2,24.9,2406,86.6,86.59,0,17,0,0,6.06,115,151,122,149,304,326,297,"0.2","-0.2","72.2","7.5",17,17,5,1,0,0,0,0,0,0,2.58765,0.42941,-0.45353,-0.20059,"94.3",134,41.17647058823529,5.88235294117647,5.88235294117647,6.13,-1.88,0.11,2.31,0.353,1,"-1.088235294",0.377,0.434,"1.088235294",0.008,-0.02400000000000002,0.004,-0.053,0,"42.2"
17,671737,"Bradley, Taj",2294,0.7,0.235,0,0.235,0.235,0.207,0.287,0.278,4,17,83,2.4,2249,90.9,91.28,0,17,0,0.3999999999999915,6.5,98,147,107,145,298,328,298,"1.5","-1.5","70.5","7.3",17,17,4,0,0,0,0,0,0,0,2.27588,0.48176,-0.29059,-0.07882,"91.5",139,23.52941176470588,0,0,6.14,-1.55,0.14,2.53,0.235,0,"-8.729411765",0.278,0.375,"8.729411765",-0.043,-0.04300000000000004,-0.14,-0.08,0,"54.2"
