"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle"
42,656302,"Cease, Dylan",3188,1.3,,,,,,,,,,,,2789,87.6,87.61,42,42,0,0,6.28,115,150,116,150,297,323,299,"2.4","-2.4","65.5","8.1",,,,,,,,,,,2.86595,0.10429,-0.1881,0.0019,,,,,,6.01,-1.32,0.37,1.31,,0,"-5.614285714",,,"5.614285714",,,,,100,"51.0"
39,519242,"Sale, Chris",2815,1.4,,,,,,,,,,,,2358,78.6,78.29,39,39,0,-0.29999999999999716,6.25,109,152,118,148,302,322,295,"2.1","-2.1","70.0","8.4",,,,,,,,,,,4.11462,-0.39949,-0.97256,0.4059,,,,,,5.11,3.08,-0.43,1.75,,0,"-5.343589744",,,"5.343589744",,,,,100,"10.6"
27,663903,"Singer, Brady",2967,0.9,,,,,,,,,,,,2401,82.8,84.03,27,27,0,1.2000000000000028,6.93,116,148,120,151,297,322,299,"1.5","-1.5","66.9","8.1",,,,,,,,,,,3.2863,0.01926,-0.49852,0.06963,,,,,,5.26,-1.46,0.59,1.37,,0,"-5.737037037",,,"5.737037037",,,,,100,"27.6"
22,669302,"Gilbert, Logan",3042,0.7,,,,,,,,,,,,1949,88.6,90.51,22,22,0,1.9000000000000057,7.53,117,149,115,150,289,322,292,"1","-1","64.8","8.0",,,,,,,,,,,2.95864,-0.04455,-0.1081,0.02714,,,,,,5.84,-1.14,0.39,1.27,,0,"-4.577272727",,,"4.577272727",,,,,100,"43.7"
21,571760,"Heaney, Andrew",2731,0.8,,,,,,,,,,,,2540,83,83.09,21,21,0,0.09999999999999432,6.35,110,150,117,147,301,324,298,"1.2","-1.2","69.8","8.1",,,,,,,,,,,3.1381,0.17333,-0.18571,0.04762,,,,,,5.04,3,-0.6,1.58,,0,"-5.476190476",,,"5.476190476",,,,,100,"29.8"
20,607074,"Rodón, Carlos",3102,0.6,,,,,,,,,,,,2667,86.8,86.35,20,20,0,-0.5,6.05,112,152,122,151,295,327,289,"1.4","-1.4","68.1","7.9",,,,,,,,,,,3.209,-0.1765,-0.5065,0.2635,,,,,,6.21,2.27,-0.67,1.4,,0,"-6.75",,,"6.75",,,,,100,"41.4"
20,669203,"Burnes, Corbin",2996,0.7,,,,,,,,,,,,3001,87.3,87.82,20,20,0,0.5,6.51,112,151,121,147,311,328,295,"1.1","-1.1","66.8","8.3",,,,,,,,,,,2.9505,0.035,-0.8365,-0.8365,,,,,,6,-0.95,0.53,1.59,,0,"-5.505",,,"5.505",,,,,100,"44.5"
19,681676,"Fernandez, Ryan",1191,1.6,,,,,,,,,,,,2571,87.1,87.19,19,19,0,0.10000000000000853,6.26,113,148,110,145,304,321,298,"1.2","-1.2","65.6","8.2",,,,,,,,,,,2.84421,0.15053,-0.30368,-0.13316,,,,,,5.83,-2.21,0.7,1.3,,0,"-6.473684211",,,"6.473684211",,,,,100,"52.0"
18,641154,"López, Pablo",2986,0.6,,,,,,,,,,,,2459,84.1,85.31,18,18,0,1.2000000000000028,7.22,110,147,116,149,295,324,292,"1.3","-1.3","66.6","7.9",,,,,,,,,,,3.25056,-0.01,-1.13722,0.07944,,,,,,5.48,-1.88,0.82,1.81,,0,"-7.161111111",,,"7.161111111",,,,,100,"36.7"
18,666808,"Doval, Camilo",1116,1.6,,,,,,,,,,,,2510,89,89.14,18,18,0,0.09999999999999432,6.28,113,140,118,143,284,317,300,"1.3","-1.3","69.4","8.4",,,,,,,,,,,2.83444,0.03556,-0.41611,0.23833,,,,,,5.51,-1.47,0.6,1.38,,0,"-7.455555556",,,"7.455555556",,,,,100,"21.1"
18,694297,"Pfaadt, Brandon",2793,0.6,,,,,,,,,,,,2838,84.5,84.97,18,18,0,0.5,6.58,112,151,120,149,307,318,296,"1","-1","70.6","8.1",,,,,,,,,,,2.69667,0.49556,-0.98056,-0.50056,,,,,,5.39,-2.06,0.71,1.86,,0,"-5.511111111",,,"5.511111111",,,,,100,"24.8"
18,656557,"Houck, Tanner",2735,0.7,,,,,,,,,,,,2582,83.5,82.68,18,18,0,-0.7999999999999972,5.92,117,152,114,148,283,318,299,"1","-1","70.7","8.3",,,,,,,,,,,3.47167,-0.17944,-1.31667,-0.44556,,,,,,5.52,-2.35,0.9,1.77,,0,"-5.427777778",,,"5.427777778",,,,,100,"20.9"
17,571578,"Corbin, Patrick",2888,0.6,,,,,,,,,,,,2168,80.2,80.85,17,17,0,0.7000000000000028,6.72,110,150,117,147,297,322,295,"1.1","-1.1","67.8","8.5",,,,,,,,,,,3.47941,0.07,-0.21941,0.11235,,,,,,6.17,2.53,-0.17,1.36,,0,"-6.294117647",,,"6.294117647",,,,,100,"37.1"
16,656427,"Flaherty, Jack",2646,0.6,,,,,,,,,,,,2492,85.2,85.76,16,16,0,0.5999999999999943,6.65,113,147,109,147,294,324,295,"1","-1","71.4","8.1",,,,,,,,,,,2.8875,0.27133,-0.595,-0.13125,,,,,,5.36,-2.51,0.13,1.58,,0,"-6.11875",,,"6.11875",,,,,100,"27.9"
16,641755,"Kinley, Tyler",1185,1.4,,,,,,,,,,,,2595,89.5,88.62,16,16,0,-0.9000000000000057,5.54,108,149,117,148,300,327,301,"1.2","-1.2","67.5","8.3",,,,,,,,,,,2.37312,0.46188,0.0875,-0.02625,,,,,,6.44,-1.06,0.58,1.58,,0,"-7.34375",,,"7.34375",,,,,100,"46.6"
16,668881,"Greene, Hunter",2563,0.6,,,,,,,,,,,,2372,86.8,87.02,16,16,0,0.20000000000000284,6.38,111,149,117,148,294,323,291,"0.8","-0.8","65.7","8.1",,,,,,,,,,,2.695,0.32688,-0.46312,-0.25187,"88.0",18,,,,5.88,-2.18,0.8,1.74,,0,"-5.18125",,,"5.18125",,,,,100,"29.5"
16,687765,"Spence, Mitch",2481,0.6,,,,,,,,,,,,2758,84.8,84.34,16,16,0,-0.5,6.29,110,147,116,150,298,320,295,"1","-1","66.3","8.0",,,,,,,,,,,3.2275,-0.02187,-1.27688,-0.16313,,,,,,6.06,-2.97,0.98,1.62,,0,"-6.03125",,,"6.03125",,,,,100,"43.0"
15,662253,"Muñoz, Andrés",951,1.6,,,,,,,,,,,,2261,87.5,88.53,15,15,0,1,6.75,113,151,115,148,292,320,292,"0.9","-0.9","67.0","8.2",,,,,,,,,,,3.01667,-0.06,-0.488,-0.06133,,,,,,5.17,-1.8,0.25,1.4,,0,"-6.08",,,"6.08",,,,,100,"31.7"
15,678495,"Rodríguez, Randy",879,1.7,,,,,,,,,,,,2801,85.1,85.91,15,15,0,0.8000000000000114,6.6,111,150,122,150,300,326,295,"1","-1","61.7","8.6",,,,,,,,,,,3.314,-0.186,-0.746,-0.27267,,,,,,5.38,-1.78,0.51,1.17,,0,"-6.94",,,"6.94",,,,,100,"36.1"
15,607192,"Glasnow, Tyler",2011,0.7,,,,,,,,,,,,2710,90.2,91.94,15,15,0,1.7000000000000028,7.22,116,151,124,151,297,316,294,"0.8","-0.8","67.6","7.7",,,,,,,,,,,2.64867,0.13933,-0.21,-0.00733,,,,,,5.96,-1.85,0.54,1.61,,0,"-5.306666667",,,"5.306666667",,,,,100,"52.7"
15,656288,"Canning, Griffin",2869,0.5,,,,,,,,,,,,2730,87.6,86.99,15,15,0,-0.5999999999999943,5.89,114,149,123,151,303,331,303,"0.8","-0.8","69.2","7.8",,,,,,,,,,,3.18067,-0.20933,-0.02714,-0.01571,,,,,,5.93,-1.62,0.29,1.49,,0,"-5.253333333",,,"5.253333333",,,,,100,"45.5"
15,669854,"Blanco, Ronel",2751,0.5,,,,,,,,,,,,2097,86.3,87.24,15,15,0,0.9000000000000057,6.69,104,151,113,148,293,322,293,"1.1","-1.1","72.1","8.2",,,,,,,,,,,2.46333,0.58,-0.252,-0.15867,,,,,,6.07,-1.13,0.81,2,,0,"-7.046666667",,,"7.046666667",,,,,100,"45.0"
15,625643,"López, Reynaldo",2110,0.7,,,,,,,,,,,,2353,84.5,85.04,15,15,0,0.5,6.48,110,151,120,148,300,322,293,"0.9","-0.9","61.3","7.9",,,,,,,,,,,3.298,-0.11867,-0.448,-0.116,,,,,,5.75,-1.93,0.27,1.26,,0,"-6.193333333",,,"6.193333333",,,,,100,"39.5"
15,683003,"Jones, Jared",1912,0.8,,,,,,,,,,,,2554,88.6,89.66,15,15,0,1.1000000000000085,6.75,116,148,106,150,303,321,295,"0.8","-0.8","66.2","7.8",,,,,,,,,,,2.76533,0.12267,-0.358,0.05933,,,,,,5.55,-1.5,0.63,1.47,,0,"-5.113333333",,,"5.113333333",,,,,100,"45.9"
