"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle"
8,628317,"Maeda, Kenta",1958,0.4,,,,,,,,,,,,1325,83.5,83.6,0,0,8,0.09999999999999432,6.11,110,148,115,149,291,327,296,"0.5","-0.5",,,,,,,,,,,,,3.22125,0.01875,0.85375,-0.08125,,,,,,5.76,-2.17,-0.42,2.07,,0,"-6.3",,,"6.3",,,,,,"39.8"
8,669093,"Estrada, Jeremiah",1003,0.8,,,,,,,,,,,,1358,84.2,85.33,0,0,8,1.0999999999999943,7.01,118,150,116,153,295,322,301,"0.5","-0.5",,,,,,,,,,,,,2.48875,0.72875,1.0825,-0.425,,,,,,5.64,-0.94,0.24,2.74,,0,"-5.975",,,"5.975",,,,,,"59.9"
8,671737,"Bradley, Taj",2294,0.3,,,,,,,,,,,,1480,90.6,91.13,0,0,8,0.5,6.64,102,149,120,149,293,330,300,"0.4","-0.4",,,,,,,,,,,,,2.3425,0.43625,0.90375,-0.06125,,,,,,6.06,-1.46,-0.09,2.51,,0,"-5.25",,,"5.25",,,,,,"53.8"
6,682243,"Miller, Bryce",2749,0.2,,,,,,,,,,,,956,83.3,83.45,0,0,6,0.20000000000000284,6.35,123,148,116,152,291,318,297,"0.3","-0.3",,,,,,,,,,,,,3.34333,-0.06,0.61,-0.32,,,,,,5.37,-1.61,-0.54,2.88,,0,"-5.366666667",,,"5.366666667",,,,,,"36.6"
6,518585,"Cruz, Fernando",1138,0.5,,,,,,,,,,,,864,81.4,82.27,0,0,6,0.8999999999999915,6.83,113,148,128,151,302,321,289,"0.2","-0.2",,,,,,,,,,,,,3.10333,0.396,0.37833,0.225,,,,,,6.11,-0.95,0.16,2.67,,0,"-4.133333333",,,"4.133333333",,,,,,"49.0"
5,656557,"Houck, Tanner",2735,0.2,,,,,,,,,,,,1814,87.8,87.12,0,0,5,-0.7000000000000028,5.8,113,150,116,152,293,326,301,"0.2","-0.2",,,,,,,,,,,,,3.004,-0.052,1.254,-0.802,,,,,,5.79,-2.3,-0.2,2.51,,0,"-4.36",,,"4.36",,,,,,"22.8"
5,676710,"Crawford, Kutter",2823,0.2,,,,,,,,,,,,1119,81.8,81.48,0,0,5,-0.29999999999999716,6.2,124,148,108,152,286,318,302,"0.2","-0.2",,,,,,,,,,,,,2.814,0.608,0.746,-0.746,,,,,,6,-1.22,-0.2,2.17,,0,"-4.1",,,"4.1",,,,,,"46.3"
5,592332,"Gausman, Kevin",2958,0.2,,,,,,,,,,,,1837,85.7,86.3,0,0,5,0.5999999999999943,6.76,109,147,113,148,291,322,299,"0.3","-0.3",,,,,,,,,,,,,2.488,0.624,1.37,-0.282,,,,,,5.51,-2.77,-0.02,1.71,,0,"-5.3",,,"5.3",,,,,,"32.9"
5,669923,"Kirby, George",2967,0.2,,,,,,,,,,,,997,86.1,86.44,0,0,5,0.30000000000001137,6.56,122,149,115,151,290,320,291,"0.2","-0.2",,,,,,,,,,,,,2.902,0.176,0.806,-0.39,,,,,,5.83,-1.69,-0.35,2.85,,0,"-4.38",,,"4.38",,,,,,"35.2"
4,657746,"Ryan, Joe",2106,0.2,,,,,,,,,,,,2085,89.2,89.67,0,0,4,0.5,6.67,104,148,120,152,295,330,295,"0.2","-0.2",,,,,,,,,,,,,2.7775,0.105,1.2975,-0.5025,,,,,,4.9,-2.6,0.37,1.96,,0,"-4.875",,,"4.875",,,,,,"27.0"
4,543135,"Eovaldi, Nathan",2622,0.2,,,,,,,,,,,,1674,87.8,88.33,0,0,4,0.5,6.47,113,143,96,151,286,315,297,"0.2","-0.2",,,,,,,,,,,,,2.9175,0.0225,0.9875,-0.9875,,,,,,5.53,-2.51,0.14,2.44,,0,"-5.75",,,"5.75",,,,,,"32.3"
