"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle"
2,642207,"Williams, Devin",391,0.5,,,,,0.72,0.72,,0,0,,,2793,84.2,85,0,0,2,0.7999999999999972,7.1,121,149,127,149,297,318,293,"-1","1",,,2,0,0,0,0,0,0,0,0,0,3.795,-0.55,1.52,0.13,,,,,0,5.17,-2.62,-0.51,1.99,1,0,"49.1",1,,"-49.1",,0,,0,,"16.1"
2,665795,"Cabrera, Edward",1734,0.1,,,,,0.72,0.72,,0,0,,,1731,94.5,94.6,0,0,2,0.09999999999999432,6.55,117,152,125,149,312,329,296,"-0.8","0.8",,,2,0,0,0,0,0,0,0,0,0,2.215,0.355,1.485,1.485,,,,,0,6.35,-1.22,-1.79,3.78,1,0,"39",1,,"-39",,0,,0,,"43.4"
1,668678,"Gallen, Zac",2506,0,,,,,0.72,0.72,,0,0,,,1615,87.3,87.8,0,0,1,0.5,6.5,121,154,126,150,309,312,291,"-0.2","0.2",,,1,0,0,0,0,0,0,0,0,0,2.43,0.55,1.31,1.31,,,,,0,5.65,-3.3,-2.18,1.64,1,0,"15.9",1,,"-15.9",,0,,0,,"32.1"
1,672851,"Adon, Joan",178,0.6,,,,,0.72,0.72,,0,0,,,1776,87.2,88,0,0,1,0.7999999999999972,6.7,88,150,117,137,311,326,301,"-0.5","0.5",,,1,0,0,0,0,0,0,0,0,0,2.49,0.5,1.37,1.37,,,,,0,5.61,-2.16,-2.13,3.77,1,0,"45.9",1,,"-45.9",,0,,0,,"33.8"
1,605135,"Bassitt, Chris",2959,0,,,,,0.72,0.72,,0,0,,,1870,83.9,83.8,0,0,1,-0.10000000000000853,6.5,116,143,120,140,301,317,300,"-0.8","0.8",,,1,0,0,0,0,0,0,0,0,0,2.87,0.4,1.54,1.54,,,,,0,5.66,-2.82,-1.89,3.36,1,0,"78",1,,"-78",,0,,0,,"35.0"
1,674003,"Bradford, Cody",1175,0.1,,,,,0.72,0.72,,0,0,,,1814,80.3,81.5,0,0,1,1.2000000000000028,7.3,128,147,135,153,298,325,296,"-0.3","0.3",,,1,0,0,0,0,0,0,0,0,0,2.65,0.91,1.28,1.28,,,,,0,6.01,0.9,1.78,3.1,1,0,"31.5",1,,"-31.5",,0,,0,,"50.2"
1,676106,"Hancock, Emerson",1014,0.1,,,,,0.72,0.72,,0,0,,,1963,86.1,86.2,0,0,1,0.10000000000000853,6.3,108,153,119,146,295,323,285,"-0.5","0.5",,,1,0,0,0,0,0,0,0,0,0,2.61,0.46,1.63,1.63,,,,,0,5.55,-1.86,-1.61,3.63,1,0,"46.5",1,,"-46.5",,0,,0,,"25.2"
1,670950,"Richards, Trevor",1182,0.1,,,,,0.72,0.72,,0,0,,,2575,80.3,79.9,0,0,1,-0.3999999999999915,6.4,120,148,122,154,288,319,301,"-0.3","0.3",,,1,0,0,0,0,0,0,0,0,0,3.6,-0.02,1.16,-1.16,,,,,0,6.02,-2.57,0.85,-1.9,1,0,"31.5",1,,"-31.5",,0,,0,,"51.9"
1,596133,"Weaver, Luke",1374,0.1,,,,,0.72,0.72,,0,0,,,1760,84.9,84.1,0,0,1,-0.8000000000000114,5.9,121,154,119,149,287,321,272,"-0.3","0.3",,,1,0,0,0,0,0,0,0,0,0,2.77,0.4,1.22,1.22,,,,,0,5.82,-1.76,-2.44,2.57,1,0,"31.5",1,,"-31.5",,0,,0,,"47.8"
1,677955,"Hill, Jaden",151,0.7,,,,,0.72,0.72,,0,0,,,1411,84.2,84.5,0,0,1,0.29999999999999716,6.2,88,149,133,149,306,334,294,"-0.3","0.3",,,1,0,0,0,0,0,0,0,0,0,2.87,0.32,0.97,0.97,,,,,0,5.7,-1.55,-1.92,4.54,1,0,"28.2",1,,"-28.2",,0,,0,,"24.7"
