"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle"
27,450203,"Morton, Charlie",2791,1,,,,,,,,,,,,3179,81.5,80.95,0,27,0,-0.5,6.03,114,149,125,150,295,321,294,"0","0","67.2","7.6",,,,,,,,,,,4.25111,-0.80259,-1.24963,0.46,"90.3",16,,,,5.43,-2.6,0.39,1.55,,0,"0",,,"0",,,,,0,"20.2"
24,642232,"Yarbrough, Ryan",1514,1.6,,,,,,,,,,,,2197,71.2,71.09,0,24,0,-0.10000000000000853,6.3,118,152,130,151,291,311,288,"0","0","68.4","7.9",,,,,,,,,,,4.03625,0.51083,-1.29583,0.23667,"90.3",131,,,,4.87,3.38,-0.33,1.98,,0,"0",,,"0",,,,,0,"10.7"
23,596295,"Gomber, Austin",2622,0.9,,,,,,,,,,,,2591,78,78.65,0,23,0,0.7000000000000028,6.66,113,152,128,147,305,328,296,"0","0","68.8","7.9",,,,,,,,,,,4.68696,-0.94261,-0.6687,0.5313,"89.6",70,,,,6.55,2.1,-0.03,1.9,,0,"0",,,"0",,,,,0,"54.9"
22,664285,"Valdez, Framber",2598,0.8,,,,,,,,,,,,2968,80.3,79.1,0,22,0,-1.2000000000000028,5.74,108,152,118,147,295,321,292,"0","0","69.5","7.7",,,,,,,,,,,4.86682,-1.28045,-0.95955,0.815,"90.9",49,,,,6.04,0.65,-0.26,1.73,,0,"0",,,"0",,,,,0,"45.3"
21,605400,"Nola, Aaron",3189,0.7,,,,,,,,,,,,2599,79.2,79.77,0,21,0,0.5999999999999943,6.76,114,149,122,149,293,324,293,"0","0","69.5","7.8",,,,,,,,,,,4.43571,-0.78905,-1.13952,0.09381,"88.8",79,,,,5.06,-1.82,0.05,1.56,,0,"0",,,"0",,,,,0,"21.0"
17,669203,"Burnes, Corbin",2996,0.6,,,,,,,,,,,,2893,80.9,80.95,0,17,0,0.09999999999999432,6.54,111,149,126,148,303,325,295,"0","0","66.6","7.4",,,,,,,,,,,4.52706,-1.01294,-0.85706,-0.24647,"88.7",31,,,,6.05,-0.78,0.02,1.6,,0,"0",,,"0",,,,,0,"48.8"
17,664208,"Maton, Phil",1078,1.6,,,,,,,,,,,,3172,74.8,75.21,0,17,0,0.4000000000000057,7.1,114,146,126,149,292,331,299,"0","0","68.3","8.0",,,,,,,,,,,5.16647,-1.01294,-1.49,0.44882,"88.6",51,,,,5.39,-1.14,0.11,2.04,,0,"0",,,"0",,,,,0,"32.8"
16,592767,"Smyly, Drew",1016,1.6,,,,,,,,,,,,2249,80.9,80.31,0,16,0,-0.6000000000000085,5.69,115,145,120,148,292,315,290,"0","0","67.5","7.6",,,,,,,,,,,3.7425,-0.28437,0.2875,0.02375,"88.7",81,,,,6.56,1.65,0.35,1.84,,0,"0",,,"0",,,,,0,"49.7"
16,687765,"Spence, Mitch",2481,0.6,,,,,,,,,,,,2798,80.9,80.56,0,16,0,-0.30000000000001137,6.36,113,146,132,152,298,320,298,"0","0","65.7","7.6",,,,,,,,,,,4.6175,-1.09438,-0.85062,0.41313,"88.1",77,,,,6.41,-2.35,-0.3,1.61,,0,"0",,,"0",,,,,0,"55.0"
16,668678,"Gallen, Zac",2506,0.6,,,,,,,,,,,,2416,80.9,81.28,0,16,0,0.3999999999999915,6.62,120,150,127,151,297,321,295,"0","0","67.7","8.2",,,,,,,,,,,4.4575,-0.9625,-0.46937,-0.01562,"89.8",45,,,,5.85,-2.91,0.02,1.31,,0,"0",,,"0",,,,,0,"40.3"
16,666157,"Lodolo, Nick",1864,0.9,,,,,,,,,,,,2644,82.3,81.82,0,16,0,-0.5,5.99,115,149,125,148,295,321,289,"0","0","70.8","8.1",,,,,,,,,,,3.39375,-0.02333,-0.90562,0.46438,"89.6",104,,,,5.57,3.55,-0.08,2,,0,"0",,,"0",,,,,0,"20.4"
15,607625,"Lugo, Seth",3112,0.5,,,,,,,,,,,,3389,80.8,79.53,0,15,0,-1.2999999999999972,5.81,115,148,127,151,297,324,301,"0","0","71.6","8.0",,,,,,,,,,,4.82067,-1.27333,-1.232,0.78133,"90.3",54,,,,5.55,-1.35,0.15,1.6,,0,"0",,,"0",,,,,0,"34.6"
15,663623,"Irvin, Jake",3046,0.5,,,,,,,,,,,,2580,82.1,83.51,0,15,0,1.4000000000000057,6.99,115,149,123,148,307,328,301,"0","0","67.9","7.9",,,,,,,,,,,3.59467,-0.23867,-0.92467,-0.086,"88.9",105,,,,5.59,-2.2,0.6,2.2,,0,"0",,,"0",,,,,0,"26.7"
15,623167,"Flexen, Chris",2797,0.5,,,,,,,,,,,,2634,73.1,72.66,0,15,0,-0.3999999999999915,6.32,113,150,123,149,299,325,295,"0","0","71.1","8.0",,,,,,,,,,,5.72733,-1.40333,-0.642,-0.04733,"91.9",73,,,,6.85,-0.09,-0.15,1.79,,0,"0",,,"0",,,,,0,"72.7"
14,667755,"Soriano, José",1737,0.8,0,0,,0,0,0,,0,1,,,2430,86.7,86.96,0,14,0,0.29999999999999716,6.56,102,148,123,149,304,323,293,"-0.2","0.2","64.6","7.9",1,0,0,0,0,0,1,100,0,0,3.70214,-0.65571,-0.99929,-0.11357,"90.5",56,,,0,6.17,-1.26,0.23,2.12,0,0,"1.142857143",,,"-1.142857143",,,,0,0,"42.3"
14,605483,"Snell, Blake",1773,0.8,,,,,,,,,,,,2532,81.3,81.84,0,14,0,0.5,6.74,108,148,124,147,305,321,295,"0","0","67.2","7.5",,,,,,,,,,,4.18,-0.71929,-1.04071,0.685,"88.8",80,,,,6.67,1.89,-0.15,1.99,,0,"0",,,"0",,,,,0,"59.2"
14,669467,"Pallante, Andre",1978,0.7,,,,,,,,,,,,2807,79.7,79.99,0,14,0,0.29999999999999716,6.63,118,149,122,149,302,319,296,"0","0","66.6","7.5",,,,,,,,,,,4.88214,-1.27571,-0.40786,-0.07786,"89.0",85,,,,6.02,-1.57,-0.11,1.9,,0,"0",,,"0",,,,,0,"63.4"
14,682120,"Herrin, Tim",1011,1.4,,,,,,,,,,,,2398,81.5,81.64,0,14,0,0.09999999999999432,6.46,113,152,129,148,297,324,297,"0","0","68.6","7.6",,,,,,,,,,,3.63,-0.18714,-0.98143,0.50286,"88.8",108,,,,5.89,2.29,-0.24,1.89,,0,"0",,,"0",,,,,0,"36.5"
14,806185,"Birdsong, Hayden",1388,1,,,,,,,,,,,,2861,80.8,81.09,0,14,0,0.29999999999999716,6.43,113,148,128,151,296,325,305,"0","0","68.2","7.4",,,,,,,,,,,4.57143,-1.08714,-0.35357,0.07071,"88.4",50,,,,6.48,-1.12,0.03,1.93,,0,"0",,,"0",,,,,0,"45.5"
14,656756,"Montgomery, Jordan",1929,0.7,,,,,,,,,,,,2313,79.7,80.36,0,14,0,0.7000000000000028,6.68,115,152,128,151,304,320,294,"0","0","69.5","8.2",,,,,,,,,,,4.24429,-0.66571,-0.31786,0.05214,"89.4",29,,,,6.58,1.53,0.18,1.49,,0,"0",,,"0",,,,,0,"47.1"
13,656427,"Flaherty, Jack",2646,0.5,,,,,,,,,,,,2434,77.9,77.96,0,13,0,0.09999999999999432,6.55,118,150,131,151,293,323,290,"0","0","65.8","7.6",,,,,,,,,,,4.57692,-0.78615,-1.23385,-0.08308,"90.0",114,,,,5.3,-2.55,-0.24,1.85,,0,"0",,,"0",,,,,0,"26.3"
13,663474,"McKenzie, Triston",1304,1,,,,,,,,,,,,2262,78.3,78.88,0,13,0,0.6000000000000085,6.6,117,152,132,150,293,319,295,"0","0","67.4","7.9",,,,,,,,,,,4.44154,-0.73615,-0.66385,-0.15615,"89.6",125,,,,6.47,-1.95,0.1,2.07,,0,"0",,,"0",,,,,0,"51.9"
13,607536,"Freeland, Kyle",1769,0.7,,,,,,,,,,,,2441,84.3,85.22,0,13,0,0.9000000000000057,6.67,115,151,131,147,303,325,297,"0","0","71.1","7.6",,,,,,,,,,,3.62385,-0.43846,-0.14385,0.09308,"90.1",35,,,,5.61,2.59,-0.08,1.33,,,"0",,,"0",,,,,0,"24.8"
13,669022,"Gore, MacKenzie",2994,0.4,,,,,,,,,,,,2413,83.7,85.01,0,13,0,1.2999999999999972,7.02,112,151,120,145,297,319,290,"0","0","65.1","7.1",,,,,,,,,,,4.04231,-0.8,-0.04615,0.03692,"90.0",56,,,,5.92,1.72,0.08,1.81,,0,"0",,,"0",,,,,0,"53.7"
