"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle"
16,621237,"Alvarado, José",1052,1.5,0,0,,0,0,0,,0,16,,,2113,92.3,92.96,16,16,0,0.7000000000000028,6.75,106,147,122,145,300,323,292,"3.1","-3.1","72.7","8.3",16,0,0,0,0,0,16,100,0,0,2.30438,0.375,0.10125,-0.1025,,,,,0,6.67,0.97,-0.54,1.36,0,0,"-19.23125",,,"19.23125",,,,0,100,"67.3"
15,676440,"Bibee, Tanner",2851,0.5,0,0,,0,0,0,,0,15,,,2736,87.1,87.61,15,15,0,0.5,6.53,109,152,133,150,302,320,297,"2.2","-2.2","68.0","7.3",15,0,0,0,0,0,15,100,0,0,2.59,0.406,-0.71067,-0.34133,,,,,0,6.12,-2.44,0.47,2.42,0,0,"-14.993333333",,,"14.993333333",,,,0,100,"46.6"
13,605135,"Bassitt, Chris",2959,0.4,0,0,,0,0,0,,0,13,,,2247,89.8,90.12,13,13,0,0.29999999999999716,6.37,109,147,122,148,288,317,292,"2.6","-2.6","66.2","5.9",13,0,0,0,0,0,13,100,0,0,2.02538,0.79,0.03308,-0.07462,,,,,0,5.55,-1.66,-0.09,3.37,0,0,"-19.753846154",,,"19.753846154",,,,0,100,"35.8"
13,661403,"Clase, Emmanuel",983,1.3,0,0,,0,0,0,,0,13,,,2601,99.2,100.02,13,13,0,0.7999999999999972,6.61,120,150,131,152,284,310,296,"1.9","-1.9","64.9","6.6",13,0,0,0,0,0,13,100,0,0,1.48692,0.81923,-0.36,0.13077,,,,,0,6.03,-0.72,0.75,1.86,0,0,"-14.553846154",,,"14.553846154",,,,0,100,"51.8"
13,445276,"Jansen, Kenley",801,1.6,0,0,,0,0,0,,0,13,,,2630,93.5,94.55,13,13,0,1,6.79,115,147,124,145,286,322,299,"2","-2","63.0","6.2",13,0,0,0,0,0,13,100,0,0,1.16385,1.43538,-0.50462,-0.16462,,,,,0,6.51,-1.98,-0.15,3.18,0,0,"-15.523076923",,,"15.523076923",,,,0,100,"61.5"
13,676979,"Crochet, Garrett",2395,0.5,0,0,,0,0,0,,0,13,,,2596,90.9,92.27,13,13,0,1.3999999999999915,6.96,104,148,117,144,297,322,289,"3.7","-3.7","72.4","7.7",13,0,0,0,0,0,13,100,0,0,2.39385,0.35308,-0.32077,0.29769,,,,,0,6.26,2.43,-0.74,1.98,0,0,"-28.284615385",,,"28.284615385",,,,0,100,"41.8"
13,669203,"Burnes, Corbin",2996,0.4,0,0,,0,0,0,,0,13,,,2820,94.8,95.52,13,13,0,0.7000000000000028,6.55,120,148,130,151,296,326,300,"1.9","-1.9","70.9","7.5",13,0,0,0,0,0,13,100,0,0,1.69385,0.82923,-0.39231,0.20769,,,,,0,5.97,-0.96,0.63,1.92,0,0,"-14.8",,,"14.8",,,,0,100,"42.5"
12,502085,"Robertson, David",1211,1,0,0,,0,0,0,,0,12,,,2629,94.2,94.67,12,12,0,0.5,6.66,105,148,122,148,302,320,296,"2.6","-2.6","67.7","6.7",12,0,0,0,0,0,12,100,0,0,1.095,1.48333,-0.04667,-0.05167,,,,,0,5.81,-2.71,0.02,2.85,0,0,"-21.983333333",,,"21.983333333",,,,0,100,"44.2"
11,676710,"Crawford, Kutter",2823,0.4,0,0,,0,0,0,,0,11,,,2538,88.2,88.33,11,11,0,0.09999999999999432,6.15,109,151,127,148,288,322,298,"1.7","-1.7","69.0","7.3",11,0,0,0,0,0,11,100,0,0,2.24182,0.66636,-0.48455,-0.07182,,,,,0,6,-1.2,0.78,2.25,0,0,"-15.890909091",,,"15.890909091",,,,0,100,"45.8"
11,571578,"Corbin, Patrick",2888,0.4,0,0,,0,0,0,,0,11,,,2329,85.9,86.91,11,11,0,1,6.73,116,150,123,146,298,326,294,"1.8","-1.8","70.3","7.3",11,0,0,0,0,0,11,100,0,0,2.70545,0.36727,-0.204,0.132,,,,,0,6.13,2.58,-0.43,2.21,0,0,"-16.218181818",,,"16.218181818",,,,0,100,"35.3"
10,657376,"Schmidt, Clarke",1454,0.7,0,0,,0,0,0,,0,10,,,2748,92.6,93.19,10,10,0,0.6000000000000085,6.33,116,148,130,153,286,325,290,"1.9","-1.9","67.1","6.4",10,0,0,0,0,0,10,100,0,0,1.936,0.692,-0.228,0.18,,,,,0,5.65,-1.52,-0.2,2.96,0,0,"-18.54",,,"18.54",,,,0,100,"34.7"
9,621345,"Minter, A.J.",522,1.7,0,0,,0,0,0,,0,9,,,2493,89.7,89.7,9,9,0,0,6.24,122,151,130,150,297,324,296,"1.9","-1.9","60.1","7.4",9,0,0,0,0,0,9,100,0,0,2.50111,0.32778,-0.55444,-0.03222,,,,,0,5.75,2.32,-1.11,1.8,0,0,"-20.9",,,"20.9",,,,0,100,"43.9"
8,606930,"Barnes, Jacob",1117,0.7,0,0,,0,0,0,,0,8,,,2359,89.8,91.15,8,8,0,1.4000000000000057,6.84,100,150,120,145,301,326,292,"1.4","-1.4","65.7","7.8",8,0,0,0,0,0,8,100,0,0,2.2275,0.57375,-0.47,-0.47,,,,,0,5.64,-1,1.13,1.75,0,0,"-17.775",,,"17.775",,,,0,100,"45.2"
8,669060,"Wilson, Bryse",1643,0.5,0,0,,0,0,0,,0,8,,,2178,89.1,90.03,8,8,0,0.9000000000000057,6.56,114,152,124,144,297,319,290,"1.5","-1.5","67.1","7.0",8,0,0,0,0,0,8,100,0,0,2.2025,0.6425,-0.3625,-0.01,,,,,0,5.67,-2.91,0.13,2.36,0,0,"-18.7",,,"18.7",,,,0,100,"44.8"
8,650893,"Cabrera, Génesis",1030,0.8,0,0,,0,0,0,,0,8,,,2101,89.5,89.04,8,8,0,-0.5,6.01,116,151,123,150,286,314,292,"1.5","-1.5","57.9","8.0",8,0,0,0,0,0,8,100,0,0,2.45625,0.39375,-0.045,-0.0025,,,,,0,5.84,1.96,-0.37,1.49,0,0,"-19.2625",,,"19.2625",,,,0,100,"44.6"
8,607200,"Fedde, Erick",2891,0.3,0,0,,0,0,0,,0,8,,,2177,90.9,91.81,8,8,0,0.8999999999999915,6.59,120,146,125,150,296,325,301,"1.9","-1.9","63.4","6.1",8,0,0,0,0,0,8,100,0,0,2.17375,0.565,-0.20875,0.14125,,,,,0,5.9,-1.42,-0.34,3.34,0,0,"-23.2625",,,"23.2625",,,,0,100,"38.6"
8,641482,"Cortes, Nestor",2849,0.3,0,0,,0,0,0,,0,8,,,2420,87.6,87.29,8,8,0,-0.29999999999999716,5.91,109,147,117,145,287,326,285,"1.7","-1.7","59.3","6.0",8,0,0,0,0,0,8,100,0,0,2.17875,0.77375,-0.32,0.32,,,,,0,5.71,1.37,0.01,3.21,0,0,"-20.675",,,"20.675",,,,0,100,"45.8"
7,687765,"Spence, Mitch",2481,0.3,0,0,,0,0,0,,0,7,,,2650,90.9,91.13,7,7,0,0.19999999999998863,6.33,109,143,129,153,296,321,301,"1.6","-1.6","66.3","6.3",7,0,0,0,0,0,7,100,0,0,2.27,0.48143,-0.29857,0.29857,,,,,0,6.33,-2.43,0.6,3.22,0,0,"-23.2",,,"23.2",,,,0,100,"49.9"
7,671737,"Bradley, Taj",2294,0.3,0,0,,0,0,0,,0,7,,,2231,91.5,91.86,7,7,0,0.4000000000000057,6.47,95,145,124,149,295,325,304,"1.4","-1.4","63.8","6.9",7,0,0,0,0,0,7,100,0,0,2.26286,0.45714,-0.38286,0.05429,,,,,0,6.06,-1.55,0.28,2.02,0,0,"-19.957142857",,,"19.957142857",,,,0,100,"51.1"
7,608723,"Voth, Austin",974,0.7,0,0,,0,0,0,,0,7,,,2383,88.9,89.26,7,7,0,0.3999999999999915,6.37,108,149,122,147,295,318,291,"1.4","-1.4","66.5","7.4",7,0,0,0,0,0,7,100,0,0,2.42857,0.44143,-0.38,-0.12571,,,,,0,5.72,-2.39,0.55,2.23,0,0,"-20.671428571",,,"20.671428571",,,,0,100,"39.9"
6,543037,"Cole, Gerrit",1534,0.4,0,0,,0,0,0,,0,6,,,2510,90.8,90.73,6,6,0,-0.09999999999999432,6.12,112,152,122,152,292,324,287,"1.3","-1.3","71.0","7.4",6,0,0,0,0,0,6,100,0,0,2.26167,0.49167,-0.38333,-0.12667,,,,,0,5.93,-2.45,0.49,2.29,0,0,"-21.933333333",,,"21.933333333",,,,0,100,"40.2"
6,663485,"Sands, Cole",1154,0.5,0,0,,0,0,0,,0,6,,,2441,91.4,90.53,6,6,0,-0.7999999999999972,5.73,119,150,123,150,296,324,289,"1.2","-1.2","67.8","6.5",6,0,0,0,0,0,6,100,0,0,2.01,0.71667,-0.185,0.04167,,,,,0,5.84,-2.55,0.79,2.92,0,0,"-19.383333333",,,"19.383333333",,,,0,100,"28.6"
6,650644,"Civale, Aaron",2699,0.2,0,0,,0,0,0,,0,6,,,2641,88.6,87.66,6,6,0,-0.8999999999999915,5.58,111,146,135,152,299,325,304,"0.8","-0.8","66.1","5.9",6,0,0,0,0,0,6,100,0,0,2.31833,0.58167,-0.37,0.37,,,,,0,6.37,-0.96,-0.24,2.74,0,0,"-14.083333333",,,"14.083333333",,,,0,100,"46.3"
6,657571,"Ferguson, Caleb",940,0.6,0,0,,0,0,0,,0,6,,,2534,89.1,89.77,6,6,0,0.7000000000000028,6.6,110,149,115,152,291,320,285,"1.6","-1.6","70.8","8.0",6,0,0,0,0,0,6,100,0,0,2.39833,0.46167,-0.125,0.11833,,,,,0,5.55,2.4,-1.04,1.48,0,0,"-26.416666667",,,"26.416666667",,,,0,100,"36.7"
6,686613,"Brown, Hunter",2889,0.2,0,0,,0,0,0,,0,6,,,2306,92.5,93.03,6,6,0,0.5,6.67,101,151,120,148,297,323,295,"1","-1","64.0","6.7",6,0,0,0,0,0,6,100,0,0,1.96167,0.70667,-0.25833,-0.105,,,,,0,6.28,-1.66,0.7,2.5,0,0,"-16.8",,,"16.8",,,,0,100,"57.4"
6,527048,"Pérez, Martín",2204,0.3,0,0,,0,0,0,,0,6,,,2206,88.4,87.87,6,6,0,-0.5,5.93,102,147,115,147,308,324,298,"1.8","-1.8","67.4","7.1",6,0,0,0,0,0,6,100,0,0,2.05167,0.86167,0.10333,-0.29333,,,,,0,5.7,1.14,-0.41,2.28,0,0,"-29.633333333",,,"29.633333333",,,,0,100,"47.3"
6,663947,"Holton, Tyler",1339,0.4,0,0,,0,0,0,,0,6,,,2462,87.6,88.23,6,6,0,0.6000000000000085,6.38,117,150,120,146,301,321,286,"1.1","-1.1","59.0","6.5",6,0,0,0,0,0,6,100,0,0,2.365,0.575,-0.34333,0.34333,,,,,0,5.98,1.47,0.37,2.41,0,0,"-19.033333333",,,"19.033333333",,,,0,100,"46.9"
5,544150,"Suárez, Albert",2234,0.2,0,0,,0,0,0,,0,5,,,2234,85.6,86.32,5,5,0,0.7000000000000028,6.72,105,152,123,148,304,324,293,"0.8","-0.8","65.6","8.2",5,0,0,0,0,0,5,100,0,0,2.486,0.622,-0.306,-0.306,,,,,0,5.98,-1.39,1.25,1.97,0,0,"-16.56",,,"16.56",,,,0,100,"35.6"
5,554430,"Wheeler, Zack",3134,0.2,0,0,,0,0,0,,0,5,,,2530,90.2,92.22,5,5,0,2,7.18,111,138,114,143,288,322,294,"1.3","-1.3","68.5","7.7",5,0,0,0,0,0,5,100,0,0,2.304,0.585,-0.228,0.228,,,,,0,5.19,-2.11,-0.02,1.94,0,0,"-25",,,"25",,,,0,100,"25.7"
5,666808,"Doval, Camilo",1116,0.4,0,0,,0,0,0,,0,5,,,2541,100.5,100.86,5,5,0,0.4000000000000057,6.38,120,149,127,151,295,320,296,"1","-1","67.5","7.3",5,0,0,0,0,0,5,100,0,0,1.19,1.062,0.468,-0.052,,,,,0,5.46,-1.66,-0.01,2.25,0,0,"-20.3",,,"20.3",,,,0,100,"19.1"
