"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle"
81,592332,"Gausman, Kevin",2958,2.7,,,,,,,,,,,,1807,86.9,87.35,0,0,81,0.5,6.69,112,148,125,149,292,319,295,"-2.9","2.9",,,,,,,,,,,,,2.54543,0.49012,1.37062,-0.07235,,,,,,5.56,-2.63,-0.3,0.92,,0,"3.535802469",,,"-3.535802469",,,,,,"33.5"
52,669302,"Gilbert, Logan",3042,1.7,,,,,,,,,,,,640,84.5,86.4,0,0,52,1.9000000000000057,7.62,113,149,126,148,291,318,290,"-1.6","1.6",,,,,,,,,,,,,3.10365,0.10686,0.51115,0.08654,,,,,,5.7,-1.23,-0.33,1.27,,0,"3.063461538",,,"-3.063461538",,,,,,"39.1"
51,615698,"Quantrill, Cal",2643,1.9,,,,,,,,,,,,992,86.7,87.28,0,0,51,0.5999999999999943,6.56,115,149,127,148,301,327,300,"-1.9","1.9",,,,,,,,,,,,,2.66941,0.35824,0.81725,-0.06941,,,,,,6.23,-1.51,-0.26,1.58,,0,"3.735294118",,,"-3.735294118",,,,,,"43.7"
47,628317,"Maeda, Kenta",1958,2.4,,,,,,,,,,,,1402,84,83.89,0,0,47,-0.09999999999999432,6.1,110,146,123,147,292,327,295,"-1.8","1.8",,,,,,,,,,,,,3.31723,-0.09894,0.87766,-0.13596,,,,,,5.72,-2.14,-0.05,0.6,,0,"3.787234043",,,"-3.787234043",,,,,,"38.8"
43,641793,"Littell, Zack",2486,1.7,,,,,,,,,,,,882,83.3,82.67,0,0,43,-0.5999999999999943,6.15,107,148,122,148,298,327,299,"-1.4","1.4",,,,,,,,,,,,,3.1893,0.12953,0.73605,-0.02442,,,,,,6.18,-0.49,-0.17,1.07,,0,"3.246511628",,,"-3.246511628",,,,,,"42.4"
39,593423,"Montas, Frankie",2633,1.5,,,,,,,,0,0,,,1506,86.4,86.2,0,0,39,-0.20000000000000284,5.99,116,148,130,149,296,319,296,"-1.1","1.1",,,0,0,0,0,0,0,0,,0,,2.83359,0.20711,0.84949,-0.27718,,,,,,5.88,-1.17,-0.25,0.74,,0,"2.692307692",,,"-2.692307692",,,,,,"40.8"
37,684007,"Imanaga, Shota",2590,1.4,,,,,,,,,,,,1149,83.4,83.82,0,0,37,0.3999999999999915,6.49,112,152,121,151,300,321,292,"-1.3","1.3",,,,,,,,,,,,,2.70973,0.55919,0.88919,-0.55297,,,,,,5.36,2.68,0.11,0.74,,0,"3.516216216",,,"-3.516216216",,,,,,"37.4"
37,518585,"Cruz, Fernando",1138,3.3,,,,,,,,,,,,871,81.6,82.45,0,0,37,0.8000000000000114,6.82,111,146,123,147,292,318,288,"-1.8","1.8",,,,,,,,,,,,,3.15757,0.26917,0.44162,0.13676,,,,,,6.13,-0.93,0.29,1.67,,0,"4.940540541",,,"-4.940540541",,,,,,"47.8"
36,682243,"Miller, Bryce",2749,1.3,,,,,,,,,,,,900,84.9,85.04,0,0,36,0.09999999999999432,6.46,113,149,127,148,291,320,291,"-1.1","1.1",,,,,,,,,,,,,3.08361,0.08972,0.83333,-0.03611,,,,,,5.38,-1.54,-0.35,1.52,,0,"3.172222222",,,"-3.172222222",,,,,,"39.4"
33,543135,"Eovaldi, Nathan",2622,1.3,,,,,,,,,,,,1635,88.9,89.35,0,0,33,0.3999999999999915,6.6,116,149,125,148,296,320,296,"-1.2","1.2",,,,,,,,,,,,,2.79455,0.09576,1.16424,0.16485,,,,,,5.48,-2.37,0.09,1.07,,0,"3.745454545",,,"-3.745454545",,,,,,"31.9"
