"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle"
7,656288,"Canning, Griffin",2869,0.2,,,,,,,,,,,,1847,88.5,87.47,0,7,0,-1,5.76,113,150,128,151,304,325,301,"0.3","-0.3","75.1","8.3",,,,,,,,,,,2.49857,0.42571,1.37,-0.19857,"91.3",31,,,,5.83,-1.78,-0.27,2.12,,0,"-4.514285714",,,"4.514285714",,,,,0,"39.9"
6,669062,"Miller, Erik",1269,0.5,,,,,,,,,,,,1774,84.5,84.75,0,6,0,0.29999999999999716,6.52,105,152,127,146,299,323,282,"0.4","-0.4","70.7","7.9",,,,,,,,,,,2.80833,0.47,1.35833,-1.35833,"89.8",78,,,,6.03,1.66,-0.07,2.06,,,"-7.033333333",,,"7.033333333",,,,,0,"24.3"
5,661563,"Gil, Luis",2664,0.2,,,,,,,,,,,,1589,90.7,91.98,0,5,0,1.2999999999999972,6.94,101,148,121,153,297,329,285,"0.2","-0.2","73.1","7.4",,,,,,,,,,,2.452,0.314,1.286,-0.134,"91.9",76,,,,5.37,-2.82,-0.35,2.32,,0,"-4.76",,,"4.76",,,,,0,"29.3"
5,607200,"Fedde, Erick",2891,0.2,,,,,,,,,,,,1831,88.3,89.04,0,5,0,0.7000000000000028,6.66,118,141,118,147,299,323,297,"0.2","-0.2","77.1","8.1",,,,,,,,,,,2.568,0.348,0.978,-0.394,"88.7",4,,,,5.8,-1.64,-0.23,2.04,,0,"-4.74",,,"4.74",,,,,0,"34.0"
5,605483,"Snell, Blake",1773,0.3,,,,,,,,,,,,1826,86.6,87.2,0,5,0,0.6000000000000085,6.76,102,152,126,145,310,330,296,"0.3","-0.3","74.6","7.8",,,,,,,,,,,2.1,0.952,1.12,-1.12,"88.9",107,,,,6.41,2.25,0.43,2.46,,,"-5.66",,,"5.66",,,,,0,"53.2"
5,694363,"Shuster, Jared",1290,0.4,,,,,,,,,,,,1567,83.6,84.24,0,5,0,0.6000000000000085,6.58,111,151,125,151,301,327,301,"0.2","-0.2","72.7","8.6",,,,,,,,,,,2.554,0.692,1.052,-0.628,"91.4",88,,,,5.59,1.42,0.28,2.28,,,"-4.56",,,"4.56",,,,,0,"43.0"
5,642547,"Peralta, Freddy",3066,0.2,,,,,,,,,,,,1712,87.9,88.36,0,5,0,0.5,6.72,123,150,126,152,304,321,299,"0.2","-0.2","73.8","7.9",,,,,,,,,,,2.654,0.312,1.37,-0.922,"88.0",92,,,,5.1,-3.1,-0.41,1.85,,0,"-3.48",,,"3.48",,,,,0,"30.1"
5,664285,"Valdez, Framber",2598,0.2,,,,,,,,,,,,1687,88.7,88.04,0,5,0,-0.7000000000000028,6,97,149,122,146,299,325,294,"0.3","-0.3","75.2","8.0",,,,,,,,,,,2.894,0.018,1.11,-0.674,"88.0",4,,,,5.89,0.73,0.14,1.9,,0,"-5.64",,,"5.64",,,,,0,"41.1"
5,622072,"Wood, Alex",756,0.7,,,,,,,,,,,,1653,84.6,84.34,0,5,0,-0.29999999999999716,6.16,105,147,121,146,296,317,295,"0.4","-0.4","70.5","7.8",,,,,,,,,,,3.188,0.004,1.416,-0.14,"95.1",82,,,,4.77,1.89,0.13,1.87,,0,"-8.26",,,"8.26",,,,,0,"17.8"
4,641154,"López, Pablo",2986,0.1,,,,,,,,,,,,2149,87.8,88.88,0,4,0,1.1000000000000085,7.1,119,150,121,150,303,328,301,"0.2","-0.2","67.5","8.2",,,,,,,,,,,2.4375,0.53,1.475,-0.015,"92.8",108,,,,5.6,-1.84,-0.4,1.67,,0,"-5.85",,,"5.85",,,,,0,"36.9"
4,683155,"Estes, Joey",2027,0.2,,,,,,,,,,,,1605,84.3,83.83,0,4,0,-0.5,5.95,89,129,111,141,295,322,294,"0.3","-0.3","75.9","8.3",,,,,,,,,,,2.425,0.78,1.2725,-1.2725,"88.0",146,,,,5.83,-2.02,-0.33,2.55,,0,"-6.425",,,"6.425",,,,,0,"40.4"
4,657277,"Webb, Logan",3201,0.1,,,,,,,,,,,,1423,87.6,88.88,0,4,0,1.3000000000000114,7,117,134,114,142,288,323,295,"0.2","-0.2","77.0","8.4",,,,,,,,,,,3.3175,-0.3575,0.87,-0.87,"92.0",29,,,,4.88,-1.54,0.29,1.94,,0,"-6.075",,,"6.075",,,,,0,"20.1"
4,519242,"Sale, Chris",2815,0.1,,,,,,,,,,,,1826,85.8,86.13,0,4,0,0.29999999999999716,6.5,107,155,118,146,300,322,298,"0.2","-0.2","73.2","7.9",,,,,,,,,,,3.125,-0.025,1.39,-1.39,"88.0",101,,,,4.78,3,0.37,2.25,,,"-5.6",,,"5.6",,,,,0,"7.0"
