"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle"
5,605400,"Nola, Aaron",3189,0.2,0.6,0.6,0.5,1.2,0.763,0.722,0.558,3,5,97.4,9.8,2538,79.2,79.78,0,5,0,0.5999999999999943,6.7,106,148,115,149,300,325,291,"-0.3","0.3","74.6","7.4",5,5,2,0,0,1,0,0,0,0,4.46,-0.824,-1.116,-0.22,"98.8",182,60,20,20,5.15,-1.87,0.17,1.78,0.6,1,"5.28",0.558,1.157,"-5.28",0.042,0.041999999999999926,0.043,0.041,0,"23.5"
5,450203,"Morton, Charlie",2791,0.2,0.6,0,0.6,0.6,0.529,0.365,0.33,3,5,85.2,1.6,2990,81,80.82,0,5,0,-0.20000000000000284,6.14,115,138,117,144,299,322,301,"-0.6","0.6","76.5","7.8",5,5,3,0,0,0,0,0,0,0,4.032,-0.56,-0.922,0.922,"95.4",128,60,20,20,5.53,-2.51,-0.11,2.14,0.6,1,"11.14",0.33,0.508,"-11.14",0.27,0.26999999999999996,0.092,0.164,0,"21.6"
4,663623,"Irvin, Jake",3046,0.1,0.25,0.75,0,1,0.512,0.539,0.367,1,4,80.5,24.5,2494,79.6,80.68,0,4,0,1.1000000000000085,6.9,102,147,115,146,304,326,303,"-0.4","0.4","71.8","8.1",4,4,0,0,0,1,0,0,0,0,4.0525,-0.47,-0.9925,0.0175,"92.8",231,25,25,25,5.66,-2.28,0.22,2.23,0.25,1,"9.325",0.367,0.917,"-9.325",-0.117,-0.11699999999999999,0.083,-0.027,0,"28.4"
4,500779,"Quintana, Jose",2819,0.1,0.5,0,0.5,0.5,0.441,0.454,0.435,2,4,84.4,-9.8,2269,78.1,78.57,0,4,0,0.5,6.42,115,153,121,149,302,325,291,"0.4","-0.4","73.7","8.1",4,4,2,0,0,0,0,0,0,0,4.4025,-0.685,-0.55,0.55,"94.0",144,50,0,0,5.78,2.24,0.29,2.02,0.5,0,"-9.775",0.435,0.611,"9.775",0.065,0.065,-0.111,-0.013,0,"44.7"
3,614179,"Ruiz, José",835,0.4,0.333,1,0,1.333,0.683,0.623,0.334,1,3,95.5,27,2154,85.7,85.5,0,3,0,-0.20000000000000284,6.05,107,146,122,148,301,327,298,"-0.6","0.6","75.9","7.8",3,3,0,0,0,1,0,0,0,0,3.5,-0.40667,-0.06667,-0.00667,"97.0",190,66.66666666666666,33.33333333333333,33.33333333333333,6.23,-1.18,-0.08,2.38,0.333,1,"18.666666667",0.334,1.173,"-18.666666667",-0.001,-0.0010000000000000009,0.16,0.06,0,"47.4"
2,686973,"Varland, Louie",901,0.2,0.5,0,0.5,0.5,0.441,0.488,0.464,1,2,104.3,-1.5,2426,85.2,86.2,0,2,0,1,6.8,116,147,117,148,300,331,298,"0.8","-0.8","75.5","7.5",2,2,1,0,0,0,0,0,0,0,3.73,-0.605,-0.25,-0.01,"104.3",138,100,0,0,5.76,-1.85,0.16,2.08,0.5,0,"-40.6",0.464,0.672,"40.6",0.036,0.035999999999999976,-0.172,-0.047,0,"43.3"
2,543294,"Hendricks, Kyle",2135,0.1,0,0,0,0,0,0.327,0.362,0,2,72.5,12.5,2948,74.1,72.3,0,2,0,-1.7999999999999972,5.4,130,149,98,153,298,323,301,"0.5","-0.5","72.4","6.5",2,2,0,0,0,0,0,0,0,0,5.065,-0.835,-1.32,1.32,"88.0",121,0,0,0,6.04,-2.53,0.41,2.44,0,0,"-26.15",0.362,0.376,"26.15",-0.362,-0.362,-0.376,-0.327,0,"44.4"
2,579328,"Kikuchi, Yusei",2923,0.1,1,1.5,1,2.5,1.466,0.49,0.389,2,2,100.3,20,2411,80.5,81.35,0,2,0,0.7999999999999972,6.8,106,147,115,147,292,320,289,"-1.5","1.5","71.4","7.5",2,2,1,0,0,1,0,0,0,0,4.135,-0.635,-0.555,0.555,"100.2",230,100,0,0,5.47,2.13,0.09,1.8,1,0,"75.7",0.389,0.771,"-75.7",0.611,0.611,1.729,0.976,0,"52.4"
2,502043,"Gibson, Kyle",2764,0.1,1,1.5,1,2.5,1.466,1.408,0.774,2,2,104.5,26,2430,78.1,79.3,0,2,0,1.2999999999999972,6.9,119,146,113,148,311,326,305,"-1.7","1.7","76.7","8.3",2,2,1,0,0,1,0,0,0,0,4.175,-0.465,-0.805,-0.325,"104.5",372,100,100,100,6.21,-2.31,-0.02,1.85,1,2,"83.55",0.774,2.638,"-83.55",0.226,0.22599999999999998,-0.138,0.058,0,"44.1"
2,694738,"Roupp, Landen",907,0.2,0,0,0,0,0,0.877,0.546,0,2,104.1,15,2895,76.7,76.4,0,2,0,-0.29999999999999716,6.9,111,154,120,150,310,326,297,"0.6","-0.6","74.2","7.7",2,2,0,0,0,0,0,0,0,0,4.975,-0.98,-1.645,-1.645,"104.1",214,100,50,50,5.21,-2.15,0,2.29,0,1,"-27.8",0.546,1.56,"27.8",-0.546,-0.546,-1.56,-0.877,0,"32.7"
