"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle"
1,670766,"McCaughan, Darren",714,0.1,,,,,0.72,0.72,,0,0,,,2271,88.9,89.9,0,0,1,1,6.5,107,150,119,140,286,310,280,"-0.3","0.3",,,1,0,0,0,0,0,0,0,0,0,2.01,0.84,1.29,1.29,,,,,0,5.32,-2.8,-2,3.5,1,0,"26.9",1,,"-26.9",,0,,0,,"28.7"
1,592332,"Gausman, Kevin",2958,0,,,,,0.72,0.72,,0,0,,,2416,95.4,95.3,0,0,1,-0.10000000000000853,6.5,86,150,123,144,301,329,300,"-0.1","0.1",,,1,0,0,0,0,0,0,0,0,0,1.21,1.32,1.02,1.02,,,,,0,5.49,-2.68,-2.75,4.13,1,0,"14.9",1,,"-14.9",,0,,0,,"32.7"
1,669022,"Gore, MacKenzie",2994,0,,,,,0.72,0.72,,0,0,,,2194,94.5,95.8,0,0,1,1.2999999999999972,6.9,119,149,123,148,317,334,308,"-0.3","0.3",,,1,0,0,0,0,0,0,0,0,0,1.26,1.28,0.38,0.38,,,,,0,5.86,1.97,1.69,4.16,1,0,"30.9",1,,"-30.9",,0,,0,,"46.4"
1,656288,"Canning, Griffin",2869,0,,,,,0.72,0.72,,0,0,,,1964,94.6,94.3,0,0,1,-0.29999999999999716,6.1,120,145,104,155,309,328,298,"-0.2","0.2",,,1,0,0,0,0,0,0,0,0,0,1.43,1.12,0.39,-0.39,,,,,0,5.9,-1.3,1.53,3.62,1,0,"19.8",1,,"-19.8",,0,,0,,"50.3"
1,656641,"Latz, Jacob",813,0.1,,,,,0.72,0.72,,0,0,,,2383,94.5,94.4,0,0,1,-0.09999999999999432,6.8,87,145,119,141,301,333,307,"-0.4","0.4",,,1,0,0,0,0,0,0,0,0,0,0.86,1.74,0.4,-0.4,,,,,0,5.97,1.62,-1.3,3.34,1,0,"43.5",1,,"-43.5",,0,,0,,"50.7"
1,450203,"Morton, Charlie",2791,0,,,,,0.72,0.72,,0,0,,,2161,95.3,95.2,0,0,1,-0.09999999999999432,6.2,117,153,120,148,290,316,293,"-0.1","0.1",,,1,0,0,0,0,0,0,0,0,0,2.19,0.31,1.59,1.59,,,,,0,5.53,-2.92,-1.81,3.69,1,0,"8.3",1,,"-8.3",,0,,0,,"20.4"
1,593974,"Peralta, Wandy",613,0.2,,,,,0.72,0.72,,0,0,,,2119,95.1,93.8,0,0,1,-1.2999999999999972,5.6,88,135,96,148,277,317,298,"-0.4","0.4",,,1,0,0,0,0,0,0,0,0,0,1.83,0.7,1.4,1.4,,,,,0,6.11,1.46,2.09,3.37,1,0,"43.5",1,,"-43.5",,0,,0,,"39.4"
1,543294,"Hendricks, Kyle",2135,0,,,,,0.72,0.72,,0,0,,,1972,87.4,86.5,0,0,1,-0.9000000000000057,5.5,111,153,108,147,304,325,302,"-0.7","0.7",,,1,0,0,0,0,0,0,0,0,0,2.38,0.58,1.35,1.35,,,,,0,5.98,-2.43,-1.9,2.74,1,0,"72",1,,"-72",,0,,0,,"42.8"
1,458681,"Lynn, Lance",2039,0,,,,,0.72,0.72,,0,0,,,2374,92.1,91.9,0,0,1,-0.19999999999998863,6.4,105,128,100,120,312,318,293,"-0.1","0.1",,,1,0,0,0,0,0,0,0,0,0,1.92,0.79,1.12,1.12,,,,,0,5.7,-2.53,-1.57,3.69,1,0,"8.4",1,,"-8.4",,0,,0,,"31.4"
1,676664,"Sears, JP",2857,0,,,,,0.72,0.72,,0,0,,,1821,88.5,88.4,0,0,1,-0.09999999999999432,6.2,125,146,140,155,307,323,303,"-0.1","0.1",,,1,0,0,0,0,0,0,0,0,0,2.57,0.33,1.28,1.28,,,,,0,4.54,1.35,1.43,3.07,1,0,"8.8",1,,"-8.8",,0,,0,,"25.8"
