"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle"
21,656302,"Cease, Dylan",3188,0.7,,,,,,,,,,,,2791,87.7,88,0,0,21,0.29999999999999716,6.32,112,149,118,150,297,324,299,"-2","2",,,,,,,,,,,,,2.75619,0.19143,-0.15714,-0.06095,,,,,,6.01,-1.29,0.09,2.09,,0,"9.357142857",,,"-9.357142857",,,,,,"52.0"
20,687765,"Spence, Mitch",2481,0.8,,,,,,,,,,,,2771,84.1,83.64,0,0,20,-0.5,6.25,111,148,122,150,301,324,297,"-2","2",,,,,,,,,,,,,3.2925,-0.0365,-1.2025,-0.5945,,,,,,6.09,-2.87,0.72,1.98,,0,"9.815",,,"-9.815",,,,,,"43.3"
20,663903,"Singer, Brady",2967,0.7,,,,,,,,,,,,2458,83.9,85,0,0,20,1.0999999999999943,6.85,113,147,117,147,305,324,297,"-2","2",,,,,,,,,,,,,3.303,-0.0825,-0.3585,-0.0795,,,,,,5.3,-1.44,0.68,1.29,,0,"9.865",,,"-9.865",,,,,,"28.8"
19,661563,"Gil, Luis",2664,0.7,,,,,,,,,,,,2506,87.1,87.79,0,0,19,0.7000000000000028,6.75,113,151,121,151,295,328,288,"-1.6","1.6",,,,,,,,,,,,,2.42316,0.58842,-0.45579,-0.11789,,,,,,5.62,-2.98,0.68,2.23,,0,"8.331578947",,,"-8.331578947",,,,,,"36.9"
19,668881,"Greene, Hunter",2563,0.7,,,,,,,,,,,,2386,87.3,87.7,0,0,19,0.4000000000000057,6.48,106,147,119,147,299,321,291,"-2","2",,,,,,,,,,,,,2.59158,0.39526,-0.54263,-0.13105,,,,,,5.76,-2.23,1.02,1.62,,0,"10.726315789",,,"-10.726315789",,,,,,"28.4"
18,571578,"Corbin, Patrick",2888,0.6,,,,,,,,,,,,2257,80.5,81.16,0,0,18,0.7000000000000028,6.7,117,149,118,148,298,326,300,"-2.3","2.3",,,,,,,,,,,,,3.42222,0.10176,-0.25444,-0.02111,,,,,,6.25,2.54,-0.82,1.29,,0,"12.933333333",,,"-12.933333333",,,,,,"38.8"
18,669854,"Blanco, Ronel",2751,0.7,,,,,,,,,,,,2108,87,88.02,0,0,18,1,6.81,99,148,112,147,289,323,296,"-2","2",,,,,,,,,,,,,2.30722,0.69278,-0.11941,-0.07824,,,,,,5.95,-1.17,0.69,1.4,,0,"11.105555556",,,"-11.105555556",,,,,,"44.0"
16,663372,"Feltner, Ryan",2578,0.6,,,,,,,,,,,,2431,88.1,89.01,0,0,16,0.9000000000000057,6.47,118,150,127,149,304,332,304,"-1.6","1.6",,,,,,,,,,,,,2.46625,0.43687,-0.31563,-0.12937,,,,,,5.52,-1.33,0.45,2.31,,0,"10.24375",,,"-10.24375",,,,,,"42.0"
15,519242,"Sale, Chris",2815,0.5,,,,,,,,,,,,2361,79,78.74,0,0,15,-0.29999999999999716,6.29,109,146,121,142,300,321,293,"-1.4","1.4",,,,,,,,,,,,,4.022,-0.34,-0.95333,0.40667,,,,,,5.13,3.03,-0.34,2.13,,0,"9.446666667",,,"-9.446666667",,,,,,"10.9"
13,608371,"Sims, Lucas",885,1.5,,,,,,,,,,,,3118,83.3,82.35,0,0,13,-1,5.72,111,145,111,146,301,327,296,"-1.4","1.4",,,,,,,,,,,,,2.91385,0.38154,-1.49769,-0.49462,,,,,,5.57,-1.57,0.56,2.27,,0,"11.076923077",,,"-11.076923077",,,,,,"36.4"
13,678394,"Bello, Brayan",2710,0.5,,,,,,,,,,,,2359,86.6,86.72,0,0,13,0.10000000000000853,6.26,107,147,112,144,285,321,302,"-1.4","1.4",,,,,,,,,,,,,3.02923,0.00154,-0.71462,-0.18385,,,,,,5.21,-1.9,0.47,2.14,,0,"10.538461538",,,"-10.538461538",,,,,,"29.6"
12,607625,"Lugo, Seth",3112,0.4,,,,,,,,,,,,3025,81.2,80.45,0,0,12,-0.7999999999999972,5.93,114,150,115,149,303,322,291,"-1","1",,,,,,,,,,,,,3.80083,-0.30833,-1.21417,-1.0075,,,,,,5.43,-1.38,1.17,1.65,,0,"8.375",,,"-8.375",,,,,,"30.8"
12,607074,"Rodón, Carlos",3102,0.4,,,,,,,,,,,,2618,85.7,85.3,0,0,12,-0.4000000000000057,5.95,108,152,121,151,298,325,285,"-1.1","1.1",,,,,,,,,,,,,3.18917,-0.09909,-0.57583,0.42917,,,,,,6.18,2.39,-0.09,2.43,,0,"8.758333333",,,"-8.758333333",,,,,,"40.9"
12,613534,"Adams, Austin",805,1.5,,,,,,,,,,,,2996,87.5,86.92,0,0,12,-0.5999999999999943,5.8,115,150,119,151,298,320,299,"-1.1","1.1",,,,,,,,,,,,,3.13667,-0.17083,-0.78833,-0.13667,,,,,,5.21,-3.5,0.44,2.55,,0,"8.866666667",,,"-8.866666667",,,,,,"12.7"
12,680573,"Woods Richardson, Simeon",2295,0.5,,,,,,,,,,,,2267,86.4,87.22,0,0,12,0.7999999999999972,6.68,115,151,118,148,298,323,293,"-1","1",,,,,,,,,,,,,2.36667,0.67167,-0.47667,-0.33833,,,,,,6.42,-0.99,0.93,1.46,,0,"8.591666667",,,"-8.591666667",,,,,,"47.3"
12,682847,"Ortiz, Luis L.",2143,0.6,,,,,,,,,,,,2467,85.7,86.94,0,0,12,1.2000000000000028,6.91,110,149,112,149,309,322,297,"-1","1",,,,,,,,,,,,,2.93167,0.1575,-0.54917,-0.02083,,,,,,5.03,-1.82,0.45,1.36,,0,"8.383333333",,,"-8.383333333",,,,,,"25.5"
12,579328,"Kikuchi, Yusei",2923,0.4,,,,,,,,,,,,2400,88.5,89.52,0,0,12,1,6.92,99,150,113,147,296,322,291,"-1.2","1.2",,,,,,,,,,,,,2.62667,0.2875,-0.22417,0.09417,,,,,,5.32,2.65,0.6,2.2,,0,"9.883333333",,,"-9.883333333",,,,,,"38.9"
12,640455,"Manaea, Sean",2996,0.4,,,,,,,,,,,,2060,82.4,83.76,0,0,12,1.3999999999999915,7.22,107,151,121,149,300,323,292,"-1.1","1.1",,,,,,,,,,,,,3.055,0.33667,-0.55167,0.31833,,,,,,5.51,2.74,-0.27,2.9,,0,"8.858333333",,,"-8.858333333",,,,,,"25.3"
12,642547,"Peralta, Freddy",3066,0.4,,,,,,,,,,,,2347,82.3,83.07,0,0,12,0.7999999999999972,6.73,110,152,123,147,308,323,298,"-1","1",,,,,,,,,,,,,3.01417,0.35,-0.50833,-0.425,,,,,,5.15,-3.14,0.53,1.68,,0,"8.033333333",,,"-8.033333333",,,,,,"34.1"
12,573186,"Stroman, Marcus",2667,0.4,,,,,,,,,,,,2656,84.1,83.46,0,0,12,-0.5999999999999943,5.8,101,152,118,151,293,324,286,"-1.1","1.1",,,,,,,,,,,,,3.3275,-0.10667,-0.79167,-0.56333,,,,,,5.18,-0.99,1.14,1.49,,0,"8.85",,,"-8.85",,,,,,"33.8"
12,628317,"Maeda, Kenta",1958,0.6,,,,,,,,,,,,2563,80.9,80.47,0,0,12,-0.4000000000000057,5.99,115,147,112,149,292,329,300,"-1.2","1.2",,,,,,,,,,,,,3.14917,0.3375,-0.53667,0.39,,,,,,5.66,-2.19,-0.08,2.52,,0,"10.25",,,"-10.25",,,,,,"38.0"
11,663362,"Waldron, Matt",2450,0.4,,,,,,,,,,,,2199,79.1,79.56,0,0,11,0.5,6.65,119,149,118,151,292,321,300,"-1","1",,,,,,,,,,,,,3.22455,0.42,-1.05909,0.19364,,,,,,5.43,-1.56,-0.18,2.08,,0,"8.781818182",,,"-8.781818182",,,,,,"27.5"
11,641729,"Jiménez, Joe",1089,1,,,,,,,,,,,,2203,84.3,85.8,0,0,11,1.5,7.29,115,151,130,150,298,321,295,"-1","1",,,,,,,,,,,,,2.98636,0.22727,-0.51455,0.07455,,,,,,5.54,-2.64,0.95,1.55,,0,"8.790909091",,,"-8.790909091",,,,,,"30.1"
11,671212,"Boyle, Joe",966,1.1,,,,,,,,,,,,2601,88.3,88.97,0,0,11,0.7000000000000028,6.61,103,146,116,148,295,319,295,"-1.4","1.4",,,,,,,,,,,,,2.87727,0.03636,-0.24,-0.10909,,,,,,6.22,-0.92,0.69,2.05,,0,"12.845454545",,,"-12.845454545",,,,,,"48.0"
11,625643,"López, Reynaldo",2110,0.5,,,,,,,,,,,,2366,84.1,84.59,0,0,11,0.5,6.53,109,148,125,150,296,326,297,"-1","1",,,,,,,,,,,,,3.41182,-0.221,-0.44182,0.18,,,,,,5.75,-1.94,0.03,1.37,,0,"9.427272727",,,"-9.427272727",,,,,,"38.2"
11,656557,"Houck, Tanner",2735,0.4,,,,,,,,,,,,2540,83.2,82.37,0,0,11,-0.7999999999999972,5.79,106,149,116,147,287,326,297,"-1.3","1.3",,,,,,,,,,,,,3.47818,-0.17545,-1.25545,0.39,,,,,,5.54,-2.44,-0.01,2.13,,0,"11.409090909",,,"-11.409090909",,,,,,"20.5"
11,681857,"Olson, Reese",1853,0.6,,,,,,,,,,,,2736,84.4,83.69,0,0,11,-0.7000000000000028,5.81,119,149,110,150,286,330,302,"-1.1","1.1",,,,,,,,,,,,,3.39727,-0.19364,-0.47455,0.23091,,,,,,6.08,-2.67,0.1,1.95,,0,"9.772727273",,,"-9.772727273",,,,,,"40.2"
11,656427,"Flaherty, Jack",2646,0.4,,,,,,,,,,,,2478,84.9,85.44,0,0,11,0.5,6.63,118,151,123,150,295,322,294,"-0.8","0.8",,,,,,,,,,,,,2.98273,0.199,-0.52727,-0.23091,,,,,,5.38,-2.51,0.61,1.19,,0,"6.827272727",,,"-6.827272727",,,,,,"27.7"
11,607192,"Glasnow, Tyler",2011,0.5,,,,,,,,,,,,2655,90.1,92.35,0,0,11,2.200000000000003,7.37,125,150,122,153,295,316,297,"-1","1",,,,,,,,,,,,,2.69273,0.09,-0.126,0.062,,,,,,5.91,-1.85,0.35,1.75,,0,"9.254545455",,,"-9.254545455",,,,,,"52.6"
11,669302,"Gilbert, Logan",3042,0.4,,,,,,,,,,,,1948,87.9,89.94,0,0,11,2,7.55,110,145,102,146,287,320,291,"-1.1","1.1",,,,,,,,,,,,,2.88,0.07455,-0.15,0.04556,,,,,,5.87,-1.16,0.02,2.01,,0,"10.263636364",,,"-10.263636364",,,,,,"47.3"
10,663423,"Thornton, Trent",1139,0.9,,,,,,,,,,,,2805,87.9,87.99,0,0,10,0.09999999999999432,6.18,118,151,120,149,296,322,295,"-0.8","0.8",,,,,,,,,,,,,2.509,0.50222,-0.529,-0.169,,,,,,5.11,-2.51,0.74,2.2,,0,"8.2",,,"-8.2",,,,,,"32.7"
10,605280,"Holmes, Clay",1085,0.9,,,,,,,,,,,,2644,86,85.44,0,0,10,-0.5999999999999943,5.98,109,150,115,151,295,328,291,"-1.2","1.2",,,,,,,,,,,,,3.53,-0.44,-0.545,0.069,,,,,,6.57,-0.67,0.4,1.15,,0,"11.63",,,"-11.63",,,,,,"50.7"
10,663559,"Falter, Bailey",2138,0.5,,,,,,,,,,,,1988,86.3,88.09,0,0,10,1.7999999999999972,7.32,111,143,112,140,314,325,296,"-0.9","0.9",,,,,,,,,,,,,2.502,0.551,-0.273,0.155,,,,,,5.77,1.17,-0.64,2.5,,0,"8.85",,,"-8.85",,,,,,"56.8"
10,621244,"Berríos, José",2914,0.3,,,,,,,,,,,,2337,82.6,82.3,0,0,10,-0.29999999999999716,6.31,114,150,115,149,288,320,294,"-1.2","1.2",,,,,,,,,,,,,3.86,-0.481,-1.321,-0.329,,,,,,5.55,-2.15,0.49,1.69,,0,"11.92",,,"-11.92",,,,,,"37.5"
10,656288,"Canning, Griffin",2869,0.3,,,,,,,,,,,,2702,87.6,87.09,0,0,10,-0.5,5.98,108,150,117,150,307,328,306,"-1","1",,,,,,,,,,,,,3.152,-0.179,0.017,0.029,,,,,,5.95,-1.6,-0.09,2.09,,0,"10.06",,,"-10.06",,,,,,"45.9"
10,595345,"Okert, Steven",616,1.6,,,,,,,,,,,,2561,80.9,81.13,0,0,10,0.19999999999998863,6.44,109,150,124,149,299,327,293,"-0.9","0.9",,,,,,,,,,,,,3.238,0.247,-0.928,0.288,,,,,,5.7,3.03,0.13,2.19,,0,"9.31",,,"-9.31",,,,,,"34.5"
10,650633,"King, Michael",2895,0.3,,,,,,,,,,,,2689,82.4,81.61,0,0,10,-0.8000000000000114,5.91,116,150,123,151,302,325,301,"-1.1","1.1",,,,,,,,,,,,,3.181,0.227,-1.116,-0.478,,,,,,5.43,-3.06,0.62,1.28,,0,"10.7",,,"-10.7",,,,,,"27.4"
10,680897,"Nastrini, Nick",734,1.4,,,,,,,,,,,,2234,83.9,84.16,0,0,10,0.4000000000000057,6.48,113,149,122,150,298,327,294,"-1.2","1.2",,,,,,,,,,,,,3.125,0.117,-0.163,0.011,,,,,,5.75,-2.06,-0.02,1.7,,0,"12.16",,,"-12.16",,,,,,"43.6"
10,570632,"Ureña, José",1760,0.6,,,,,,,,,,,,2322,87.1,87.19,0,0,10,0.20000000000000284,6.41,110,151,117,149,299,326,299,"-0.9","0.9",,,,,,,,,,,,,2.319,0.695,0.25222,0.07222,,,,,,5.74,-3.06,0.13,2.43,,0,"9.02",,,"-9.02",,,,,,"32.7"
10,666808,"Doval, Camilo",1116,0.9,,,,,,,,,,,,2453,88.1,88.28,0,0,10,0.20000000000000284,6.22,116,146,123,146,292,323,294,"-0.9","0.9",,,,,,,,,,,,,2.981,-0.061,-0.392,-0.146,,,,,,5.57,-1.58,-0.59,1.74,,0,"9.19",,,"-9.19",,,,,,"20.3"
9,682610,"Muñoz, Roddery",1485,0.6,,,,,,,,,,,,2361,85.5,85.06,0,0,9,-0.4000000000000057,6.1,107,144,113,145,294,319,300,"-0.8","0.8",,,,,,,,,,,,,3.40556,-0.27333,-0.61125,0.19625,,,,,,5.8,-1.64,-0.03,1.45,,0,"8.4",,,"-8.4",,,,,,"42.6"
9,592866,"Williams, Trevor",1064,0.8,,,,,,,,,,,,2214,78.9,79.91,0,0,9,1,6.84,113,146,118,143,301,321,296,"-1","1",,,,,,,,,,,,,3.36556,0.28667,-0.93889,-0.60111,,,,,,5.01,-2.38,0.22,1.15,,0,"10.933333333",,,"-10.933333333",,,,,,"17.6"
9,656605,"Keller, Mitch",2851,0.3,,,,,,,,,,,,2628,84.7,85.16,0,0,9,0.5,6.49,116,146,111,149,308,323,294,"-1","1",,,,,,,,,,,,,3.23889,-0.06222,-0.77889,-0.24778,,,,,,5.8,-1.95,-0.13,2.28,,0,"10.811111111",,,"-10.811111111",,,,,,"35.8"
9,656464,"Ginkel, Kevin",1184,0.8,,,,,,,,,,,,2463,87.6,88.51,0,0,9,0.9000000000000057,6.78,108,150,122,149,304,324,300,"-0.9","0.9",,,,,,,,,,,,,2.99444,-0.03333,-0.27111,-0.04889,,,,,,6.5,-2.09,0.43,1.58,,0,"9.511111111",,,"-9.511111111",,,,,,"41.6"
