"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle"
13,628317,"Maeda, Kenta",1958,0.7,,,,,,,,,,,,2607,80.6,80.19,0,0,13,-0.3999999999999915,6.01,116,148,114,151,286,329,297,"0.6","-0.6",,,,,,,,,,,,,3.33692,0.17538,-0.81308,0.56231,,,,,,5.62,-2.27,-0.2,2.37,,0,"-4.961538462",,,"4.961538462",,,,,,"38.2"
12,669302,"Gilbert, Logan",3042,0.4,,,,,,,,,,,,1933,87.9,89.63,0,0,12,1.6999999999999886,7.46,118,150,119,150,287,316,291,"0.7","-0.7",,,,,,,,,,,,,3.08167,-0.13091,-0.08636,-0.00636,,,,,,5.85,-1.16,-0.16,2.65,,0,"-6.025",,,"6.025",,,,,,"43.7"
11,663372,"Feltner, Ryan",2578,0.4,,,,,,,,,,,,2401,87.9,88.57,0,0,11,0.6999999999999886,6.37,108,146,124,144,304,329,297,"0.8","-0.8",,,,,,,,,,,,,2.56273,0.35909,-0.36727,-0.20364,,,,,,5.57,-1.4,0.12,2.41,,0,"-7.3",,,"7.3",,,,,,"43.2"
11,656427,"Flaherty, Jack",2646,0.4,,,,,,,,,,,,2424,84.1,84.57,0,0,11,0.5,6.49,117,151,121,151,298,325,295,"0.7","-0.7",,,,,,,,,,,,,3.06364,0.14455,-0.56091,0.08636,,,,,,5.45,-2.53,-0.13,1.92,,0,"-6.1",,,"6.1",,,,,,"28.8"
11,668881,"Greene, Hunter",2563,0.4,,,,,,,,,,,,2342,86.2,86.63,0,0,11,0.3999999999999915,6.37,115,147,122,151,303,324,292,"0.7","-0.7",,,,,,,,,,,,,2.67727,0.37,-0.54545,0.07455,,,,,,5.8,-2.25,0.16,2.43,,0,"-6.618181818",,,"6.618181818",,,,,,"29.4"
11,656557,"Houck, Tanner",2735,0.4,,,,,,,,,,,,2583,83.6,82.73,0,0,11,-0.8999999999999915,5.85,114,151,118,150,282,315,300,"0.6","-0.6",,,,,,,,,,,,,3.27727,0.002,-1.45636,0.49636,,,,,,5.55,-2.42,-0.07,2.43,,0,"-5.281818182",,,"5.281818182",,,,,,"20.9"
11,678394,"Bello, Brayan",2710,0.4,,,,,,,,,,,,2282,86.3,86.41,0,0,11,0.10000000000000853,6.23,114,151,116,148,297,326,299,"0.6","-0.6",,,,,,,,,,,,,3.07364,-0.02364,-0.74909,-0.14909,,,,,,5.21,-1.96,-0.11,2.67,,0,"-5.345454545",,,"5.345454545",,,,,,"28.6"
10,666808,"Doval, Camilo",1116,0.9,,,,,,,,,,,,2512,88.4,88.74,0,0,10,0.29999999999999716,6.31,109,147,116,144,295,314,293,"0.7","-0.7",,,,,,,,,,,,,3.006,-0.12,-0.55,-0.274,,,,,,5.53,-1.53,-0.23,2.04,,0,"-7.38",,,"7.38",,,,,,"20.4"
10,571760,"Heaney, Andrew",2731,0.4,,,,,,,,,,,,2445,81.6,81.81,0,0,10,0.20000000000000284,6.29,107,152,119,149,306,327,300,"0.6","-0.6",,,,,,,,,,,,,3.219,0.188,-0.2,0.148,,,,,,5.03,2.99,0.43,2.46,,0,"-5.91",,,"5.91",,,,,,"29.1"
10,661563,"Gil, Luis",2664,0.4,,,,,,,,,,,,2505,86.7,87.49,0,0,10,0.7999999999999972,6.76,108,149,120,151,297,323,289,"0.8","-0.8",,,,,,,,,,,,,2.527,0.506,-0.493,0.083,,,,,,5.7,-2.99,0.17,2.1,,0,"-8.37",,,"8.37",,,,,,"37.3"
9,641154,"López, Pablo",2986,0.3,,,,,,,,,,,,2375,84,85.17,0,0,9,1.2000000000000028,7.04,112,151,120,148,294,323,293,"0.6","-0.6",,,,,,,,,,,,,3.28556,-0.05222,-1.06556,-0.58778,,,,,,5.47,-1.9,-0.12,2.14,,0,"-6.2",,,"6.2",,,,,,"34.9"
