"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle"
32,641927,"Ober, Bailey",2696,1.2,0,0,,0,0,0,,0,32,,,2038,83.8,85.15,32,32,0,1.2999999999999972,7.19,114,149,126,150,300,325,294,"6.3","-6.3","66.5","8.3",32,0,0,0,0,0,32,100,0,0,2.74437,0.50531,1.41344,-0.24219,,,,,0,6.04,-1.42,-0.11,1.44,0,0,"-19.53125",,,"19.53125",,,,0,100,"34.9"
25,650911,"Sánchez, Cristopher",2797,0.9,0,0,,0,0,0,,0,25,,,2018,85.2,86.42,25,25,0,1.2000000000000028,7.01,112,150,123,148,297,325,290,"5.3","-5.3","70.8","8.3",25,0,0,0,0,0,25,100,0,0,3.0892,0.0452,1.5124,-0.6452,,,,,0,6.11,1.98,0.41,1.64,0,0,"-21.196",,,"21.196",,,,0,100,"29.4"
19,669373,"Skubal, Tarik",2866,0.7,0,0,,0,0,0,,0,19,,,1643,86.5,86.5,19,19,0,0,6.35,113,152,120,146,300,325,288,"4.3","-4.3","69.1","8.1",19,0,0,0,0,0,19,100,0,0,2.58684,0.46947,1.22053,-1.09421,,,,,0,6.18,1.69,-0.06,1.49,0,0,"-22.436842105",,,"22.436842105",,,,0,100,"46.9"
19,542881,"Anderson, Tyler",2914,0.7,0,0,,0,0,0,,0,19,,,1876,79,78.48,19,19,0,-0.5,6.05,110,151,122,150,306,324,293,"4.4","-4.4","70.3","8.5",19,0,0,0,0,0,19,100,0,0,2.60421,1.06632,1.00105,-0.68842,,,,,0,6.55,1.32,0.45,1.4,0,0,"-23.157894737",,,"23.157894737",,,,0,100,"62.7"
18,608379,"Wacha, Michael",2602,0.7,0,0,,0,0,0,,0,18,,,1623,81.6,82.14,18,18,0,0.5,6.73,110,146,122,148,297,319,294,"4.2","-4.2","66.9","8.2",18,0,0,0,0,0,18,100,0,0,2.90611,0.52778,1.03333,0.00556,,,,,0,6.61,-1.65,-0.13,1.58,0,0,"-23.411111111",,,"23.411111111",,,,0,100,"53.8"
18,650633,"King, Michael",2895,0.6,0,0,,0,0,0,,0,18,,,2075,86.9,86.7,18,18,0,-0.20000000000000284,6.25,106,146,128,151,292,320,298,"4.2","-4.2","70.5","8.3",18,0,0,0,0,0,18,100,0,0,2.67167,0.36111,1.47,-0.65111,,,,,0,5.37,-3.03,-0.24,1.6,0,0,"-23.594444444",,,"23.594444444",,,,0,100,"25.7"
17,596133,"Weaver, Luke",1374,1.2,0,0,,0,0,0,,0,17,,,1880,89.4,89.13,17,17,0,-0.30000000000001137,6.04,110,149,125,152,294,327,290,"4.1","-4.1","72.9","8.1",17,0,0,0,0,0,17,100,0,0,2.49647,0.34765,1.19647,0.08,,,,,0,5.63,-1.72,-0.33,1.47,0,0,"-24.405882353",,,"24.405882353",,,,0,100,"45.0"
17,666142,"Ragans, Cole",3118,0.5,0,0,,0,0,0,,0,17,,,2163,85.4,85.38,17,17,0,0,6.31,115,150,121,146,306,323,291,"2.4","-2.4","71.8","8.5",17,0,0,0,0,0,17,100,0,0,2.07824,1.05176,1.36353,-1.18471,,,,,0,6.24,1.17,0.33,1.52,0,0,"-14.070588235",,,"14.070588235",,,,0,100,"44.4"
16,676130,"Buttó, José",1222,1.3,0,0,,0,0,0,,0,16,,,1835,87.3,87.31,16,16,0,0,6.34,122,150,128,150,295,325,297,"3.7","-3.7","70.6","7.9",16,0,0,0,0,0,16,100,0,0,2.74687,0.25188,0.78,-0.095,,,,,0,5.25,-2.52,-0.26,1.63,0,0,"-23.125",,,"23.125",,,,0,100,"33.0"
15,676440,"Bibee, Tanner",2851,0.5,0,0,,0,0,0,,0,15,,,1960,82.2,82.74,15,15,0,0.5,6.64,118,147,131,148,298,322,296,"3.5","-3.5","63.0","7.4",15,0,0,0,0,0,15,100,0,0,2.46533,0.90933,1.14467,-0.398,,,,,0,6.22,-2.19,-0.29,2.39,0,0,"-23.606666667",,,"23.606666667",,,,0,100,"52.8"
