"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle"
2,666157,"Lodolo, Nick",1864,0.1,,,,,0.72,0.72,,0,0,,,2774,83.2,81.8,0,0,2,-1.4000000000000057,6.05,119,149,125,149,312,331,278,"-0.6","0.6",,,2,0,0,0,0,0,0,0,0,0,3.62,-0.245,-1.21,1.21,,,,,0,5.42,3.58,-2.74,0.11,1,0,"28.8",1,,"-28.8",,0,,0,,"18.0"
2,642232,"Yarbrough, Ryan",1514,0.1,,,,,0.72,0.72,,0,0,,,2135,71.7,71.4,0,0,2,-0.29999999999999716,6.25,106,151,120,149,286,307,285,"-0.6","0.6",,,2,0,0,0,0,0,0,0,0,0,3.585,0.875,-1.11,-0.01,,,,,0,4.75,3.38,-0.54,2.5,1,0,"27.95",1,,"-27.95",,0,,0,,"10.1"
1,608334,"Fulmer, Carson",1472,0.1,,,,,0.72,0.72,,0,0,,,2599,82.9,82.4,0,0,1,-0.5,6.3,121,147,132,155,299,335,311,"-0.4","0.4",,,1,0,0,0,0,0,0,0,0,0,4.01,-0.65,-0.25,0.25,,,,,0,5.84,-2.48,2.17,0.03,1,0,"42.9",1,,"-42.9",,0,,0,,"41.9"
1,608344,"Irvin, Cole",1767,0.1,,,,,0.72,0.72,,0,0,,,2310,77.7,77.3,0,0,1,-0.4000000000000057,6.3,110,154,120,148,323,340,302,"-0.4","0.4",,,1,0,0,0,0,0,0,0,0,0,4.83,-1.02,-0.74,0.74,,,,,0,5.98,1.21,-2.28,-0.01,1,0,"42.9",1,,"-42.9",,0,,0,,"39.0"
1,605135,"Bassitt, Chris",2959,0,,,,,0.72,0.72,,0,0,,,2150,68.6,68.3,0,0,1,-0.29999999999999716,6.6,122,151,113,154,268,311,300,"-0.3","0.3",,,1,0,0,0,0,0,0,0,0,0,6,-1.07,-1.33,1.33,,,,,0,6.09,-1.32,2.9,0.57,1,0,"28.8",1,,"-28.8",,0,,0,,"44.3"
1,681882,"Selby, Colin",112,0.9,,,,,0.72,0.72,,0,0,,,2638,79.6,78.4,0,0,1,-1.1999999999999886,6.2,122,153,114,148,297,323,295,"-0.4","0.4",,,1,0,0,0,0,0,0,0,0,0,4.96,-1.26,-1.17,-1.17,,,,,0,5.73,-1.27,-1.76,3.55,1,0,"42.9",1,,"-42.9",,0,,0,,"47.8"
1,670810,"Gillaspie, Logan",151,0.7,,,,,0.72,0.72,,0,0,,,2353,83.7,83.5,0,0,1,-0.20000000000000284,6.1,115,154,125,148,295,343,284,"-0.4","0.4",,,1,0,0,0,0,0,0,0,0,0,4.14,-0.9,-0.1,-0.1,,,,,0,6.22,-0.34,-1.76,3.84,1,0,"38.2",1,,"-38.2",,0,,0,,"55.2"
1,605155,"Brewer, Colten",391,0.3,,,,,0.72,0.72,,0,0,,,3074,82.7,82.6,0,0,1,-0.10000000000000853,6.5,129,149,114,120,284,317,298,"-0.4","0.4",,,1,0,0,0,0,0,0,0,0,0,4.44,-1.07,-1.01,1.01,,,,,0,6.16,-2.34,2.27,1.01,1,0,"38.2",1,,"-38.2",,0,,0,,"40.5"
1,519151,"Pressly, Ryan",969,0.1,,,,,0.72,0.72,,0,0,,,3213,84.3,83.9,0,0,1,-0.3999999999999915,6.2,121,148,135,154,310,317,302,"-0.1","0.1",,,1,0,0,0,0,0,0,0,0,0,3.92,-0.68,-1.68,1.68,,,,,0,5.82,-0.38,2.27,0.57,1,0,"14.4",1,,"-14.4",,0,,0,,"57.3"
1,641585,"France, J.P.",466,0.2,,,,,0.72,0.72,,0,0,,,2568,76.4,75.4,0,0,1,-1,6.5,122,150,115,150,279,317,289,"-0.2","0.2",,,1,0,0,0,0,0,0,0,0,0,5.6,-1.57,-0.96,0.96,,,,,0,5.62,-1.07,2.02,-0.52,1,0,"18.2",1,,"-18.2",,0,,0,,"49.2"
