"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle"
44,656302,"Cease, Dylan",3188,1.4,0.31,0.19,0.262,0.5,0.331,0.267,0.227,13,42,85.6,13.3,2782,87.6,87.83,0,44,0,0.20000000000000284,6.29,117,148,125,148,294,323,298,"-3.8","3.8","68.7","7.3",44,44,9,2,0,2,0,0,0,0,2.89727,0.06227,-0.2125,0.00386,"92.5",169,29.545454545454547,2.272727272727273,2.272727272727273,6.02,-1.36,0.35,2.2,0.295,1,"8.590909091",0.229,0.39,"-8.590909091",0.083,0.06599999999999998,0.11,0.064,0,"50.8"
36,663903,"Singer, Brady",2967,1.2,0.25,0.278,0.206,0.528,0.326,0.391,0.31,9,36,86.5,16.3,2417,83.2,84.49,0,36,0,1.2999999999999972,6.9,115,149,125,150,296,324,296,"-3.2","3.2","71.6","7.5",36,36,4,2,1,2,0,0,0,0,3.24528,0.02,-0.4875,-0.0125,"94.1",200,38.88888888888889,13.88888888888889,13.88888888888889,5.27,-1.46,0.27,2.07,0.25,5,"8.75",0.31,0.617,"-8.75",-0.06,-0.06,-0.089,-0.065,0,"27.9"
32,519242,"Sale, Chris",2815,1.1,0.313,0.125,0.313,0.438,0.322,0.283,0.261,10,32,82.6,22.4,2328,79.1,78.97,0,32,0,-0.09999999999999432,6.28,113,152,126,148,300,320,291,"-2.1","2.1","69.3","7.7",32,32,6,4,0,0,0,0,0,0,4.04813,-0.38719,-0.87781,0.51094,"92.0",200,28.125,3.125,3.125,5.11,3.06,-0.04,1.97,0.313,1,"6.4125",0.261,0.394,"-6.4125",0.052,0.05199999999999999,0.044,0.039,0,"11.5"
28,656605,"Keller, Mitch",2851,1,0.214,0.25,0.185,0.464,0.283,0.321,0.258,6,28,85.8,13.3,2751,84.3,84.39,0,28,0,0.10000000000000853,6.39,113,150,118,148,305,322,289,"0.2","-0.2","69.2","7.2",28,28,2,2,1,1,0,0,0,0,3.22929,-0.01111,-1.27036,-0.67607,"92.8",176,32.142857142857146,10.714285714285714,10.714285714285714,5.74,-1.99,0.26,2.38,0.214,3,"-0.585714286",0.258,0.491,"0.585714286",-0.044,-0.04400000000000001,-0.027,-0.038,0,"35.0"
27,694297,"Pfaadt, Brandon",2793,1,0.269,0.308,0.2,0.577,0.341,0.284,0.227,7,26,86.7,19.3,2854,85,85.57,0,27,0,0.5999999999999943,6.58,108,149,123,145,303,317,293,"-2.1","2.1","72.1","7.6",27,27,4,0,1,2,0,0,0,0,2.63519,0.51185,-0.98741,-0.51481,"92.5",196,25.925925925925924,3.7037037037037033,3.7037037037037033,5.35,-2.14,0.2,2.13,0.259,1,"7.848148148",0.238,0.408,"-7.848148148",0.042,0.02100000000000002,0.169,0.057,0,"24.3"
25,656288,"Canning, Griffin",2869,0.9,0.32,0.28,0.261,0.6,0.39,0.391,0.331,8,25,92.3,8,2673,88,87.5,0,25,0,-0.5,5.9,114,150,126,151,301,324,297,"-2.8","2.8","71.7","7.3",25,25,5,1,0,2,0,0,0,0,3.138,-0.2012,-0.0588,-0.0148,"95.4",153,44,12,12,5.97,-1.64,0.11,2.17,0.32,3,"11.032",0.331,0.591,"-11.032",-0.011,-0.01100000000000001,0.009,-0.001,0,"45.5"
24,502043,"Gibson, Kyle",2764,0.9,0.391,0.435,0.286,0.826,0.492,0.41,0.379,9,23,83.3,18.1,2408,81,81.77,0,24,0,0.7999999999999972,6.82,109,147,120,147,300,318,298,"-7.7","7.7","71.2","7.8",24,24,5,1,0,3,0,0,0,0,3.4475,0.02958,-0.99458,-0.01042,"91.9",184,20.833333333333336,8.333333333333332,8.333333333333332,6.2,-2.26,0.29,2,0.375,2,"31.895833333",0.37,0.6,"-31.895833333",0.012,0.0050000000000000044,0.226,0.082,0,"42.4"
24,669302,"Gilbert, Logan",3042,0.8,0.25,0.167,0.25,0.417,0.283,0.307,0.288,6,24,90.9,10.5,1844,88.5,90.5,0,24,0,2,7.56,114,150,127,148,290,318,289,"-0.1","0.1","70.8","7.2",24,24,2,4,0,0,0,0,0,0,2.88,0.03667,-0.05174,-0.00565,"93.5",153,29.166666666666668,8.333333333333332,8.333333333333332,5.8,-1.13,-0.15,2.21,0.25,2,"0.383333333",0.288,0.429,"-0.383333333",-0.038,-0.03799999999999998,-0.012,-0.024,0,"43.4"
22,579328,"Kikuchi, Yusei",2923,0.8,0.273,0.045,0.273,0.318,0.257,0.359,0.383,6,22,86.6,6.6,2384,89.2,90.21,0,22,0,1,6.94,106,147,120,146,299,322,291,"-0.1","0.1","71.3","6.9",22,22,5,1,0,0,0,0,0,0,2.62909,0.24227,-0.19273,0.16455,"93.6",118,31.818181818181817,0,0,5.36,2.53,-0.2,2.05,0.273,0,"0.272727273",0.383,0.431,"-0.272727273",-0.11,-0.10999999999999999,-0.113,-0.102,0,"40.0"
22,671096,"Abbott, Andrew",2333,0.9,0.227,0.182,0.19,0.409,0.27,0.226,0.226,5,22,81.4,30.6,2746,82.7,83.3,0,22,0,0.5999999999999943,6.6,112,150,124,149,298,320,281,"-0.7","0.7","70.4","7.5",22,22,3,1,0,1,0,0,0,0,2.99591,0.32818,-1.19273,0.82091,"90.4",162,13.636363636363635,0,0,5.86,1.7,-0.37,2.17,0.227,0,"3",0.226,0.298,"-3",0.001,0.0010000000000000009,0.111,0.044,0,"43.5"
