"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle"
23,669302,"Gilbert, Logan",3042,0.8,0,0,,0,0,0,,0,23,,,622,85,86.92,23,23,0,1.9000000000000057,7.58,113,150,125,147,291,316,288,"4.3","-4.3","64.8","8.1",23,0,0,0,0,0,23,100,0,0,3.28609,-0.12682,0.4787,0.11696,,,,,0,5.7,-1.28,-0.19,1.41,0,0,"-18.669565217",,,"18.669565217",,,,0,100,"38.6"
22,592332,"Gausman, Kevin",2958,0.7,0,0,,0,0,0,,0,22,,,1869,87.1,87.64,22,22,0,0.5,6.7,107,147,120,144,300,319,290,"5.5","-5.5","66.5","8.1",22,0,0,0,0,0,22,100,0,0,2.51864,0.495,1.41636,0.77364,,,,,0,5.57,-2.62,-0.22,1.21,0,0,"-25.204545455",,,"25.204545455",,,,0,100,"33.9"
21,671737,"Bradley, Taj",2294,0.9,0,0,,0,0,0,,0,21,,,1496,91.5,92.11,21,21,0,0.5999999999999943,6.58,108,148,125,149,296,331,301,"4.1","-4.1","68.5","7.5",21,0,0,0,0,0,21,100,0,0,2.38381,0.33095,0.85333,-0.14571,,,,,0,6.08,-1.43,0.07,1.82,0,0,"-19.461904762",,,"19.461904762",,,,0,100,"53.7"
19,518585,"Cruz, Fernando",1138,1.7,0,0,,0,0,0,,0,19,,,834,81.6,82.41,19,19,0,0.8000000000000114,6.84,115,149,128,151,291,319,290,"3.7","-3.7","61.3","8.5",19,0,0,0,0,0,19,100,0,0,3.32526,0.09789,0.47053,-0.05579,,,,,0,6.11,-0.89,0.19,1.31,0,0,"-19.521052632",,,"19.521052632",,,,0,100,"48.8"
18,684007,"Imanaga, Shota",2590,0.7,0,0,,0,0,0,,0,18,,,1074,83.2,83.43,18,18,0,0.20000000000000284,6.44,114,151,121,150,301,320,288,"3.4","-3.4","68.6","8.3",18,0,0,0,0,0,18,100,0,0,2.87889,0.41611,0.93556,-0.72,,,,,0,5.38,2.65,0.19,1.37,0,0,"-18.894444444",,,"18.894444444",,,,0,100,"37.8"
18,615698,"Quantrill, Cal",2643,0.7,0,0,,0,0,0,,0,18,,,949,86.4,86.96,18,18,0,0.5999999999999943,6.58,113,147,127,149,300,329,300,"3.9","-3.9","70.4","8.1",18,0,0,0,0,0,18,100,0,0,2.75667,0.29056,0.84667,-0.26444,,,,,0,6.25,-1.51,-0.19,1.64,0,0,"-21.611111111",,,"21.611111111",,,,0,100,"44.5"
16,679885,"Martinez, Justin",1177,1.4,0,0,,0,0,0,,0,16,,,801,90.6,91.14,16,16,0,0.5,6.65,118,150,124,149,298,314,293,"3.9","-3.9","68.0","8.0",16,0,0,0,0,0,16,100,0,0,2.81813,-0.04286,0.56688,0.09937,,,,,0,6.37,-2.56,0.06,1.47,0,0,"-24.64375",,,"24.64375",,,,0,100,"48.0"
15,643410,"Leiter Jr., Mark",1015,1.5,0,0,,0,0,0,,0,15,,,746,84.4,85.03,15,15,0,0.5999999999999943,6.73,110,150,122,151,301,326,294,"3.3","-3.3","69.6","8.3",15,0,0,0,0,0,15,100,0,0,2.90267,0.30133,0.44467,0.11267,,,,,0,5.85,-1.24,-0.1,1.47,0,0,"-22.02",,,"22.02",,,,0,100,"53.2"
14,682243,"Miller, Bryce",2749,0.5,0,0,,0,0,0,,0,14,,,897,84.4,84.64,14,14,0,0.19999999999998863,6.49,110,147,124,145,293,318,287,"3.6","-3.6","70.9","8.2",14,0,0,0,0,0,14,100,0,0,3.25143,-0.04571,0.79,0.43429,,,,,0,5.35,-1.52,-0.25,1.79,0,0,"-25.507142857",,,"25.507142857",,,,0,100,"40.3"
13,543135,"Eovaldi, Nathan",2622,0.5,0,0,,0,0,0,,0,13,,,1618,89.6,89.87,13,13,0,0.30000000000001137,6.49,117,152,127,150,300,325,299,"2.4","-2.4","73.2","8.1",13,0,0,0,0,0,13,100,0,0,2.92769,-0.08462,1.12231,0.41308,,,,,0,5.45,-2.37,0.18,1.39,0,0,"-18.784615385",,,"18.784615385",,,,0,100,"31.4"
