"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle"
6,615698,"Quantrill, Cal",2643,0.2,,,,,,,,,,,,2232,93.8,94.82,0,6,0,1,6.65,117,148,128,148,303,332,304,"0.4","-0.4","74.2","7.4",,,,,,,,,,,1.44167,1.12167,1.02167,-0.49833,"88.0",168,,,,6.33,-1.49,-0.39,2.43,,0,"-7.066666667",,,"7.066666667",,,,,0,"45.5"
5,666142,"Ragans, Cole",3118,0.2,,,,,,,,,,,,2531,95.7,95.12,0,5,0,-0.6000000000000085,6.2,112,152,116,148,305,323,289,"0.1","-0.1","68.6","7.2",,,,,,,,,,,0.94,1.574,1.01,-0.57,"89.8",195,,,,6.41,0.89,-0.24,2.58,,,"-2.84",,,"2.84",,,,,0,"46.3"
5,642547,"Peralta, Freddy",3066,0.2,,,,,,,,,,,,2417,94.2,94.68,0,5,0,0.5,6.7,107,150,128,147,311,323,300,"0.3","-0.3","76.9","7.5",,,,,,,,,,,1.162,1.422,0.782,-0.086,"91.4",87,,,,5.31,-2.77,-0.47,2.75,,0,"-6.74",,,"6.74",,,,,0,"37.4"
4,663559,"Falter, Bailey",2138,0.2,,,,,,,,0,0,,,2063,91.7,93.57,0,4,0,1.8999999999999915,7.28,112,149,121,150,317,331,296,"-0.2","0.2","74.6","7.6",1,0,0,0,0,0,0,0,0,0,1.1825,1.52,0.345,-0.105,"88.4",139,,,0,5.78,1.24,-0.05,2.66,,0,"6.125",,,"-6.125",,,,,0,"56.4"
4,656288,"Canning, Griffin",2869,0.1,,,,,,,,,,,,2125,93.9,93.08,0,4,0,-0.7000000000000028,6.1,107,138,113,140,308,327,306,"0.4","-0.4","73.2","7.6",,,,,,,,,,,1.3,1.3175,0.66,-0.125,"90.7",85,,,,5.91,-1.39,0.49,1.94,,,"-9.5",,,"9.5",,,,,0,"46.9"
3,542881,"Anderson, Tyler",2914,0.1,,,,,,,,,,,,2242,89.2,89.1,0,3,0,-0.10000000000000853,6.23,94,148,120,150,306,324,301,"0.2","-0.2","75.9","7.6",,,,,,,,,,,1.28333,1.58333,0.18333,-0.09667,"88.0",183,,,,6.4,1.03,-0.1,2.54,,0,"-7.933333333",,,"7.933333333",,,,,0,"61.0"
3,656557,"Houck, Tanner",2735,0.1,,,,,,,,,,,,2239,93.2,92.53,0,3,0,-0.7000000000000028,5.9,105,150,125,148,293,330,295,"0.3","-0.3","75.0","8.2",,,,,,,,,,,2.61,0.01667,1.29333,1.29333,"97.9",26,,,,5.7,-2.29,-0.4,2.62,,,"-8.8",,,"8.8",,,,,0,"23.9"
3,573186,"Stroman, Marcus",2667,0.1,,,,,,,,,,,,2250,90.2,89.83,0,3,0,-0.4000000000000057,5.8,97,133,115,136,294,331,297,"0.3","-0.3","73.3","6.8",,,,,,,,,,,2.59,0.18333,0.90667,-0.35333,"91.8",82,,,,5.18,-0.93,-0.17,2.47,,,"-8.433333333",,,"8.433333333",,,,,0,"30.9"
3,628317,"Maeda, Kenta",1958,0.2,,,,,,,,,,,,2331,91.2,91.07,0,3,0,-0.10000000000000853,6.17,118,150,116,150,291,328,303,"0.1","-0.1","71.1","7.0",,,,,,,,,,,1.49667,1.23667,0.66,0.37333,"88.0",216,,,,5.86,-2.22,-0.18,2.47,,0,"-4.533333333",,,"4.533333333",,,,,0,"36.6"
3,680744,"Madden, Ty",403,0.7,,,,,,,,,,,,2335,93.7,93.47,0,3,0,-0.20000000000000284,6.13,114,148,113,149,288,327,295,"0.2","-0.2","72.6","7.1",,,,,,,,,,,1.19,1.40667,0.60667,-0.29333,"89.9",286,,,,5.84,-2.41,-0.01,2.7,,,"-6.9",,,"6.9",,,,,0,"42.5"
3,641482,"Cortes, Nestor",2849,0.1,,,,,,,,,,,,2317,91.7,90.8,0,3,0,-0.9000000000000057,5.9,114,152,108,151,286,330,289,"0.1","-0.1","63.6","7.4",,,,,,,,,,,1.06,1.67,0.33667,-0.19,"88.0",189,,,,5.81,0.88,-0.31,2.58,,,"-4.533333333",,,"4.533333333",,,,,0,"53.0"
3,669194,"Nelson, Ryne",2406,0.1,,,,,,,,,,,,2220,94,94.93,0,3,0,0.9000000000000057,6.77,108,151,131,148,306,320,296,"0.1","-0.1","73.8","6.8",,,,,,,,,,,1.04667,1.53,0.63667,0.04333,"88.0",126,,,,6.11,-1.66,0.22,2.51,,,"-3.7",,,"3.7",,,,,0,"50.0"
3,679525,"Marsh, Alec",2161,0.1,,,,,,,,,,,,2417,93.1,92.73,0,3,0,-0.3999999999999915,6.17,96,147,103,151,298,325,305,"0.2","-0.2","74.8","7.9",,,,,,,,,,,1.41,1.23,0.82667,-0.27333,"91.5",202,,,,5.68,-1.9,0.42,2.25,,,"-6.333333333",,,"6.333333333",,,,,0,"31.9"
3,665795,"Cabrera, Edward",1734,0.2,,,,,,,,,,,,2129,94.7,95.27,0,3,0,0.5999999999999943,6.67,124,149,123,148,298,326,303,"0.2","-0.2","75.9","7.8",,,,,,,,,,,1.24,1.31,0.67667,-0.23,"89.7",103,,,,6.06,-1.44,0.46,2.18,,0,"-7.5",,,"7.5",,,,,0,"37.9"
3,680730,"Parker, Mitchell",2404,0.1,,,,,,,,,,,,2149,91.8,92.87,0,3,0,1.1000000000000085,6.9,102,137,112,131,303,321,294,"0.2","-0.2","73.8","7.7",,,,,,,,,,,1.14333,1.56333,0.41,-0.41,"88.0",190,,,,6.15,1.63,0.09,2.47,,,"-8.033333333",,,"8.033333333",,,,,0,"58.3"
2,669467,"Pallante, Andre",1978,0.1,,,,,,,,,,,,2220,93.8,94.6,0,2,0,0.7999999999999972,6.65,122,149,127,152,312,320,303,"0.1","-0.1","74.3","6.6",,,,,,,,,,,1.955,0.625,0.13,0.13,"95.4",115,,,,5.97,-2.05,-0.12,2.7,,,"-5.15",,,"5.15",,,,,0,"55.8"
2,593423,"Montas, Frankie",2633,0.1,,,,,,,,,,,,2350,94.7,94.3,0,2,0,-0.4000000000000057,6.05,107,146,119,140,298,322,296,"0.1","-0.1","78.1","7.8",,,,,,,,,,,1.395,1.145,0.715,-0.715,"88.0",182,,,,5.89,-1.03,0.3,2.64,,,"-5.9",,,"5.9",,,,,0,"45.1"
2,683155,"Estes, Joey",2027,0.1,,,,,,,,,,,,2349,91.6,91.1,0,2,0,-0.5,6.05,113,150,127,148,298,324,295,"0.1","-0.1","78.6","7.5",,,,,,,,,,,1.41,1.315,1.045,1.045,"107.7",203,,,,5.84,-2.43,-0.63,3.14,,0,"-4.05",,,"4.05",,,,,0,"34.5"
2,623167,"Flexen, Chris",2797,0.1,,,,,,,,,,,,2129,90.9,90.15,0,2,0,-0.7000000000000028,6.1,118,151,96,145,293,323,301,"0.1","-0.1","70.0","8.1",,,,,,,,,,,1.135,1.65,0.455,0.045,"93.5",166,,,,6.8,-0.17,-0.56,2.8,,,"-7",,,"7",,,,,0,"69.6"
2,612434,"Castro, Miguel",232,0.9,,,,,,,,,,,,2134,94.7,95.95,0,2,0,1.2000000000000028,6.95,102,149,116,149,301,318,291,"0.2","-0.2","72.7","7.8",,,,,,,,,,,2.04,0.49,1.175,0.065,"88.0",53,,,,4.95,-2.46,-0.23,2.04,,,"-9.85",,,"9.85",,,,,0,"11.9"
2,450203,"Morton, Charlie",2791,0.1,,,,,,,,,,,,2239,94.3,94.75,0,2,0,0.5,6.65,122,151,125,150,296,321,297,"0.1","-0.1","76.3","6.7",,,,,,,,,,,1.635,0.94,1.025,0.175,"94.6",259,,,,5.5,-2.51,0.2,3.13,,,"-6.6",,,"6.6",,,,,0,"20.3"
2,605463,"Scott, Tayler",1203,0.2,,,,,,,,,,,,2074,92.6,91.95,0,2,0,-0.5,6.25,113,151,105,151,295,329,296,"0.1","-0.1","73.3","7.4",,,,,,,,,,,1.8,0.895,1.24,0.06,"88.0",153,,,,4.88,-3.65,-0.53,2.89,,,"-3.65",,,"3.65",,,,,0,"15.4"
2,677944,"Cecconi, Slade",1291,0.2,,,,,,,,,,,,2311,93.2,93.65,0,2,0,0.5,6.65,119,151,138,151,308,307,294,"0.1","-0.1","80.0","7.8",,,,,,,,,,,1.34,1.295,0.965,0.055,"88.0",3,,,,5.63,-1.75,-0.23,3,,0,"-4.25",,,"4.25",,,,,0,"39.4"
2,657277,"Webb, Logan",3201,0.1,,,,,,,,,,,,1940,92.9,94,0,2,0,1.0999999999999943,6.85,101,145,129,151,294,329,302,"0.2","-0.2","70.7","6.7",,,,,,,,,,,2.435,0.2,1.135,0.055,"97.6",247,,,,5.2,-1.33,0.68,2.35,,0,"-8.8",,,"8.8",,,,,0,"27.9"
2,543294,"Hendricks, Kyle",2135,0.1,,,,,,,,,,,,2023,87.2,86.25,0,2,0,-0.9000000000000057,5.55,102,149,118,153,303,323,296,"0.2","-0.2","76.9","7.1",,,,,,,,,,,2.13,0.85,0.82,0.04,"88.0",166,,,,5.88,-2.75,-0.07,2.83,,,"-9.25",,,"9.25",,,,,0,"40.0"
2,544150,"Suárez, Albert",2234,0.1,,,,,,,,,,,,2358,95,95.3,0,2,0,0.29999999999999716,6.7,105,148,127,152,298,328,312,"0.1","-0.1","71.0","6.7",,,,,,,,,,,1.02,1.52,0.56,-0.56,"88.0",224,,,,6.35,-1.32,0.21,3.17,,,"-4.05",,,"4.05",,,,,0,"44.9"
2,678368,"Bellozo, Valente",1094,0.2,,,,,,,,,,,,2109,88.5,88.05,0,2,0,-0.4000000000000057,6.05,101,150,117,150,295,327,296,"0.1","-0.1","76.9","7.5",,,,,,,,,,,1.445,1.465,0.27,-0.06,"88.0",85,,,,6.1,-1.04,0.07,2.56,,,"-7.35",,,"7.35",,,,,0,"44.7"
2,694813,"Stone, Gavin",2152,0.1,,,,,,,,,,,,2075,95.1,95.65,0,2,0,0.6000000000000085,6.6,121,151,134,150,291,316,291,"0.1","-0.1","76.1","7.4",,,,,,,,,,,1.48,1.04,1.065,0.235,"98.5",294,,,,5.72,-2.06,-0.91,3.02,,,"-4.7",,,"4.7",,,,,0,"47.9"
2,663372,"Feltner, Ryan",2578,0.1,,,,,,,,,,,,2284,92.1,92.85,0,2,0,0.7000000000000028,6.55,106,152,131,151,301,330,300,"0.1","-0.1","73.7","7.4",,,,,,,,,,,1.65,1.02,0.815,-0.325,"88.0",3,,,,5.54,-1.31,0.2,2.71,,0,"-4.45",,,"4.45",,,,,0,"41.3"
2,670950,"Richards, Trevor",1182,0.2,,,,,,,,,,,,2263,93.2,93.5,0,2,0,0.29999999999999716,6.45,87,132,104,129,300,322,294,"0.2","-0.2","73.1","7.2",,,,,,,,,,,0.98,1.645,0.5,0.5,"89.4",242,,,,6.27,-2.16,0.09,2.92,,,"-7.95",,,"7.95",,,,,0,"55.6"
2,641302,"Alexander, Tyler",1668,0.1,,,,,,,,,,,,2364,91.5,91.15,0,2,0,-0.29999999999999716,6.25,113,150,131,151,305,338,301,"0.1","-0.1","81.2","7.9",,,,,,,,,,,1.26,1.475,0.915,0.215,"88.0",152,,,,5.75,1.5,0.32,2.49,,,"-3.65",,,"3.65",,,,,0,"36.6"
2,607192,"Glasnow, Tyler",2011,0.1,,,,,,,,,,,,2545,95.3,97.75,0,2,0,2.5,7.45,119,150,126,150,293,320,303,"0.2","-0.2","56.7","6.4",,,,,,,,,,,1.12,1.375,0.07,-0.12,"88.0",237,,,,6.12,-1.58,0.03,3.1,,0,"-9.8",,,"9.8",,,,,0,"57.4"
2,596295,"Gomber, Austin",2622,0.1,,,,,,,,,,,,2049,90.4,90.7,0,2,0,0.4000000000000057,6.35,123,150,123,150,302,334,296,"0","0","76.1","7.7",,,,,,,,,,,1.54,1.24,0.685,0.685,"88.0",144,,,,6.56,2.3,0.2,2.24,,0,"-2.2",,,"2.2",,,,,0,"49.6"
2,666157,"Lodolo, Nick",1864,0.1,,,,,,,,,,,,2259,93.4,93.4,0,2,0,0,6.25,104,149,123,147,304,324,288,"0.1","-0.1","80.0","7.4",,,,,,,,,,,2.225,0.38,1.45,-1.45,"88.0",77,,,,5.25,3.66,-0.18,2.23,,,"-4.45",,,"4.45",,,,,0,"14.9"
2,669923,"Kirby, George",2967,0.1,,,,,,,,,,,,2209,96.2,96.6,0,2,0,0.3999999999999915,6.55,117,150,112,146,286,308,293,"0.2","-0.2","72.1","6.8",,,,,,,,,,,1.36,1.1,1.16,-0.32,"89.3",168,,,,5.67,-1.8,0.21,2.62,,,"-9.4",,,"9.4",,,,,0,"35.9"
2,681293,"Arrighetti, Spencer",2505,0.1,,,,,,,,,,,,2345,94.6,96,0,2,0,1.5,7.15,98,146,124,148,304,318,299,"0.1","-0.1","74.2","7.3",,,,,,,,,,,1.34,1.215,1.055,0.215,"88.2",207,,,,5.02,-1.73,0.13,2.91,,,"-6.95",,,"6.95",,,,,0,"24.9"
2,676664,"Sears, JP",2857,0.1,,,,,,,,,,,,2121,92.6,92.2,0,2,0,-0.3999999999999915,6.45,100,148,118,146,295,322,293,"0.1","-0.1","73.0","7.1",,,,,,,,,,,1.335,1.36,1.055,-1.055,"88.0",205,,,,4.87,1.2,-0.36,3.01,,,"-4.45",,,"4.45",,,,,0,"25.7"
2,696131,"Black, Mason",663,0.3,,,,,,,,,,,,1997,92.3,93,0,2,0,0.7000000000000028,6.8,105,146,123,152,283,332,317,"0.2","-0.2","74.3","7.2",,,,,,,,,,,1.845,0.84,1.215,-1.215,"88.0",180,,,,4.97,-2.11,-0.35,3.23,,,"-9",,,"9",,,,,0,"23.4"
2,621244,"Berríos, José",2914,0.1,,,,,,,,,,,,2053,93.2,93.05,0,2,0,-0.20000000000000284,6.45,110,151,119,150,300,324,295,"0.1","-0.1","78.5","7.9",,,,,,,,,,,1.65,1,1.615,1.615,"96.7",116,,,,5.66,-1.89,-0.52,2.73,,,"-5.5",,,"5.5",,,,,0,"40.7"
2,548389,"Stripling, Ross",1358,0.1,,,,,,,,,,,,2167,92,91.2,0,2,0,-0.7000000000000028,6.15,98,149,130,152,298,322,294,"0.1","-0.1","69.5","6.8",,,,,,,,,,,1.145,1.58,0.6,0.09,"88.0",207,,,,6.89,-1.05,-0.15,3.08,,,"-2.95",,,"2.95",,,,,0,"59.4"
2,543135,"Eovaldi, Nathan",2622,0.1,,,,,,,,,,,,2147,95.7,96.25,0,2,0,0.5999999999999943,6.6,102,151,121,146,308,331,296,"0.1","-0.1","71.4","7.4",,,,,,,,,,,1.53,0.965,1.18,1.18,"88.0",149,,,,5.29,-2.44,-0.79,2.27,,,"-6.8",,,"6.8",,,,,0,"27.3"
2,664285,"Valdez, Framber",2598,0.1,,,,,,,,,,,,2221,94.7,93.9,0,2,0,-0.7999999999999972,6,106,152,134,151,305,338,305,"0.1","-0.1","69.3","6.4",,,,,,,,,,,1.76,0.795,1.18,0.03,"88.0",167,,,,6.02,0.61,-1.02,2.55,,,"-4.45",,,"4.45",,,,,0,"43.3"
2,543243,"Gray, Sonny",2483,0.1,,,,,,,,,,,,2484,92,92.95,0,2,0,1,6.7,103,141,112,144,293,319,300,"0.2","-0.2","71.9","7.6",,,,,,,,,,,1.6,1.075,-0.065,0.045,"88.0",96,,,,5.53,-0.66,0.55,2.44,,,"-10",,,"10",,,,,0,"50.5"
2,641154,"López, Pablo",2986,0.1,,,,,,,,,,,,2169,94.4,96,0,2,0,1.7000000000000028,7.2,103,153,121,148,295,328,292,"0.1","-0.1","69.3","7.3",,,,,,,,,,,1.385,1.175,0.395,0.395,"88.0",234,,,,5.54,-1.65,0.07,2.31,,,"-5.3",,,"5.3",,,,,0,"39.7"
