"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle"
8,605400,"Nola, Aaron",3189,0.3,,,,,,,,,,,,2666,79.5,80.03,0,0,8,0.5999999999999943,6.79,113,147,119,151,298,328,299,"0.7","-0.7",,,,,,,,,,,,,4.39875,-0.7725,-1.21125,0.60125,,,,,,5.15,-1.75,-0.02,2.29,,0,"-8.95",,,"8.95",,,,,,"21.8"
7,663623,"Irvin, Jake",3046,0.2,,,,,,,,,,,,2510,80.6,81.77,0,0,7,1.2000000000000028,6.89,115,143,122,142,306,330,303,"0.8","-0.8",,,,,,,,,,,,,3.68286,-0.19429,-0.87429,-0.24857,,,,,,5.61,-2.33,0.05,2.44,,0,"-11.128571429",,,"11.128571429",,,,,,"25.2"
5,808967,"Yamamoto, Yoshinobu",1469,0.3,,,,,,,,,,,,2693,78.6,78.48,0,0,5,-0.09999999999999432,6.54,109,150,127,151,297,315,298,"0.4","-0.4",,,,,,,,,,,,,4.982,-1.244,-1.088,0.256,,,,,,5.52,-1.07,-0.3,2.28,,0,"-7.02",,,"7.02",,,,,,"49.2"
5,450203,"Morton, Charlie",2791,0.2,,,,,,,,,,,,3023,81.4,81.06,0,0,5,-0.30000000000001137,5.96,126,150,116,151,301,321,301,"0.4","-0.4",,,,,,,,,,,,,4.006,-0.576,-1.042,0.642,,,,,,5.42,-2.82,-0.45,2.37,,0,"-8.08",,,"8.08",,,,,,"19.2"
5,500779,"Quintana, Jose",2819,0.2,,,,,,,,,,,,2244,77.6,77.7,0,0,5,0.10000000000000853,6.36,113,152,126,150,299,318,294,"0.4","-0.4",,,,,,,,,,,,,4.414,-0.63,-0.6,0.6,,,,,,5.86,2.2,0.13,2.3,,0,"-8.84",,,"8.84",,,,,,"46.9"
3,592767,"Smyly, Drew",1016,0.3,,,,,,,,,,,,2417,80,79.47,0,0,3,-0.5,5.67,115,150,122,149,305,322,287,"0.4","-0.4",,,,,,,,,,,,,3.77,-0.24,0.18333,-0.18333,,,,,,6.56,1.62,0.41,2.5,,0,"-11.766666667",,,"11.766666667",,,,,,"48.2"
3,694738,"Roupp, Landen",907,0.3,,,,,,,,,,,,2839,76,76.13,0,0,3,0.09999999999999432,6.77,124,147,123,154,287,319,298,"0.2","-0.2",,,,,,,,,,,,,4.91,-0.91,-1.39,1.39,,,,,,5.35,-2.38,-0.79,2.49,,0,"-8.266666667",,,"8.266666667",,,,,,"32.7"
3,680730,"Parker, Mitchell",2404,0.1,,,,,,,,,,,,2314,79.2,80.1,0,0,3,0.8999999999999915,6.6,104,151,123,144,307,335,300,"0.4","-0.4",,,,,,,,,,,,,4.33667,-0.74,-0.08333,0.08333,,,,,,6.02,1.81,0.06,2.86,,0,"-12.566666667",,,"12.566666667",,,,,,"54.7"
2,605483,"Snell, Blake",1773,0.1,,,,,,,,,,,,2506,81.1,81.65,0,0,2,0.7000000000000028,6.8,117,152,132,149,298,320,284,"0.1","-0.1",,,,,,,,,,,,,4.245,-0.765,-0.85,0.85,,,,,,6.61,1.84,0.19,2.33,,0,"-4.6",,,"4.6",,,,,,"60.4"
2,676962,"Brown, Ben",849,0.2,,,,,,,,,,,,2254,85.2,85.25,0,0,2,0.09999999999999432,6.55,120,149,113,152,289,320,296,"0.1","-0.1",,,,,,,,,,,,,3.42,-0.255,-0.14,-0.14,,,,,,6.49,-1.54,0.03,2.96,,0,"-4.95",,,"4.95",,,,,,"44.4"
