"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle"
11,641482,"Cortes, Nestor",2849,0.4,,,,,0.689,0.689,,0,0,,,2422,87.4,87.04,0,0,11,-0.4000000000000057,5.89,115,153,123,151,295,332,290,"-2.1","2.1",,,11,0,0,0,0,0,0,0,11,100,2.21909,0.75091,-0.39,0.25909,,,,,0,5.61,1.44,-0.19,2.61,1,0,"19.1",1,,"-19.1",,0,,0,,"44.5"
11,687765,"Spence, Mitch",2481,0.4,,,,,0.689,0.689,,0,0,,,2526,90.4,90.87,0,0,11,0.5,6.38,117,150,122,152,299,322,298,"-2.3","2.3",,,11,0,0,0,0,0,0,0,11,100,2.23818,0.53273,-0.31545,-0.06636,,,,,0,6.24,-2.62,0.21,2.63,1,0,"20.563636364",1,,"-20.563636364",,0,,0,,"50.4"
10,681293,"Arrighetti, Spencer",2505,0.4,,,,,0.689,0.689,,0,0,,,2515,88.5,90.13,0,0,10,1.5999999999999943,7.13,112,149,123,150,296,324,296,"-2","2",,,10,0,0,0,0,0,0,0,10,100,2.214,0.681,-0.27889,0.15,,,,,0,4.95,-1.69,0.72,2.27,1,0,"20.21",1,,"-20.21",,0,,0,,"21.8"
10,669203,"Burnes, Corbin",2996,0.3,,,,,0.689,0.689,,0,0,,,2774,95.1,95.77,0,0,10,0.7000000000000028,6.58,117,150,116,149,304,322,296,"-1.3","1.3",,,10,0,0,0,0,0,0,0,10,100,1.457,1.055,-0.209,-0.101,,,,,0,6,-0.9,0.6,1.96,1,0,"13.24",1,,"-13.24",,0,,0,,"44.5"
10,502085,"Robertson, David",1211,0.8,,,,,0.689,0.689,,0,0,,,2622,92.9,93.34,0,0,10,0.3999999999999915,6.58,111,148,121,151,298,323,301,"-1.8","1.8",,,10,0,0,0,0,0,0,0,10,100,1.209,1.44,-0.07,-0.052,,,,,0,5.76,-2.74,-0.25,2,1,0,"17.99",1,,"-17.99",,0,,0,,"43.0"
9,668933,"Ashcraft, Graham",1342,0.7,,,,,0.689,0.689,,0,0,,,2313,94.8,93.67,0,0,9,-1.0999999999999943,5.49,114,148,121,151,289,320,295,"-1.5","1.5",,,9,0,0,0,0,0,0,0,9,100,1.64111,0.88333,-0.04889,0.09111,,,,,0,6.39,-0.49,0.07,2.21,1,0,"16.155555556",1,,"-16.155555556",,0,,0,,"51.0"
8,623167,"Flexen, Chris",2797,0.3,,,,,0.689,0.689,,0,0,,,2388,87.5,87.94,0,0,8,0.5,6.38,109,140,114,138,297,326,300,"-1.5","1.5",,,8,0,0,0,0,0,0,0,8,100,2.4525,0.50625,-0.5925,-0.1525,,,,,0,6.85,-0.22,0.47,2.57,1,0,"18.775",1,,"-18.775",,0,,0,,"69.4"
8,676710,"Crawford, Kutter",2823,0.3,,,,,0.689,0.689,,0,0,,,2487,87.6,87.53,0,0,8,-0.09999999999999432,6.14,120,151,123,151,286,329,302,"-1.3","1.3",,,8,0,0,0,0,0,0,0,8,100,2.26375,0.69625,-0.4025,0.015,,,,,0,6,-1.21,0.47,2.28,1,0,"16.125",1,,"-16.125",,0,,0,,"47.3"
7,543243,"Gray, Sonny",2483,0.3,,,,,0.689,0.689,,0,0,,,2710,88.1,89,0,0,7,0.9000000000000057,6.64,114,144,116,141,298,321,302,"-1","1",,,7,0,0,0,0,0,0,0,7,100,2.79429,0.12286,-0.45286,-0.06143,,,,,0,5.51,-0.74,0.88,2.5,1,0,"13.9",1,,"-13.9",,0,,0,,"48.0"
6,641540,"Dunning, Dane",1689,0.4,,,,,0.689,0.689,,0,0,,,2156,88.3,89.88,0,0,6,1.6000000000000085,7.05,108,149,131,151,302,328,294,"-0.8","0.8",,,6,0,0,0,0,0,0,0,6,100,1.98667,0.91333,0.02333,-0.00333,,,,,0,5.32,-2.42,0.77,2,1,0,"12.933333333",1,,"-12.933333333",,0,,0,,"37.8"
