"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle"
3,543135,"Eovaldi, Nathan",2622,0.1,,,,,,,,,,,,1732,88.5,89.13,0,3,0,0.5999999999999943,6.67,116,154,121,148,311,330,300,"0.2","-0.2","77.0","8.6",,,,,,,,,,,2.59,0.32,1.24333,1.24333,"88.0",3,,,,5.64,-2.31,0.23,2.02,,,"-6.2",,,"6.2",,,,,0,"34.2"
2,592332,"Gausman, Kevin",2958,0.1,,,,,,,,,,,,1784,86.1,86.7,0,2,0,0.6000000000000085,6.8,119,152,124,151,298,325,293,"0.1","-0.1","76.6","7.6",,,,,,,,,,,2.6,0.495,1.33,-0.1,"88.0",4,,,,5.54,-2.49,-0.32,1.92,,0,"-7.05",,,"7.05",,,,,0,"35.1"
2,592836,"Walker, Taijuan",1435,0.1,,,,,,,,,,,,1447,86.2,85.7,0,2,0,-0.5,5.8,126,147,120,153,299,328,305,"0.1","-0.1","71.6","7.8",,,,,,,,,,,2.775,0.27,0.51,-0.51,"88.0",187,,,,6.4,-1.92,0.09,2.5,,,"-5.5",,,"5.5",,,,,0,"40.2"
2,661395,"Duran, Jhoan",881,0.2,,,,,,,,,,,,1633,95.3,95.65,0,2,0,0.4000000000000057,6.35,121,147,112,154,298,321,300,"0.2","-0.2","73.3","7.6",,,,,,,,,,,2.095,0.41,0.95,-0.95,"88.0",98,,,,5.92,-2.28,0.73,2.25,,0,"-9.7",,,"9.7",,,,,0,"32.9"
2,593576,"Neris, Héctor",1008,0.2,,,,,,,,,,,,1052,82.5,81.7,0,2,0,-0.7999999999999972,6.05,119,144,112,149,290,321,289,"0.3","-0.3","77.0","8.3",,,,,,,,,,,3.395,-0.01,0.785,-0.785,"89.3",140,,,,6.17,-1.33,-0.18,1.75,,,"-15.6",,,"15.6",,,,,0,"42.3"
1,595881,"Beede, Tyler",265,0.4,,,,,,,,,,,,1382,86.5,87.1,0,1,0,0.5999999999999943,6.5,114,155,129,147,318,336,306,"0","0","82.6","8.0",,,,,,,,,,,2.72,0.3,1.16,1.16,"89.6",7,,,,5.47,-1.89,-0.34,2.04,,,"-3.4",,,"3.4",,,,,0,"34.6"
1,620982,"Pinto, Ricardo",220,0.5,,,,,,,,,,,,1322,84.4,83.8,0,1,0,-0.6000000000000085,6.2,126,146,109,152,278,314,292,"0.1","-0.1","73.1","7.1",,,,,,,,,,,2.9,0.34,1.27,-1.27,"96.5",17,,,,6.07,-1.47,0.35,2.02,,,"-6.5",,,"6.5",,,,,0,"45.6"
1,640448,"Finnegan, Kyle",1067,0.1,,,,,,,,,,,,1086,89.6,90.4,0,1,0,0.8000000000000114,6.5,119,154,124,147,304,320,288,"0.1","-0.1","69.0","8.2",,,,,,,,,,,2.04,0.78,0.66,0.66,"88.0",2,,,,5.42,-1.9,0.39,1.84,,,"-6.5",,,"6.5",,,,,0,"49.1"
1,671737,"Bradley, Taj",2294,0,,,,,,,,,,,,1424,89.8,90.9,0,1,0,1.1000000000000085,6.7,123,146,135,153,303,339,302,"0.1","-0.1","72.4","7.4",,,,,,,,,,,2.71,0.09,0.67,-0.67,,,,,,6.06,-1.58,-0.54,1.97,,0,"-5.8",,,"5.8",,,,,0,"55.9"
1,615698,"Quantrill, Cal",2643,0,,,,,,,,,,,,1135,85.3,86.4,0,1,0,1.1000000000000085,6.7,127,151,114,150,301,331,295,"0.1","-0.1","80.7","8.2",,,,,,,,,,,2.29,0.81,0.77,-0.77,"88.0",224,,,,6.17,-1.51,-0.55,2.44,,,"-10.5",,,"10.5",,,,,0,"38.8"
1,472610,"García, Luis",898,0.1,,,,,,,,,,,,1287,86.2,86.8,0,1,0,0.5999999999999943,6.6,103,135,114,137,305,325,298,"0.1","-0.1","78.3","8.7",,,,,,,,,,,2.6,0.46,0.93,-0.93,"104.8",365,,,,6.37,-2.27,-0.12,2.13,,,"-12.5",,,"12.5",,,,,0,"54.1"
1,628317,"Maeda, Kenta",1958,0.1,,,,,,,,,,,,1257,81.7,81.7,0,1,0,0,5.9,125,144,107,153,283,319,301,"0","0","63.0","7.3",,,,,,,,,,,3.42,-0.05,0.59,-0.59,"88.0",208,,,,5.89,-2,0.44,2.35,,,"-3.4",,,"3.4",,,,,0,"39.6"
