"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle"
9,676440,"Bibee, Tanner",2851,0.3,0,0,,0,0,0,,0,9,,,2026,82.2,82.79,0,0,9,0.5999999999999943,6.56,119,151,132,150,302,322,294,"2.8","-2.8",,,9,0,0,0,0,0,9,100,0,0,2.34,1.02222,1.08444,0.10667,,,,,0,6.25,-2.08,0.2,2.86,0,0,"-30.933333333",,,"30.933333333",,,,0,,"54.6"
4,608379,"Wacha, Michael",2602,0.2,0,0,,0,0,0,,0,4,,,1538,81.2,81.53,0,0,4,0.29999999999999716,6.75,111,151,124,150,300,323,300,"1.3","-1.3",,,4,0,0,0,0,0,4,100,0,0,3.8525,-0.3625,1.3025,0.0475,,,,,0,6.6,-1.57,-0.16,2.12,0,0,"-31.45",,,"31.45",,,,0,,"53.6"
4,592094,"Adam, Jason",1109,0.4,0,0,,0,0,0,,0,4,,,2211,89.5,89.65,0,0,4,0.20000000000000284,6.58,113,147,129,152,290,329,296,"1.3","-1.3",,,4,0,0,0,0,0,4,100,0,0,2.5275,0.335,1.48,-0.73,,,,,0,6.1,-1.11,-0.09,2.57,0,0,"-33.15",,,"33.15",,,,0,,"33.3"
4,669373,"Skubal, Tarik",2866,0.1,0,0,,0,0,0,,0,4,,,1683,85.8,85.75,0,0,4,0,6.43,108,151,117,143,299,327,293,"1.5","-1.5",,,4,0,0,0,0,0,4,100,0,0,2.405,0.7075,1.4375,-1.4375,,,,,0,6.25,1.58,-0.5,2.38,0,0,"-37.95",,,"37.95",,,,0,,"48.6"
3,596133,"Weaver, Luke",1374,0.2,0,0,,0,0,0,,0,3,,,1866,88,87.57,0,0,3,-0.4000000000000057,6.07,123,152,126,152,288,323,282,"0.5","-0.5",,,3,0,0,0,0,0,3,100,0,0,2.58333,0.36667,1.10333,0.30333,,,,,0,5.68,-1.62,-0.56,2.7,0,0,"-18.3",,,"18.3",,,,0,,"44.1"
3,663776,"Sandoval, Patrick",1444,0.2,0,0,,0,0,0,,0,3,,,1731,83.7,83.5,0,0,3,-0.20000000000000284,6.3,102,153,118,146,312,325,292,"0.9","-0.9",,,3,0,0,0,0,0,3,100,0,0,2.39,0.88,1.12333,-1.12333,,,,,0,5.99,0.8,0.03,2.53,0,0,"-28.433333333",,,"28.433333333",,,,0,,"50.4"
3,660761,"Suarez, José",987,0.3,0,0,,0,0,0,,0,3,,,1530,81.8,81.4,0,0,3,-0.3999999999999915,6.07,114,149,124,149,299,327,291,"0.9","-0.9",,,3,0,0,0,0,0,3,100,0,0,3.21,0.20333,1.14333,-0.31667,,,,,0,5.54,1.38,-0.31,1.94,0,0,"-30.533333333",,,"30.533333333",,,,0,,"40.0"
3,670955,"Uceta, Edwin",672,0.4,0,0,,0,0,0,,0,3,,,2118,87.9,87.23,0,0,3,-0.7000000000000028,6.03,116,149,129,151,298,322,298,"0.8","-0.8",,,3,0,0,0,0,0,3,100,0,0,3.10333,-0.13667,1.33667,-0.43,,,,,0,4.7,-1.95,0.44,1.78,0,0,"-28",,,"28",,,,0,,"16.6"
3,642547,"Peralta, Freddy",3066,0.1,0,0,,0,0,0,,0,3,,,1681,87.4,87.5,0,0,3,0.09999999999999432,6.6,124,147,138,152,304,324,302,"0.9","-0.9",,,3,0,0,0,0,0,3,100,0,0,2.60667,0.40667,1.24,-1.24,,,,,0,5.13,-2.86,0.28,2.07,0,0,"-28.966666667",,,"28.966666667",,,,0,,"33.7"
2,650633,"King, Michael",2895,0.1,0,0,,0,0,0,,0,2,,,1977,88,87.7,0,0,2,-0.29999999999999716,6.2,117,148,128,146,290,322,299,"1.2","-1.2",,,2,0,0,0,0,0,2,100,0,0,2.675,0.28,1.505,0.005,,,,,0,5.25,-3.27,0.54,1.71,0,0,"-59.2",,,"59.2",,,,0,,"22.7"
