"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle"
10,669203,"Burnes, Corbin",2996,0.3,0,0,,0,0,0,,0,10,,,2730,95.8,96.58,0,0,10,0.7999999999999972,6.53,117,148,127,150,300,330,298,"2.9","-2.9",,,10,0,0,0,0,0,10,100,0,0,1.529,0.937,-0.176,0.05,,,,,0,5.92,-1,-0.02,2.33,0,0,"-28.61",,,"28.61",,,,0,,"42.9"
7,607200,"Fedde, Erick",2891,0.2,0,0,,0,0,0,,0,7,,,2097,89.5,90.51,0,0,7,1,6.71,113,148,123,152,293,327,298,"2.4","-2.4",,,7,0,0,0,0,0,7,100,0,0,2.46143,0.36571,-0.18,-0.02286,,,,,0,5.89,-1.3,0.11,2.67,0,0,"-33.714285714",,,"33.714285714",,,,0,,"39.4"
5,676979,"Crochet, Garrett",2395,0.2,0,0,,0,0,0,,0,5,,,2584,90.4,91.6,0,0,5,1.1999999999999886,6.82,115,154,119,150,295,323,291,"1.1","-1.1",,,5,0,0,0,0,0,5,100,0,0,2.448,0.332,-0.43,0.43,,,,,0,6.19,2.55,0.68,3.19,0,0,"-22.86",,,"22.86",,,,0,,"40.1"
5,607259,"Martinez, Nick",2125,0.2,0,0,,0,0,0,,0,5,,,2374,90.3,89.92,0,0,5,-0.3999999999999915,5.82,121,147,130,153,287,318,294,"1.3","-1.3",,,5,0,0,0,0,0,5,100,0,0,1.914,0.86,-0.158,0.042,,,,,0,6.14,-1.82,-0.36,1.94,0,0,"-25.18",,,"25.18",,,,0,,"54.7"
5,502085,"Robertson, David",1211,0.4,0,0,,0,0,0,,0,5,,,2613,93.7,94.12,0,0,5,0.3999999999999915,6.64,122,151,125,151,296,323,299,"1.6","-1.6",,,5,0,0,0,0,0,5,100,0,0,1.256,1.352,-0.172,-0.048,,,,,0,5.76,-2.74,0.02,2.04,0,0,"-31.86",,,"31.86",,,,0,,"43.8"
5,681293,"Arrighetti, Spencer",2505,0.2,0,0,,0,0,0,,0,5,,,2584,88,89.6,0,0,5,1.5999999999999943,6.98,109,145,126,149,291,315,298,"1.8","-1.8",,,5,0,0,0,0,0,5,100,0,0,2.346,0.562,-0.396,0.204,,,,,0,4.9,-1.81,-0.42,2.38,0,0,"-36.34",,,"36.34",,,,0,,"21.2"
4,445276,"Jansen, Kenley",801,0.5,0,0,,0,0,0,,0,4,,,2726,93.4,94.18,0,0,4,0.7999999999999972,6.8,117,152,124,151,277,322,294,"0.9","-0.9",,,4,0,0,0,0,0,4,100,0,0,1.1975,1.4225,-0.6975,0.2175,,,,,0,6.52,-1.88,0.07,1.95,0,0,"-23.475",,,"23.475",,,,0,,"62.8"
4,518876,"Kelly, Merrill",1142,0.4,0,0,,0,0,0,,0,4,,,2298,90.6,90.6,0,0,4,0,6.1,122,150,139,153,299,324,306,"0.9","-0.9",,,4,0,0,0,0,0,4,100,0,0,1.9025,0.86,0.1375,-0.1025,,,,,0,5.35,-2.04,-0.45,1.54,0,0,"-23.325",,,"23.325",,,,0,,"22.2"
4,527048,"Pérez, Martín",2204,0.2,0,0,,0,0,0,,0,4,,,2191,88.4,88.4,0,0,4,0,6.03,103,149,118,147,305,324,294,"1.3","-1.3",,,4,0,0,0,0,0,4,100,0,0,1.8575,1.04,0,-0.02,,,,,0,5.56,1.18,0.46,2.08,0,0,"-33.3",,,"33.3",,,,0,,"43.7"
4,665871,"Assad, Javier",2538,0.2,0,0,,0,0,0,,0,4,,,1957,88,88.92,0,0,4,1,6.45,116,149,118,153,298,321,302,"1.3","-1.3",,,4,0,0,0,0,0,4,100,0,0,2.3025,0.6,-0.39,0.11,,,,,0,5.87,-1.54,-0.34,2.84,0,0,"-32.075",,,"32.075",,,,0,,"49.6"
