"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle"
22,642547,"Peralta, Freddy",3066,0.7,0,0,,0,0,0,,0,22,,,2444,95.2,95.9,22,22,0,0.7000000000000028,6.78,112,148,126,148,302,323,298,"9.1","-9.1","67.2","6.2",22,0,0,0,0,0,22,100,0,0,1.11,1.41273,0.58727,-0.18091,,,,,0,5.31,-2.79,-0.38,3.15,0,0,"-41.195454545",,,"41.195454545",,,,0,100,"39.3"
21,694973,"Skenes, Paul",2125,1,0,0,,0,0,0,,0,21,,,2115,97.8,97.97,21,21,0,0.20000000000000284,6.43,117,149,121,151,300,325,297,"5.5","-5.5","71.2","7.0",21,0,0,0,0,0,21,100,0,0,1.75619,0.63333,1.1481,-0.36143,,,,,0,5.67,-2.38,-0.05,2.4,0,0,"-26.019047619",,,"26.019047619",,,,0,100,"23.7"
18,676664,"Sears, JP",2857,0.6,0,0,,0,0,0,,0,18,,,2059,91.9,92.06,18,18,0,0.19999999999998863,6.38,111,150,124,149,299,321,294,"4.6","-4.6","69.7","6.6",18,0,0,0,0,0,18,100,0,0,1.58111,1.11889,0.93778,-0.55889,,,,,0,4.83,1.14,0.23,3.11,0,0,"-25.655555556",,,"25.655555556",,,,0,100,"27.0"
17,622491,"Castillo, Luis",2859,0.6,0,0,,0,0,0,,0,17,,,2104,96,94.58,17,17,0,-1.4000000000000057,5.37,115,151,125,148,294,320,289,"5.7","-5.7","69.6","6.6",17,0,0,0,0,0,17,100,0,0,1.51353,0.95176,1.07176,0.10588,,,,,0,5.09,-2.13,-0.19,3.05,0,0,"-33.741176471",,,"33.741176471",,,,0,100,"17.0"
15,669923,"Kirby, George",2967,0.5,0,0,,0,0,0,,0,15,,,2202,95.9,96.5,15,15,0,0.5999999999999943,6.69,118,150,128,148,295,320,292,"3.5","-3.5","70.2","6.6",15,0,0,0,0,0,15,100,0,0,1.25333,1.22733,0.874,0.08067,,,,,0,5.8,-1.77,0.29,2.81,0,0,"-23.58",,,"23.58",,,,0,100,"35.7"
15,682243,"Miller, Bryce",2749,0.5,0,0,,0,0,0,,0,15,,,2454,94.9,94.99,15,15,0,0.09999999999999432,6.32,122,149,132,151,290,320,295,"3.2","-3.2","71.1","7.1",15,0,0,0,0,0,15,100,0,0,1.136,1.39333,0.63467,-0.25333,,,,,0,5.62,-1.25,0.15,2.46,0,0,"-21.386666667",,,"21.386666667",,,,0,100,"45.5"
14,656302,"Cease, Dylan",3188,0.4,0,0,,0,0,0,,0,14,,,2585,97.2,97.44,14,14,0,0.20000000000000284,6.29,115,153,123,149,303,331,296,"4.3","-4.3","68.2","6.3",14,0,0,0,0,0,14,100,0,0,0.92643,1.47429,0.22071,0.17214,,,,,0,6.2,-1.23,0.01,3.27,0,0,"-30.764285714",,,"30.764285714",,,,0,100,"55.6"
14,686752,"Pepiot, Ryan",2149,0.7,0,0,,0,0,0,,0,14,,,2396,95.4,96.06,14,14,0,0.6999999999999886,6.87,107,144,127,147,297,331,303,"4.3","-4.3","72.9","7.1",14,0,0,0,0,0,14,100,0,0,0.87857,1.64429,0.74214,-0.31786,,,,,0,5.86,-1.04,-0.19,3.05,0,0,"-30.942857143",,,"30.942857143",,,,0,100,"42.5"
14,607074,"Rodón, Carlos",3102,0.5,0,0,,0,0,0,,0,14,,,2418,96.5,95.92,14,14,0,-0.5999999999999943,6.07,111,154,120,149,297,324,281,"4.8","-4.8","70.8","7.2",14,0,0,0,0,0,14,100,0,0,0.92,1.53714,0.79214,-0.79214,,,,,0,6.41,1.78,0.21,2.7,0,0,"-34.542857143",,,"34.542857143",,,,0,100,"49.1"
13,695243,"Miller, Mason",1024,1.3,0,0,,0,0,0,,0,13,,,2457,101.1,101.78,13,13,0,0.7000000000000028,6.87,116,149,124,151,298,322,294,"4.6","-4.6","69.0","6.5",13,0,0,0,0,0,13,100,0,0,0.85846,1.38846,0.81462,0.20385,,,,,0,6.1,-2.03,-0.07,3.12,0,0,"-35.438461538",,,"35.438461538",,,,0,100,"34.3"
