"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle"
2,677960,"Weathers, Ryan",1413,0.1,,,,,0.72,0.72,,0,0,,,2366,82.5,81.35,0,0,2,-1.2000000000000028,5.75,111,153,124,147,299,315,285,"-0.2","0.2",,,2,0,0,0,0,0,0,0,0,0,3.32,0.065,-1.175,1.175,,,,,0,5.43,3,-2.27,0.85,1,0,"11.55",1,,"-11.55",,0,,0,,"31.9"
1,702674,"Dana, Caden",206,0.5,,,,,0.72,0.72,,0,0,,,2017,85.1,85.6,0,0,1,0.5,6.3,112,155,116,150,311,321,288,"-0.3","0.3",,,1,0,0,0,0,0,0,0,0,0,2.9,0.21,-0.52,-0.52,,,,,0,5.87,-2.07,-2.36,3.81,1,0,"33.3",1,,"-33.3",,0,,0,,"34.8"
1,605135,"Bassitt, Chris",2959,0,,,,,0.72,0.72,,0,0,,,2364,76.1,75.8,0,0,1,-0.29999999999999716,6.7,129,150,145,154,292,315,302,"-0.2","0.2",,,1,0,0,0,0,0,0,0,0,0,3.84,0.19,-1.45,1.45,,,,,0,5.03,-3.15,2.72,0.68,1,0,"22",1,,"-22",,0,,0,,"27.8"
1,605513,"Turnbull, Spencer",916,0.1,,,,,0.72,0.72,,0,0,,,2681,85,84.7,0,0,1,-0.29999999999999716,6.3,117,146,125,153,285,315,308,"-0.3","0.3",,,1,0,0,0,0,0,0,0,0,0,2.74,0.44,-1.38,1.38,,,,,0,5.41,-1.85,2.38,0.7,1,0,"33.3",1,,"-33.3",,0,,0,,"20.4"
1,676680,"Cosgrove, Tom",323,0.3,,,,,0.72,0.72,,0,0,,,2688,76.6,75.9,0,0,1,-0.6999999999999886,5.8,87,136,127,150,290,319,301,"-0.3","0.3",,,1,0,0,0,0,0,0,0,0,0,3.58,0.3,-1.52,-1.52,,,,,0,4.46,3.04,1.99,2.13,1,0,"31.3",1,,"-31.3",,0,,0,,"6.1"
1,666201,"Manoah, Alek",394,0.3,,,,,0.72,0.72,,0,0,,,2177,81.5,82.7,0,0,1,1.2000000000000028,7.1,122,147,148,152,288,321,293,"-0.1","0.1",,,1,0,0,0,0,0,0,0,0,0,3.68,-0.24,-1.12,1.12,,,,,0,5.57,-2.54,1.89,0.15,1,0,"10.3",1,,"-10.3",,0,,0,,"36.5"
1,679525,"Marsh, Alec",2161,0,,,,,0.72,0.72,,0,0,,,2452,86.4,86.4,0,0,1,0,6.2,124,148,130,153,288,330,308,"-0.2","0.2",,,1,0,0,0,0,0,0,0,0,0,3.4,-0.36,-1.1,1.1,,,,,0,5.59,-1.63,1.99,1.32,1,0,"22",1,,"-22",,0,,0,,"32.2"
1,579328,"Kikuchi, Yusei",2923,0,,,,,0.72,0.72,,0,0,,,2496,91,92.4,0,0,1,1.4000000000000057,6.9,110,144,113,139,303,308,284,"-0.6","0.6",,,1,0,0,0,0,0,0,0,0,0,2.27,0.46,-0.01,0.01,,,,,0,5.07,2.49,-1.55,2.66,1,0,"64",1,,"-64",,0,,0,,"39.4"
1,681432,"Little, Luke",438,0.2,,,,,0.72,0.72,,0,0,,,2342,83.9,84.9,0,0,1,1,7.3,117,154,125,151,316,327,287,"-0.2","0.2",,,1,0,0,0,0,0,0,0,0,0,3.62,-0.34,-0.95,0.95,,,,,0,5.28,3.16,-2.07,1.68,1,0,"22",1,,"-22",,0,,0,,"24.4"
1,669674,"Long, Sam",702,0.1,,,,,0.72,0.72,,0,0,,,2333,86.3,85.6,0,0,1,-0.7000000000000028,5.9,122,148,126,152,287,325,301,"-0.2","0.2",,,1,0,0,0,0,0,0,0,0,0,2.97,0.1,-0.13,-0.13,,,,,0,6,1.63,2.19,4.31,1,0,"22",1,,"-22",,0,,0,,"54.0"
