City ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ushuaia,-54.8,-68.3,9.81,66,0,8.23,AR,1701992274
1,taunggyi,20.7833,97.0333,14.32,98,52,2.08,MM,1701992499
2,mpanda,-6.3655,31.0409,19.02,96,64,0.54,TZ,1701992500
3,badger,64.8,-147.5333,-18.05,76,75,2.06,US,1701992500
4,fortuna,40.5982,-124.1573,11.07,92,75,3.09,US,1701992463
5,waitangi,-43.9535,-176.5597,14.34,66,94,7.8,NZ,1701992368
6,weno,7.4515,151.8468,27.97,83,100,5.14,FM,1701992500
7,udachny,66.4167,112.4,-27.53,75,100,1.19,RU,1701992455
8,nova vicosa,-17.8919,-39.3719,25.12,83,4,5.16,BR,1701992500
9,georgetown,5.4112,100.3354,25.96,95,20,1.03,MY,1701992500
10,ribeira grande,38.5167,-28.7,19.32,96,100,9.83,PT,1701992390
11,terbanggi besar,-4.8667,105.2333,25.27,84,100,3.33,ID,1701992501
12,port-aux-francais,-49.35,70.2167,4.33,99,92,14.22,TF,1701992501
13,margate,51.3813,1.3862,8.83,94,100,5.36,GB,1701992251
14,bethel,41.3712,-73.414,2.17,81,100,1.54,US,1701992385
15,kruisfontein,-34.0033,24.7314,15.49,66,0,4.08,ZA,1701992501
16,grytviken,-54.2811,-36.5092,-1.15,92,56,4.68,GS,1701992501
17,olonkinbyen,70.9221,-8.7187,-2.54,80,20,5.63,SJ,1701992501
18,bhamo,24.2667,97.2333,18.76,100,100,0.92,MM,1701992502
19,aberdeen,57.1437,-2.0981,7.27,92,100,9.77,GB,1701992502
20,stanley,54.868,-1.6985,4.6,96,75,5.66,GB,1701992502
21,susuman,62.7833,148.1667,-28.9,97,100,0.89,RU,1701992502
22,puerto natales,-51.7236,-72.4875,12.37,75,76,2.25,CL,1701992502
23,chernyshevskiy,63.0128,112.4714,-35.0,99,97,0.47,RU,1701992502
24,tindouf,27.6711,-8.1474,17.25,51,40,2.06,DZ,1701992502
25,avarua,-21.2078,-159.775,27.03,61,40,5.66,CK,1701992404
26,mossel bay,-34.1831,22.146,19.03,78,0,7.09,ZA,1701992503
27,malango,-2.9627,119.9001,22.83,98,100,0.81,ID,1701992503
28,port mathurin,-19.6833,63.4167,25.78,76,2,3.5,MU,1701992503
29,adamstown,-25.066,-130.1015,22.97,79,38,5.69,PN,1701992400
30,khrenovoye,51.12,40.2889,-7.72,88,43,5.22,RU,1701992503
31,cabedelo,-6.9811,-34.8339,27.37,78,78,4.44,BR,1701992503
32,lompoc,34.6391,-120.4579,19.45,64,0,11.32,US,1701992504
33,bilibino,68.0546,166.4372,-37.09,100,71,1.01,RU,1701992504
34,puerto deseado,-47.7503,-65.8938,10.84,67,1,5.12,AR,1701992504
35,albany,42.6001,-73.9662,-1.7,88,91,0.48,US,1701992374
36,kingston,17.997,-76.7936,29.53,72,20,3.6,JM,1701992504
37,mount pearl,47.5166,-52.7813,-1.59,85,75,10.8,CA,1701992504
38,vikindu,-7.0067,39.2985,23.9,95,80,1.22,TZ,1701992504
39,san pedro pochutla,15.7333,-96.4667,25.18,71,4,2.08,MX,1701992504
40,warrnambool,-38.3833,142.4833,26.74,47,100,9.04,AU,1701992432
41,siocon,7.7061,122.1353,27.46,79,59,2.87,PH,1701992505
42,tura,25.5198,90.2201,15.82,95,100,3.49,IN,1701992505
